accepted	delta			Lprev	Lstar	alpha	time
1			3.000000e-01	-58.340618	-58.340618	1.000000	1.071446e+00
1			2.997003e-01	-58.340618	-69.516023	0.000014	1.097913e+00
1			2.994012e-01	-58.340618	-99.783319	0.000000	1.100635e+00
1			2.991027e-01	-58.340618	-95.446933	0.000000	1.083447e+00
1			2.988048e-01	-58.340618	-71.779267	0.000001	1.326925e+00
1			2.985075e-01	-58.340618	-71.555511	0.000002	1.070906e+00
1			2.982107e-01	-58.340618	-77.529730	0.000000	2.453280e+00
1			2.979146e-01	-58.340618	-80.763353	0.000000	1.739173e+00
1			2.976190e-01	-58.340618	-59.885241	0.213392	1.080781e+00
1			2.973241e-01	-58.340618	-86.866995	0.000000	1.071948e+00
1			2.970297e-01	-58.340618	-71.812648	0.000001	1.193481e+00
1			2.967359e-01	-58.340618	-74.251052	0.000000	1.137721e+00
1			2.964427e-01	-58.340618	-77.001519	0.000000	1.080806e+00
1			2.961500e-01	-58.340618	-66.219672	0.000379	1.075416e+00
1			2.958580e-01	-58.340618	-70.900963	0.000004	1.092692e+00
1			2.955665e-01	-58.340618	-108.209896	0.000000	1.088740e+00
1			2.952756e-01	-58.340618	-67.382715	0.000118	1.100957e+00
1			2.949853e-01	-58.340618	-72.878654	0.000000	1.101170e+00
1			2.946955e-01	-58.340618	-76.375342	0.000000	1.083190e+00
2			2.944063e-01	-49.663450	-49.663450	1.000000	1.296701e+00
2			2.941176e-01	-49.663450	-106.018888	0.000000	1.685383e+00
2			2.938296e-01	-49.663450	-81.134786	0.000000	1.467411e+00
2			2.935421e-01	-49.663450	-114.645998	0.000000	1.067051e+00
2			2.932551e-01	-49.663450	-56.887498	0.000729	1.419941e+00
2			2.929688e-01	-49.663450	-88.532846	0.000000	1.107162e+00
2			2.926829e-01	-49.663450	-73.096742	0.000000	1.092329e+00
2			2.923977e-01	-49.663450	-52.634891	0.051229	1.061307e+00
2			2.921130e-01	-49.663450	-58.276125	0.000182	1.088702e+00
2			2.918288e-01	-49.663450	-64.731527	0.000000	1.330130e+00
2			2.915452e-01	-49.663450	-67.609573	0.000000	1.501603e+00
2			2.912621e-01	-49.663450	-98.256244	0.000000	1.091508e+00
2			2.909796e-01	-49.663450	-56.563862	0.001007	1.101730e+00
2			2.906977e-01	-49.663450	-65.356783	0.000000	1.135644e+00
2			2.904163e-01	-49.663450	-76.831386	0.000000	1.186364e+00
2			2.901354e-01	-49.663450	-69.729184	0.000000	1.194717e+00
2			2.898551e-01	-49.663450	-93.910817	0.000000	1.066136e+00
2			2.895753e-01	-49.663450	-65.726604	0.000000	1.090134e+00
2			2.892960e-01	-49.663450	-90.437242	0.000000	1.099833e+00
2			2.890173e-01	-49.663450	-94.818656	0.000000	1.094282e+00
