accepted	delta			Lprev	Lstar	alpha	time
1			3.000000e-01	-72.922736	-72.922736	1.000000	1.066761e+00
1			2.999970e-01	-72.922736	-88.783020	0.000000	1.179230e+00
1			2.999940e-01	-72.922736	-109.525670	0.000000	1.242973e+00
1			2.999910e-01	-72.922736	-96.961071	0.000000	1.075142e+00
1			2.999880e-01	-72.922736	-86.995238	0.000001	1.162135e+00
1			2.999850e-01	-72.922736	-88.113524	0.000000	1.237463e+00
1			2.999820e-01	-72.922736	-82.729008	0.000055	1.073912e+00
1			2.999790e-01	-72.922736	-99.497318	0.000000	1.449874e+00
1			2.999760e-01	-72.922736	-77.490459	0.010382	1.532380e+00
1			2.999730e-01	-72.922736	-89.731647	0.000000	1.161872e+00
1			2.999700e-01	-72.922736	-95.035948	0.000000	1.129276e+00
1			2.999670e-01	-72.922736	-84.595159	0.000009	1.128265e+00
1			2.999640e-01	-72.922736	-94.883907	0.000000	1.065080e+00
1			2.999610e-01	-72.922736	-77.539407	0.009886	1.079649e+00
1			2.999580e-01	-72.922736	-84.467715	0.000010	1.143926e+00
1			2.999550e-01	-72.922736	-113.115205	0.000000	1.060016e+00
1			2.999520e-01	-72.922736	-77.958954	0.006498	1.236965e+00
1			2.999490e-01	-72.922736	-78.494752	0.003803	1.127168e+00
1			2.999460e-01	-72.922736	-81.471996	0.000194	1.966172e+00
1			2.999430e-01	-72.922736	-76.429712	0.029987	1.526821e+00
1			2.999400e-01	-72.922736	-114.536597	0.000000	1.094838e+00
1			2.999370e-01	-72.922736	-87.464679	0.000000	1.101606e+00
1			2.999340e-01	-72.922736	-109.104898	0.000000	1.089240e+00
2			2.999310e-01	-64.668074	-64.668074	1.000000	1.181465e+00
2			2.999280e-01	-64.668074	-78.813063	0.000001	1.072014e+00
2			2.999250e-01	-64.668074	-86.216176	0.000000	1.500623e+00
2			2.999220e-01	-64.668074	-80.705760	0.000000	1.063654e+00
2			2.999190e-01	-64.668074	-82.361164	0.000000	1.124899e+00
2			2.999160e-01	-64.668074	-70.492419	0.002955	1.100310e+00
2			2.999130e-01	-64.668074	-73.128885	0.000212	1.141393e+00
2			2.999100e-01	-64.668074	-103.287496	0.000000	1.056382e+00
2			2.999070e-01	-64.668074	-76.395033	0.000008	1.061825e+00
2			2.999040e-01	-64.668074	-74.450916	0.000056	1.091852e+00
2			2.999010e-01	-64.668074	-90.349801	0.000000	1.091159e+00
2			2.998980e-01	-64.668074	-87.238162	0.000000	1.069658e+00
2			2.998950e-01	-64.668074	-104.086231	0.000000	1.518683e+00
2			2.998920e-01	-64.668074	-78.097816	0.000001	1.080724e+00
2			2.998890e-01	-64.668074	-84.798516	0.000000	1.082071e+00
2			2.998860e-01	-64.668074	-118.689706	0.000000	1.074974e+00
2			2.998830e-01	-64.668074	-72.576657	0.000368	1.253590e+00
3			2.998800e-01	-58.065650	-58.065650	1.000000	1.472537e+00
3			2.998771e-01	-58.065650	-112.643383	0.000000	1.057999e+00
3			2.998741e-01	-58.065650	-69.132777	0.000016	1.699067e+00
3			2.998711e-01	-58.065650	-69.997167	0.000007	1.070977e+00
3			2.998681e-01	-58.065650	-60.193989	0.119035	1.081185e+00
3			2.998651e-01	-58.065650	-82.366986	0.000000	1.075047e+00
3			2.998621e-01	-58.065650	-62.336307	0.013973	1.259159e+00
3			2.998591e-01	-58.065650	-80.080333	0.000000	1.432089e+00
3			2.998561e-01	-58.065650	-80.225321	0.000000	1.465588e+00
3			2.998531e-01	-58.065650	-79.162940	0.000000	1.064266e+00
3			2.998501e-01	-58.065650	-61.161824	0.045222	1.398657e+00
3			2.998471e-01	-58.065650	-115.764633	0.000000	2.088763e+00
3			2.998441e-01	-58.065650	-72.237093	0.000001	1.117721e+00
3			2.998411e-01	-58.065650	-69.460279	0.000011	1.109484e+00
4			2.998381e-01	-57.368781	-57.368781	1.000000	1.103185e+00
4			2.998351e-01	-57.368781	-93.741214	0.000000	1.086907e+00
4			2.998321e-01	-57.368781	-75.972274	0.000000	1.097657e+00
4			2.998291e-01	-57.368781	-88.634781	0.000000	1.076911e+00
4			2.998261e-01	-57.368781	-102.221105	0.000000	1.080727e+00
