accepted	Lprev	Lstar	alpha	time
1		-94.760626	-94.760626	1.000000	2.121911e+00
2		-94.905225	-94.905225	0.865369	2.125002e+00
2		-94.905225	-95.082812	0.837288	2.136879e+00
3		-94.671852	-94.671852	1.000000	2.129817e+00
4		-94.859846	-94.859846	0.828620	2.128780e+00
5		-94.908894	-94.908894	0.952135	2.123785e+00
6		-94.692304	-94.692304	1.000000	2.130059e+00
7		-94.887204	-94.887204	0.822917	2.125523e+00
8		-94.958604	-94.958604	0.931090	2.132589e+00
9		-96.173975	-96.173975	0.296600	2.112114e+00
10		-95.246132	-95.246132	1.000000	2.116407e+00
11		-95.031595	-95.031595	1.000000	2.124949e+00
12		-94.846969	-94.846969	1.000000	2.164455e+00
13		-94.886746	-94.886746	0.961004	2.131122e+00
14		-94.761801	-94.761801	1.000000	2.134849e+00
15		-94.394916	-94.394916	1.000000	2.111491e+00
16		-94.291004	-94.291004	1.000000	2.128298e+00
17		-94.338586	-94.338586	0.953533	2.127197e+00
18		-94.384786	-94.384786	0.954851	2.124865e+00
19		-94.535947	-94.535947	0.859709	2.128652e+00
20		-94.410891	-94.410891	1.000000	2.136180e+00
20		-94.410891	-94.556503	0.864493	2.125822e+00
21		-94.605866	-94.605866	0.822855	2.132300e+00
22		-94.546304	-94.546304	1.000000	2.132752e+00
23		-94.611396	-94.611396	0.936982	2.131882e+00
24		-94.657333	-94.657333	0.955102	2.121135e+00
25		-94.445976	-94.445976	1.000000	2.187982e+00
26		-94.409349	-94.409349	1.000000	2.136156e+00
27		-94.447310	-94.447310	0.962751	2.136061e+00
28		-94.535201	-94.535201	0.915860	2.131320e+00
29		-94.644001	-94.644001	0.896910	2.124594e+00
30		-94.559244	-94.559244	1.000000	2.127457e+00
31		-94.533113	-94.533113	1.000000	2.132311e+00
31		-94.533113	-94.698178	0.847839	2.137447e+00
32		-94.528281	-94.528281	1.000000	2.135873e+00
33		-94.512155	-94.512155	1.000000	2.130563e+00
