accepted	Lprev	Lstar	alpha	time
0		-466.015642	-471.376980	0.004695	1.078902e+00
1		-440.867741	-440.867741	1.000000	1.299185e+00
1		-440.867741	-470.360619	0.000000	1.117579e+00
2		-419.326448	-419.326448	1.000000	2.044985e+00
2		-419.326448	-452.238762	0.000000	2.254280e+00
2		-419.326448	-438.183445	0.000000	1.232608e+00
2		-419.326448	-457.790213	0.000000	1.134933e+00
3		-371.401917	-371.401917	1.000000	2.147429e+00
4		-368.659282	-368.659282	1.000000	1.551681e+00
4		-368.659282	-398.913631	0.000000	1.254403e+00
5		-353.247924	-353.247924	1.000000	1.090038e+00
5		-353.247924	-377.841002	0.000000	1.053238e+00
5		-353.247924	-386.582675	0.000000	1.242629e+00
5		-353.247924	-370.609934	0.000000	1.513264e+00
5		-353.247924	-357.531178	0.013798	1.165519e+00
5		-353.247924	-388.630455	0.000000	1.845563e+00
5		-353.247924	-387.913470	0.000000	1.063630e+00
5		-353.247924	-356.554166	0.036654	1.346618e+00
5		-353.247924	-379.408239	0.000000	1.161279e+00
5		-353.247924	-381.907050	0.000000	1.530009e+00
