accepted delta gamma Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -13.037749 -14.450702 0.243423 1.000993e+00
1 9.900990e-02 1.000000e+04 -13.149769 -13.149769 0.894026 1.000835e+00
2 9.803922e-02 1.000000e+04 -11.490531 -11.490531 1.000000 1.001149e+00
3 9.708738e-02 1.000000e+04 -11.486760 -11.486760 1.000000 1.000481e+00
3 9.615385e-02 1.000000e+04 -11.486760 -12.799813 0.268998 1.001362e+00
4 9.523810e-02 1.000000e+04 -9.423093 -9.423093 1.000000 1.000561e+00
5 9.433962e-02 1.000000e+04 -7.899276 -7.899276 1.000000 1.000974e+00
5 9.345794e-02 1.000000e+04 -7.899276 -10.037342 0.117883 1.000848e+00
6 9.259259e-02 1.000000e+04 -8.098814 -8.098814 0.819109 1.000620e+00
6 9.174312e-02 1.000000e+04 -8.098814 -10.100266 0.135139 1.000459e+00
7 9.090909e-02 1.000000e+04 -6.501744 -6.501744 1.000000 1.000641e+00
8 9.009009e-02 1.000000e+04 -7.815929 -7.815929 0.268693 1.000669e+00
8 8.928571e-02 1.000000e+04 -7.815929 -8.459197 0.525572 1.000615e+00
8 8.849558e-02 1.000000e+04 -7.815929 -9.397472 0.205657 1.000203e+00
8 8.771930e-02 1.000000e+04 -7.815929 -10.021953 0.110138 1.000180e+00
8 8.695652e-02 1.000000e+04 -7.815929 -11.920846 0.016491 1.000799e+00
9 8.620690e-02 1.000000e+04 -7.485166 -7.485166 1.000000 1.000199e+00
10 8.547009e-02 1.000000e+04 -8.309280 -8.309280 0.438624 1.000269e+00
10 8.474576e-02 1.000000e+04 -8.309280 -10.475790 0.114577 1.000772e+00
10 8.403361e-02 1.000000e+04 -8.309280 -10.534513 0.108042 1.000210e+00
11 8.333333e-02 1.000000e+04 -8.204155 -8.204155 1.000000 1.000234e+00
12 8.264463e-02 1.000000e+04 -8.586776 -8.586776 0.682072 1.001212e+00
12 8.196721e-02 1.000000e+04 -8.586776 -9.932352 0.260390 1.000647e+00
12 8.130081e-02 1.000000e+04 -8.586776 -11.117264 0.079620 1.000693e+00
13 8.064516e-02 1.000000e+04 -7.618903 -7.618903 1.000000 1.000464e+00
14 8.000000e-02 1.000000e+04 -7.215215 -7.215215 1.000000 1.000913e+00
14 7.936508e-02 1.000000e+04 -7.215215 -7.750826 0.585312 9.999736e-01
15 7.874016e-02 1.000000e+04 -7.399919 -7.399919 0.831351 1.000721e+00
15 7.812500e-02 1.000000e+04 -7.399919 -8.409707 0.364296 1.000402e+00
16 7.751938e-02 1.000000e+04 -7.207515 -7.207515 1.000000 1.000767e+00
17 7.692308e-02 1.000000e+04 -8.097898 -8.097898 0.410498 1.000494e+00
18 7.633588e-02 1.000000e+04 -7.556148 -7.556148 1.000000 1.000149e+00
19 7.575758e-02 1.000000e+04 -8.654101 -8.654101 0.333553 1.000799e+00
20 7.518797e-02 1.000000e+04 -8.529085 -8.529085 1.000000 1.000819e+00
20 7.462687e-02 1.100000e+04 -9.381993 -10.880705 0.223418 1.001220e+00
21 7.407407e-02 1.100000e+04 -8.860545 -8.860545 1.000000 1.000673e+00
22 7.352941e-02 1.100000e+04 -8.757952 -8.757952 1.000000 1.000747e+00
22 7.299270e-02 1.100000e+04 -8.757952 -9.837773 0.339656 1.000332e+00
23 7.246377e-02 1.100000e+04 -8.904763 -8.904763 0.863457 1.000474e+00
23 7.194245e-02 1.100000e+04 -8.904763 -10.582138 0.186864 1.000831e+00
24 7.142857e-02 1.100000e+04 -9.300855 -9.300855 0.672945 1.000476e+00
25 7.092199e-02 1.100000e+04 -9.036271 -9.036271 1.000000 1.000450e+00
25 7.042254e-02 1.100000e+04 -9.036271 -10.643830 0.200376 1.000802e+00
26 6.993007e-02 1.100000e+04 -8.851427 -8.851427 1.000000 1.000473e+00
27 6.944444e-02 1.100000e+04 -9.267547 -9.267547 0.659601 1.000191e+00
28 6.896552e-02 1.100000e+04 -8.077637 -8.077637 1.000000 1.000339e+00
29 6.849315e-02 1.100000e+04 -8.457950 -8.457950 0.683647 1.000314e+00
29 6.802721e-02 1.100000e+04 -8.457950 -9.572402 0.328095 1.001231e+00
29 6.756757e-02 1.100000e+04 -8.457950 -10.722030 0.103926 1.000016e+00
30 6.711409e-02 1.100000e+04 -9.448845 -9.448845 0.371244 1.000127e+00
31 6.666667e-02 1.100000e+04 -9.099624 -9.099624 1.000000 1.000475e+00
32 6.622517e-02 1.100000e+04 -10.248138 -10.248138 0.317108 1.000371e+00
33 6.578947e-02 1.100000e+04 -9.711495 -9.711495 1.000000 1.000387e+00
34 6.535948e-02 1.100000e+04 -9.139928 -9.139928 1.000000 1.000689e+00
34 6.493506e-02 1.100000e+04 -9.139928 -10.689533 0.212332 1.000792e+00
35 6.451613e-02 1.100000e+04 -8.838470 -8.838470 1.000000 1.000275e+00
36 6.410256e-02 1.100000e+04 -8.913310 -8.913310 0.927891 1.000357e+00
37 6.369427e-02 1.100000e+04 -8.878461 -8.878461 1.000000 1.000663e+00
38 6.329114e-02 1.100000e+04 -9.212971 -9.212971 0.715688 9.999228e-01
38 6.289308e-02 1.100000e+04 -9.212971 -12.068329 0.057535 1.000288e+00
39 6.250000e-02 1.100000e+04 -7.341223 -7.341223 1.000000 1.000448e+00
40 6.211180e-02 1.100000e+04 -7.534078 -7.534078 0.824602 1.000516e+00
40 6.172840e-02 1.210000e+04 -8.287485 -9.211251 0.397021 1.000707e+00
40 6.134969e-02 1.210000e+04 -8.287485 -8.631014 0.709263 1.000384e+00
40 6.097561e-02 1.210000e+04 -8.287485 -9.940614 0.191450 1.000370e+00
40 6.060606e-02 1.210000e+04 -8.287485 -9.196504 0.402920 1.000258e+00
41 6.024096e-02 1.210000e+04 -8.329050 -8.329050 0.959287 1.000302e+00
42 5.988024e-02 1.210000e+04 -7.727726 -7.727726 1.000000 1.000118e+00
43 5.952381e-02 1.210000e+04 -7.525556 -7.525556 1.000000 1.000309e+00
43 5.917160e-02 1.210000e+04 -7.525556 -9.265723 0.175491 1.000672e+00
44 5.882353e-02 1.210000e+04 -8.838607 -8.838607 0.268998 1.000012e+00
44 5.847953e-02 1.210000e+04 -8.838607 -10.156738 0.267635 1.000321e+00
45 5.813953e-02 1.210000e+04 -8.332378 -8.332378 1.000000 1.000618e+00
45 5.780347e-02 1.210000e+04 -8.332378 -11.627271 0.037072 1.000724e+00
