accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -1.481799e-03 -14.093815 -14.817991 0.484724 1.000778e+00
0 9.900990e-02 1.000000e+04 -1.425499e-03 -14.093815 -14.254989 0.851144 1.001103e+00
1 9.803922e-02 1.000000e+04 -1.280555e-03 -12.805553 -12.805553 1.000000 1.001207e+00
2 9.708738e-02 1.000000e+04 -1.253027e-03 -12.530267 -12.530267 1.000000 1.000807e+00
3 9.615385e-02 1.000000e+04 -1.167049e-03 -11.670488 -11.670488 1.000000 1.001064e+00
4 9.523810e-02 1.000000e+04 -1.017695e-03 -10.176949 -10.176949 1.000000 1.000657e+00
5 9.433962e-02 1.000000e+04 -9.284657e-04 -9.284657 -9.284657 1.000000 1.001192e+00
5 9.345794e-02 1.000000e+04 -1.176943e-03 -9.284657 -11.769427 0.083345 1.000931e+00
5 9.259259e-02 1.000000e+04 -1.102701e-03 -9.284657 -11.027010 0.175108 1.001125e+00
5 9.174312e-02 1.000000e+04 -1.109371e-03 -9.284657 -11.093705 0.163810 1.000728e+00
5 9.090909e-02 1.000000e+04 -1.097926e-03 -9.284657 -10.979262 0.183672 1.000871e+00
6 9.009009e-02 1.000000e+04 -9.120438e-04 -9.120438 -9.120438 1.000000 1.000813e+00
7 8.928571e-02 1.000000e+04 -8.502821e-04 -8.502821 -8.502821 1.000000 1.001013e+00
8 8.849558e-02 1.000000e+04 -8.478911e-04 -8.478911 -8.478911 1.000000 1.000517e+00
9 8.771930e-02 1.000000e+04 -9.255816e-04 -9.255816 -9.255816 0.459827 1.000545e+00
9 8.695652e-02 1.000000e+04 -1.196495e-03 -9.255816 -11.964951 0.066594 1.000912e+00
10 8.620690e-02 1.000000e+04 -1.033766e-03 -10.337665 -10.337665 0.338968 1.000954e+00
11 8.547009e-02 1.000000e+04 -1.074163e-03 -10.741629 -10.741629 0.667668 1.000426e+00
12 8.474576e-02 1.000000e+04 -1.074803e-03 -10.748026 -10.748026 0.993624 1.000617e+00
13 8.403361e-02 1.000000e+04 -1.299668e-03 -12.996680 -12.996680 0.105541 1.000389e+00
14 8.333333e-02 1.000000e+04 -1.193353e-03 -11.933535 -11.933535 1.000000 1.000639e+00
15 8.264463e-02 1.000000e+04 -1.087013e-03 -10.870127 -10.870127 1.000000 1.000833e+00
15 8.196721e-02 1.000000e+04 -1.269725e-03 -10.870127 -12.697254 0.160875 1.000880e+00
15 8.130081e-02 1.000000e+04 -1.318285e-03 -10.870127 -13.182853 0.098991 1.000406e+00
15 8.064516e-02 1.000000e+04 -1.145062e-03 -10.870127 -11.450616 0.559625 1.000831e+00
16 8.000000e-02 1.000000e+04 -1.232375e-03 -12.323755 -12.323755 0.233721 1.000547e+00
16 7.936508e-02 1.000000e+04 -1.265653e-03 -12.323755 -12.656529 0.716932 1.000604e+00
17 7.874016e-02 1.000000e+04 -1.300577e-03 -13.005765 -13.005765 0.505599 1.000981e+00
18 7.812500e-02 1.000000e+04 -1.366800e-03 -13.667997 -13.667997 0.515699 1.001143e+00
19 7.751938e-02 1.000000e+04 -1.187293e-03 -11.872933 -11.872933 1.000000 1.000721e+00
20 7.692308e-02 1.000000e+04 -1.083450e-03 -10.834503 -10.834503 1.000000 1.000929e+00
20 7.633588e-02 1.100000e+04 -1.746425e-03 -11.917954 -19.210677 0.000680 1.000475e+00
20 7.575758e-02 1.100000e+04 -1.197639e-03 -11.917954 -13.174025 0.284771 1.000753e+00
20 7.518797e-02 1.100000e+04 -1.187905e-03 -11.917954 -13.066955 0.316953 1.000596e+00
20 7.462687e-02 1.100000e+04 -1.341847e-03 -11.917954 -14.760316 0.058288 1.000969e+00
21 7.407407e-02 1.100000e+04 -9.696867e-04 -10.666554 -10.666554 1.000000 1.001586e+00
22 7.352941e-02 1.100000e+04 -9.951675e-04 -10.946842 -10.946842 0.755566 1.000838e+00
22 7.299270e-02 1.100000e+04 -1.219253e-03 -10.946842 -13.411786 0.085014 1.000743e+00
23 7.246377e-02 1.100000e+04 -9.570814e-04 -10.527895 -10.527895 1.000000 1.000516e+00
24 7.194245e-02 1.100000e+04 -9.539821e-04 -10.493803 -10.493803 1.000000 1.000859e+00
25 7.142857e-02 1.100000e+04 -9.618157e-04 -10.579972 -10.579972 0.917439 1.000665e+00
26 7.092199e-02 1.100000e+04 -1.045962e-03 -11.505585 -11.505585 0.396288 1.000217e+00
