accepted delta gamma error Lprev Lstar alpha time
0 3.000000e-01 3.000000e+05 -1.456844e-03 -437.053143 -437.053143 0.000000 6.908899e-310
1 3.000000e-01 3.000000e+05 -1.405060e-03 -421.517975 -421.517975 1.000000 1.009881e+00
1 3.000000e-01 3.000000e+05 -1.657717e-03 -421.517975 -497.315220 0.000000 1.009292e+00
2 3.000000e-01 3.000000e+05 -1.396488e-03 -418.946296 -418.946296 1.000000 1.009334e+00
2 3.000000e-01 3.000000e+05 -1.733885e-03 -418.946296 -520.165632 0.000000 1.009148e+00
3 3.000000e-01 3.000000e+05 -1.278160e-03 -383.448140 -383.448140 1.000000 1.009682e+00
4 3.000000e-01 3.000000e+05 -1.163388e-03 -349.016501 -349.016501 1.000000 1.008900e+00
4 3.000000e-01 3.000000e+05 -1.451321e-03 -349.016501 -435.396232 0.000000 1.009227e+00
4 3.000000e-01 3.000000e+05 -1.493305e-03 -349.016501 -447.991648 0.000000 1.009056e+00
4 3.000000e-01 3.000000e+05 -1.415563e-03 -349.016501 -424.668798 0.000000 1.009420e+00
4 3.000000e-01 3.000000e+05 -1.302589e-03 -349.016501 -390.776682 0.000000 1.009117e+00
4 3.000000e-01 3.000000e+05 -1.847660e-03 -349.016501 -554.297903 0.000000 1.008880e+00
4 3.000000e-01 3.000000e+05 -1.618237e-03 -349.016501 -485.471169 0.000000 1.009416e+00
4 3.000000e-01 3.000000e+05 -1.387878e-03 -349.016501 -416.363505 0.000000 1.008792e+00
5 3.000000e-01 3.000000e+05 -1.128016e-03 -338.404667 -338.404667 1.000000 1.008756e+00
5 3.000000e-01 3.000000e+05 -1.467723e-03 -338.404667 -440.317016 0.000000 1.008374e+00
5 3.000000e-01 3.000000e+05 -1.193071e-03 -338.404667 -357.921162 0.000000 1.009925e+00
5 3.000000e-01 3.000000e+05 -1.177973e-03 -338.404667 -353.391774 0.000000 1.008724e+00
5 3.000000e-01 3.000000e+05 -1.637096e-03 -338.404667 -491.128715 0.000000 1.008820e+00
6 3.000000e-01 3.000000e+05 -1.105573e-03 -331.671939 -331.671939 1.000000 1.009046e+00
6 3.000000e-01 3.000000e+05 -1.127698e-03 -331.671939 -338.309256 0.001311 1.008807e+00
6 3.000000e-01 3.000000e+05 -1.242380e-03 -331.671939 -372.714004 0.000000 1.008669e+00
7 3.000000e-01 3.000000e+05 -7.875240e-04 -236.257210 -236.257210 1.000000 1.008801e+00
7 3.000000e-01 3.000000e+05 -1.295499e-03 -236.257210 -388.649699 0.000000 1.008908e+00
7 3.000000e-01 3.000000e+05 -1.056768e-03 -236.257210 -317.030354 0.000000 1.008509e+00
7 3.000000e-01 3.000000e+05 -9.309674e-04 -236.257210 -279.290215 0.000000 1.008593e+00
7 3.000000e-01 3.000000e+05 -1.169509e-03 -236.257210 -350.852781 0.000000 1.008890e+00
7 3.000000e-01 3.000000e+05 -1.199342e-03 -236.257210 -359.802527 0.000000 1.008865e+00
7 3.000000e-01 3.000000e+05 -8.810067e-04 -236.257210 -264.302023 0.000000 1.009575e+00
8 3.000000e-01 3.000000e+05 -7.497014e-04 -224.910409 -224.910409 1.000000 1.008994e+00
8 3.000000e-01 3.000000e+05 -1.067993e-03 -224.910409 -320.397939 0.000000 1.008873e+00
8 3.000000e-01 3.000000e+05 -1.062326e-03 -224.910409 -318.697872 0.000000 1.008623e+00
8 3.000000e-01 3.000000e+05 -8.153693e-04 -224.910409 -244.610803 0.000000 1.009127e+00
8 3.000000e-01 3.000000e+05 -9.436487e-04 -224.910409 -283.094599 0.000000 1.008946e+00
8 3.000000e-01 3.000000e+05 -9.856665e-04 -224.910409 -295.699949 0.000000 1.008788e+00
8 3.000000e-01 3.000000e+05 -9.320074e-04 -224.910409 -279.602233 0.000000 1.008976e+00
8 3.000000e-01 3.000000e+05 -1.047506e-03 -224.910409 -314.251840 0.000000 1.009000e+00
8 3.000000e-01 3.000000e+05 -8.054185e-04 -224.910409 -241.625552 0.000000 1.009069e+00
8 3.000000e-01 3.000000e+05 -1.236864e-03 -224.910409 -371.059228 0.000000 1.008668e+00
8 3.000000e-01 3.000000e+05 -1.559161e-03 -224.910409 -467.748326 0.000000 1.008565e+00
8 3.000000e-01 3.000000e+05 -9.455737e-04 -224.910409 -283.672096 0.000000 1.008908e+00
8 3.000000e-01 3.000000e+05 -1.373776e-03 -224.910409 -412.132716 0.000000 1.008280e+00
8 3.000000e-01 3.000000e+05 -1.596244e-03 -224.910409 -478.873311 0.000000 1.009090e+00
8 3.000000e-01 3.000000e+05 -1.202776e-03 -224.910409 -360.832887 0.000000 1.009039e+00
8 3.000000e-01 3.000000e+05 -1.034396e-03 -224.910409 -310.318921 0.000000 1.008664e+00
8 3.000000e-01 3.000000e+05 -7.720684e-04 -224.910409 -231.620526 0.001219 1.009160e+00
8 3.000000e-01 3.000000e+05 -1.057678e-03 -224.910409 -317.303374 0.000000 1.008741e+00
8 3.000000e-01 3.000000e+05 -1.008480e-03 -224.910409 -302.544014 0.000000 1.008673e+00
8 3.000000e-01 3.000000e+05 -1.226716e-03 -224.910409 -368.014853 0.000000 1.009111e+00
8 3.000000e-01 3.000000e+05 -1.546931e-03 -224.910409 -464.079169 0.000000 1.009741e+00
8 3.000000e-01 3.000000e+05 -8.117805e-04 -224.910409 -243.534161 0.000000 1.008667e+00
9 3.000000e-01 3.000000e+05 -7.434138e-04 -223.024131 -223.024131 1.000000 1.008880e+00
9 3.000000e-01 3.000000e+05 -9.251391e-04 -223.024131 -277.541730 0.000000 1.008878e+00
9 3.000000e-01 3.000000e+05 -1.182373e-03 -223.024131 -354.712017 0.000000 1.009112e+00
9 3.000000e-01 3.000000e+05 -1.331911e-03 -223.024131 -399.573206 0.000000 1.008991e+00
9 3.000000e-01 3.000000e+05 -1.075859e-03 -223.024131 -322.757714 0.000000 1.009146e+00
9 3.000000e-01 3.000000e+05 -1.158411e-03 -223.024131 -347.523341 0.000000 1.008872e+00
9 3.000000e-01 3.000000e+05 -1.069686e-03 -223.024131 -320.905912 0.000000 1.008741e+00
9 3.000000e-01 3.000000e+05 -1.272674e-03 -223.024131 -381.802313 0.000000 1.008980e+00
9 3.000000e-01 3.000000e+05 -9.203312e-04 -223.024131 -276.099373 0.000000 1.008699e+00
9 3.000000e-01 3.000000e+05 -1.063381e-03 -223.024131 -319.014360 0.000000 1.008923e+00
9 3.000000e-01 3.000000e+05 -1.035303e-03 -223.024131 -310.591021 0.000000 1.008402e+00
9 3.000000e-01 3.000000e+05 -9.302797e-04 -223.024131 -279.083917 0.000000 1.008817e+00
9 3.000000e-01 3.000000e+05 -1.057516e-03 -223.024131 -317.254689 0.000000 1.008661e+00
9 3.000000e-01 3.000000e+05 -1.178012e-03 -223.024131 -353.403577 0.000000 1.009344e+00
10 3.000000e-01 3.000000e+05 -7.407150e-04 -222.214512 -222.214512 1.000000 1.008414e+00
11 3.000000e-01 3.000000e+05 -6.711515e-04 -201.345458 -201.345458 1.000000 1.008262e+00
11 3.000000e-01 3.000000e+05 -1.077362e-03 -201.345458 -323.208699 0.000000 1.008908e+00
11 3.000000e-01 3.000000e+05 -1.197453e-03 -201.345458 -359.235986 0.000000 1.008597e+00
