accepted delta gamma Lprev Lstar alpha time
1 1.000000e-01 1.000000e+05 -0.000000 -0.000000 1.000000 1.141198e-04
2 9.990010e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.131881e-04
3 9.980040e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.087119e-04
4 9.970090e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.081410e-04
5 9.960159e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.064779e-04
6 9.950249e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.105550e-04
7 9.940358e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.088721e-04
8 9.930487e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.083210e-04
9 9.920635e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.113771e-04
10 9.910803e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.068590e-04
11 9.900990e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.083922e-04
12 9.891197e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.089920e-04
13 9.881423e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.252759e-04
14 9.871668e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.087720e-04
15 9.861933e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.105440e-04
16 9.852217e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.230428e-04
17 9.842520e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.083510e-04
18 9.832842e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.084721e-04
19 9.823183e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.151222e-04
20 9.813543e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.087119e-04
21 9.803922e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.089030e-04
22 9.794319e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.077701e-04
23 9.784736e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.103941e-04
24 9.775171e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.061179e-04
25 9.765625e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.045149e-04
26 9.756098e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.174440e-04
27 9.746589e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.054069e-04
28 9.737098e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.045659e-04
29 9.727626e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.139601e-04
30 9.718173e-02 1.000000e+05 -0.000000 -0.000000 1.000000 1.051261e-04
