accepted delta gamma Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -167.054351 -178.279263 0.000013 5.709840e-01
1 5.000000e-03 1.000000e+05 -164.500080 -164.500080 1.000000 5.712579e-01
1 5.000000e-03 1.000000e+05 -164.500080 -166.533390 0.130902 5.721928e-01
1 5.000000e-03 1.000000e+05 -164.500080 -166.838692 0.096461 5.709782e-01
2 5.000000e-03 1.000000e+05 -161.815841 -161.815841 1.000000 5.712190e-01
2 5.000000e-03 1.000000e+05 -161.815841 -162.554889 0.477568 5.719547e-01
2 5.000000e-03 1.000000e+05 -161.815841 -167.198829 0.004594 5.706847e-01
3 5.000000e-03 1.000000e+05 -162.983124 -162.983124 0.311211 5.710342e-01
4 5.000000e-03 1.000000e+05 -161.884906 -161.884906 1.000000 5.722102e-01
4 5.000000e-03 1.000000e+05 -161.884906 -166.705975 0.008058 5.711452e-01
4 5.000000e-03 1.000000e+05 -161.884906 -167.464693 0.003773 5.713284e-01
5 5.000000e-03 1.000000e+05 -160.852238 -160.852238 1.000000 5.721985e-01
5 5.000000e-03 1.000000e+05 -160.852238 -166.075940 0.005387 5.711275e-01
5 5.000000e-03 1.000000e+05 -160.852238 -163.516554 0.069647 5.715454e-01
5 5.000000e-03 1.000000e+05 -160.852238 -164.613288 0.023259 5.716619e-01
5 5.000000e-03 1.000000e+05 -160.852238 -167.077601 0.001979 5.710386e-01
5 5.000000e-03 1.000000e+05 -160.852238 -163.907188 0.047125 5.713892e-01
5 5.000000e-03 1.000000e+05 -160.852238 -171.748948 0.000019 5.717074e-01
5 5.000000e-03 1.000000e+05 -160.852238 -163.766018 0.054270 5.715674e-01
6 5.000000e-03 1.000000e+05 -160.460617 -160.460617 1.000000 5.707036e-01
6 5.000000e-03 1.000000e+05 -160.460617 -162.741343 0.102210 5.717576e-01
6 5.000000e-03 1.000000e+05 -160.460617 -164.297172 0.021568 5.718854e-01
7 5.000000e-03 1.000000e+05 -160.704844 -160.704844 0.783310 5.707356e-01
8 5.000000e-03 1.000000e+05 -160.956096 -160.956096 0.777826 5.715466e-01
9 5.000000e-03 1.000000e+05 -160.822710 -160.822710 1.000000 5.707494e-01
9 5.000000e-03 1.000000e+05 -160.822710 -162.433556 0.199718 5.717195e-01
10 5.000000e-03 1.000000e+05 -159.809674 -159.809674 1.000000 5.716693e-01
11 5.000000e-03 1.000000e+05 -156.163094 -156.163094 1.000000 5.712448e-01
12 5.000000e-03 1.000000e+05 -155.511647 -155.511647 1.000000 5.725024e-01
13 5.000000e-03 1.000000e+05 -152.531855 -152.531855 1.000000 5.712628e-01
14 5.000000e-03 1.000000e+05 -148.603310 -148.603310 1.000000 5.715105e-01
14 5.000000e-03 1.000000e+05 -148.603310 -152.775765 0.015414 5.713835e-01
15 5.000000e-03 1.000000e+05 -148.029922 -148.029922 1.000000 5.717283e-01
16 5.000000e-03 1.000000e+05 -147.807973 -147.807973 1.000000 5.706267e-01
17 5.000000e-03 1.000000e+05 -142.131439 -142.131439 1.000000 5.716893e-01
17 5.000000e-03 1.000000e+05 -142.131439 -143.195010 0.345221 5.710491e-01
18 5.000000e-03 1.000000e+05 -140.391749 -140.391749 1.000000 5.712067e-01
18 5.000000e-03 1.000000e+05 -140.391749 -140.999360 0.544651 5.718974e-01
19 5.000000e-03 1.000000e+05 -137.901204 -137.901204 1.000000 5.708382e-01
19 5.000000e-03 1.000000e+05 -137.901204 -140.343716 0.086942 5.716929e-01
19 5.000000e-03 1.000000e+05 -137.901204 -141.524522 0.026694 5.719264e-01
20 5.000000e-03 1.000000e+05 -137.789918 -137.789918 1.000000 5.708254e-01
21 5.000000e-03 1.000000e+05 -139.607946 -139.607946 0.162346 5.718090e-01
22 5.000000e-03 1.000000e+05 -138.639223 -138.639223 1.000000 5.710169e-01
22 5.000000e-03 1.000000e+05 -138.639223 -145.862023 0.000730 5.716589e-01
22 5.000000e-03 1.000000e+05 -138.639223 -140.874353 0.106978 5.717879e-01
23 5.000000e-03 1.000000e+05 -137.705120 -137.705120 1.000000 5.704524e-01
24 5.000000e-03 1.000000e+05 -131.835477 -131.835477 1.000000 5.717022e-01
25 5.000000e-03 1.000000e+05 -128.240667 -128.240667 1.000000 5.707254e-01
25 5.000000e-03 1.000000e+05 -128.240667 -133.648072 0.004483 5.722957e-01
25 5.000000e-03 1.000000e+05 -128.240667 -130.017337 0.169201 5.719413e-01
25 5.000000e-03 1.000000e+05 -128.240667 -129.209306 0.379599 5.706554e-01
26 5.000000e-03 1.000000e+05 -127.061064 -127.061064 1.000000 5.712791e-01
26 5.000000e-03 1.000000e+05 -127.061064 -130.616113 0.028580 5.717284e-01
26 5.000000e-03 1.000000e+05 -127.061064 -131.952498 0.007511 5.706388e-01
26 5.000000e-03 1.000000e+05 -127.061064 -134.014818 0.000955 5.712518e-01
26 5.000000e-03 1.000000e+05 -127.061064 -131.833320 0.008461 5.714265e-01
26 5.000000e-03 1.000000e+05 -127.061064 -130.315407 0.038606 5.718356e-01
26 5.000000e-03 1.000000e+05 -127.061064 -129.725049 0.069670 5.708715e-01
26 5.000000e-03 1.000000e+05 -127.061064 -127.639681 0.560673 5.710642e-01
27 5.000000e-03 1.000000e+05 -125.067350 -125.067350 1.000000 5.715269e-01
28 5.000000e-03 1.000000e+05 -121.046770 -121.046770 1.000000 5.705650e-01
29 5.000000e-03 1.000000e+05 -116.085508 -116.085508 1.000000 5.715835e-01
29 5.000000e-03 1.000000e+05 -116.085508 -116.403016 0.727961 5.707491e-01
30 5.000000e-03 1.000000e+05 -115.398421 -115.398421 1.000000 5.709926e-01
31 5.000000e-03 1.000000e+05 -115.540674 -115.540674 0.867401 5.726188e-01
31 5.000000e-03 1.000000e+05 -115.540674 -119.172697 0.026463 5.712829e-01
32 5.000000e-03 1.000000e+05 -111.568819 -111.568819 1.000000 5.717276e-01
32 5.000000e-03 1.000000e+05 -111.568819 -117.461391 0.002760 5.706529e-01
33 5.000000e-03 1.000000e+05 -110.092344 -110.092344 1.000000 5.710519e-01
34 5.000000e-03 1.000000e+05 -110.530964 -110.530964 0.644926 5.716543e-01
34 5.000000e-03 1.000000e+05 -110.530964 -116.754867 0.001981 5.712541e-01
34 5.000000e-03 1.000000e+05 -110.530964 -115.696959 0.005707 5.715341e-01
34 5.000000e-03 1.000000e+05 -110.530964 -116.658476 0.002182 5.718084e-01
35 5.000000e-03 1.000000e+05 -110.356458 -110.356458 1.000000 5.705092e-01
35 5.000000e-03 1.000000e+05 -110.356458 -111.918086 0.209794 5.716520e-01
36 5.000000e-03 1.000000e+05 -108.839069 -108.839069 1.000000 5.719652e-01
