accepted delta gamma Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -226.342415 -228.812809 0.084552 5.752650e-01
0 5.000000e-03 1.000000e+05 -226.342415 -227.745755 0.245775 5.732006e-01
0 5.000000e-03 1.000000e+05 -226.342415 -230.723177 0.012516 5.727872e-01
1 5.000000e-03 1.000000e+05 -223.534373 -223.534373 1.000000 5.731266e-01
2 5.000000e-03 1.000000e+05 -219.134431 -219.134431 1.000000 5.729383e-01
3 5.000000e-03 1.000000e+05 -215.824113 -215.824113 1.000000 5.730717e-01
4 5.000000e-03 1.000000e+05 -211.849247 -211.849247 1.000000 5.731806e-01
5 5.000000e-03 1.000000e+05 -201.126227 -201.126227 1.000000 5.729613e-01
5 5.000000e-03 1.000000e+05 -201.126227 -204.116726 0.050262 5.733528e-01
6 5.000000e-03 1.000000e+05 -193.413904 -193.413904 1.000000 5.728271e-01
7 5.000000e-03 1.000000e+05 -189.684702 -189.684702 1.000000 5.727345e-01
8 5.000000e-03 1.000000e+05 -187.744844 -187.744844 1.000000 5.732391e-01
9 5.000000e-03 1.000000e+05 -181.016224 -181.016224 1.000000 5.729025e-01
9 5.000000e-03 1.000000e+05 -181.016224 -192.885348 0.000007 5.730619e-01
10 5.000000e-03 1.000000e+05 -171.428444 -171.428444 1.000000 5.729775e-01
11 5.000000e-03 1.000000e+05 -172.980638 -172.980638 0.211783 5.732394e-01
12 5.000000e-03 1.000000e+05 -170.342963 -170.342963 1.000000 5.731199e-01
13 5.000000e-03 1.000000e+05 -165.834160 -165.834160 1.000000 5.731500e-01
14 5.000000e-03 1.000000e+05 -162.334327 -162.334327 1.000000 5.730710e-01
14 5.000000e-03 1.000000e+05 -162.334327 -163.412540 0.340203 5.729023e-01
15 5.000000e-03 1.000000e+05 -163.501450 -163.501450 0.311261 5.726982e-01
16 5.000000e-03 1.000000e+05 -165.960502 -165.960502 0.085516 5.730843e-01
16 5.000000e-03 1.000000e+05 -165.960502 -168.270605 0.099251 5.727681e-01
17 5.000000e-03 1.000000e+05 -168.136897 -168.136897 0.113450 5.730310e-01
18 5.000000e-03 1.000000e+05 -167.415962 -167.415962 1.000000 5.731517e-01
19 5.000000e-03 1.000000e+05 -162.132782 -162.132782 1.000000 5.731047e-01
19 5.000000e-03 1.000000e+05 -162.132782 -165.271553 0.043336 5.731905e-01
20 5.000000e-03 1.000000e+05 -160.412349 -160.412349 1.000000 5.729975e-01
20 5.000000e-03 1.000000e+05 -160.412349 -162.306339 0.150470 5.729331e-01
21 5.000000e-03 1.000000e+05 -159.616549 -159.616549 1.000000 5.730373e-01
22 5.000000e-03 1.000000e+05 -160.057679 -160.057679 0.643309 5.728455e-01
22 5.000000e-03 1.000000e+05 -160.057679 -164.807031 0.008657 5.728506e-01
22 5.000000e-03 1.000000e+05 -160.057679 -167.399714 0.000648 5.726982e-01
22 5.000000e-03 1.000000e+05 -160.057679 -161.418192 0.256529 5.729186e-01
23 5.000000e-03 1.000000e+05 -155.497928 -155.497928 1.000000 5.728017e-01
24 5.000000e-03 1.000000e+05 -152.949945 -152.949945 1.000000 5.727066e-01
24 5.000000e-03 1.000000e+05 -152.949945 -153.853100 0.405289 5.726831e-01
24 5.000000e-03 1.000000e+05 -152.949945 -153.993108 0.352339 5.733817e-01
24 5.000000e-03 1.000000e+05 -152.949945 -156.795987 0.021364 5.728573e-01
25 5.000000e-03 1.000000e+05 -152.903937 -152.903937 1.000000 5.731464e-01
26 5.000000e-03 1.000000e+05 -153.748486 -153.748486 0.429751 5.728036e-01
27 5.000000e-03 1.000000e+05 -154.726448 -154.726448 0.376077 5.730622e-01
28 5.000000e-03 1.000000e+05 -148.730224 -148.730224 1.000000 5.729336e-01
28 5.000000e-03 1.000000e+05 -148.730224 -156.176192 0.000584 5.732194e-01
29 5.000000e-03 1.000000e+05 -143.592702 -143.592702 1.000000 5.727651e-01
30 5.000000e-03 1.000000e+05 -142.003195 -142.003195 1.000000 5.729876e-01
31 5.000000e-03 1.000000e+05 -135.963552 -135.963552 1.000000 5.729467e-01
31 5.000000e-03 1.000000e+05 -135.963552 -140.705977 0.008717 5.727172e-01
32 5.000000e-03 1.000000e+05 -138.194279 -138.194279 0.107450 5.729806e-01
33 5.000000e-03 1.000000e+05 -135.776496 -135.776496 1.000000 5.737703e-01
33 5.000000e-03 1.000000e+05 -135.776496 -140.391543 0.009902 5.729721e-01
33 5.000000e-03 1.000000e+05 -135.776496 -138.406751 0.072060 5.728599e-01
33 5.000000e-03 1.000000e+05 -135.776496 -141.659464 0.002787 5.729008e-01
34 5.000000e-03 1.000000e+05 -135.103499 -135.103499 1.000000 5.728700e-01
