accepted delta gamma error Lprev Lstar alpha time
1 5.000000e-03 1.000000e+05 -1.918489e-03 -191.848891 -191.848891 0.220154 5.702595e-01
1 5.000000e-03 1.000000e+05 -2.058079e-03 -191.848891 -205.807906 0.000001 5.682843e-01
2 5.000000e-03 1.000000e+05 -1.856193e-03 -185.619348 -185.619348 1.000000 5.694997e-01
3 5.000000e-03 1.000000e+05 -1.826208e-03 -182.620760 -182.620760 1.000000 5.680810e-01
4 5.000000e-03 1.000000e+05 -1.820104e-03 -182.010374 -182.010374 1.000000 5.686151e-01
4 5.000000e-03 1.000000e+05 -2.005536e-03 -182.010374 -200.553596 0.000000 5.677409e-01
5 5.000000e-03 1.000000e+05 -1.831242e-03 -183.124161 -183.124161 0.328313 5.682871e-01
6 5.000000e-03 1.000000e+05 -1.728218e-03 -172.821772 -172.821772 1.000000 5.677010e-01
7 5.000000e-03 1.000000e+05 -1.711184e-03 -171.118381 -171.118381 1.000000 5.686809e-01
8 5.000000e-03 1.000000e+05 -1.647065e-03 -164.706539 -164.706539 1.000000 5.673913e-01
8 5.000000e-03 1.000000e+05 -1.706520e-03 -164.706539 -170.651975 0.002618 5.680488e-01
9 5.000000e-03 1.000000e+05 -1.572618e-03 -157.261757 -157.261757 1.000000 5.695002e-01
9 5.000000e-03 1.000000e+05 -1.578880e-03 -157.261757 -157.888023 0.534584 5.676386e-01
10 5.000000e-03 1.000000e+05 -1.547900e-03 -154.790026 -154.790026 1.000000 5.680108e-01
10 5.000000e-03 1.000000e+05 -2.108551e-03 -154.790026 -210.855087 0.000000 5.672072e-01
10 5.000000e-03 1.000000e+05 -1.559999e-03 -154.790026 -155.999855 0.298248 5.682575e-01
10 5.000000e-03 1.000000e+05 -1.848638e-03 -154.790026 -184.863831 0.000000 5.680113e-01
11 5.000000e-03 1.000000e+05 -1.476951e-03 -147.695110 -147.695110 1.000000 5.683207e-01
12 5.000000e-03 1.000000e+05 -1.446971e-03 -144.697138 -144.697138 1.000000 5.675470e-01
13 5.000000e-03 1.000000e+05 -1.379888e-03 -137.988796 -137.988796 1.000000 5.685641e-01
13 5.000000e-03 1.000000e+05 -1.588291e-03 -137.988796 -158.829099 0.000000 5.675789e-01
13 5.000000e-03 1.000000e+05 -1.403343e-03 -137.988796 -140.334301 0.095799 5.682177e-01
14 5.000000e-03 1.000000e+05 -1.355550e-03 -135.555022 -135.555022 1.000000 5.683847e-01
15 5.000000e-03 1.000000e+05 -1.271649e-03 -127.164908 -127.164908 1.000000 5.674594e-01
16 5.000000e-03 1.000000e+05 -1.259815e-03 -125.981465 -125.981465 1.000000 5.686085e-01
16 5.000000e-03 1.000000e+05 -1.262301e-03 -125.981465 -126.230111 0.779856 5.676822e-01
16 5.000000e-03 1.000000e+05 -1.269205e-03 -125.981465 -126.920486 0.391010 5.677917e-01
17 5.000000e-03 1.000000e+05 -1.292928e-03 -129.292770 -129.292770 0.036469 5.685792e-01
18 5.000000e-03 1.000000e+05 -1.285757e-03 -128.575704 -128.575704 1.000000 5.682462e-01
18 5.000000e-03 1.000000e+05 -1.424192e-03 -128.575704 -142.419184 0.000001 5.685218e-01
18 5.000000e-03 1.000000e+05 -1.295510e-03 -128.575704 -129.551014 0.377075 5.673549e-01
19 5.000000e-03 1.000000e+05 -1.258065e-03 -125.806544 -125.806544 1.000000 5.674031e-01
20 5.000000e-03 1.000000e+05 -1.240160e-03 -124.015997 -124.015997 1.000000 5.684349e-01
20 5.000000e-03 1.000000e+05 -1.268607e-03 -124.015997 -126.860748 0.058149 5.673094e-01
21 5.000000e-03 1.000000e+05 -1.227031e-03 -122.703059 -122.703059 1.000000 5.677918e-01
22 5.000000e-03 1.000000e+05 -1.228484e-03 -122.848353 -122.848353 0.864768 5.674307e-01
22 5.000000e-03 1.000000e+05 -1.248840e-03 -122.848353 -124.883998 0.130596 5.680965e-01
22 5.000000e-03 1.000000e+05 -1.264731e-03 -122.848353 -126.473063 0.026657 5.685161e-01
23 5.000000e-03 1.000000e+05 -1.191059e-03 -119.105910 -119.105910 1.000000 5.674541e-01
23 5.000000e-03 1.000000e+05 -1.207842e-03 -119.105910 -120.784232 0.186687 5.680519e-01
23 5.000000e-03 1.000000e+05 -1.226110e-03 -119.105910 -122.610991 0.030044 5.686179e-01
24 5.000000e-03 1.000000e+05 -1.183417e-03 -118.341698 -118.341698 1.000000 5.672329e-01
25 5.000000e-03 1.000000e+05 -1.182624e-03 -118.262432 -118.262432 1.000000 5.678797e-01
25 5.000000e-03 1.000000e+05 -1.228856e-03 -118.262432 -122.885569 0.009822 5.672494e-01
26 5.000000e-03 1.000000e+05 -1.175240e-03 -117.523963 -117.523963 1.000000 5.673374e-01
26 5.000000e-03 1.000000e+05 -1.236656e-03 -117.523963 -123.665596 0.002151 5.683885e-01
27 5.000000e-03 1.000000e+05 -1.127998e-03 -112.799794 -112.799794 1.000000 5.672362e-01
28 5.000000e-03 1.000000e+05 -1.109766e-03 -110.976558 -110.976558 1.000000 5.678134e-01
28 5.000000e-03 1.000000e+05 -1.126513e-03 -110.976558 -112.651314 0.187354 5.673494e-01
28 5.000000e-03 1.000000e+05 -1.129101e-03 -110.976558 -112.910094 0.144636 5.673478e-01
29 5.000000e-03 1.000000e+05 -1.101394e-03 -110.139444 -110.139444 1.000000 5.685427e-01
30 5.000000e-03 1.000000e+05 -1.089849e-03 -108.984915 -108.984915 1.000000 5.674025e-01
