accepted delta gamma Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -130.528849 -132.728422 0.110850 1.052445e+00
1 5.000000e-03 1.000000e+05 -129.045962 -129.045962 1.000000 1.084722e+00
1 5.000000e-03 1.000000e+05 -129.045962 -131.974738 0.053462 1.043364e+00
2 5.000000e-03 1.000000e+05 -126.968241 -126.968241 1.000000 1.046824e+00
3 5.000000e-03 1.000000e+05 -129.218781 -129.218781 0.105342 1.067695e+00
3 5.000000e-03 1.000000e+05 -129.218781 -132.443858 0.039753 1.038937e+00
3 5.000000e-03 1.000000e+05 -129.218781 -130.478714 0.283673 1.051926e+00
4 5.000000e-03 1.000000e+05 -131.630501 -131.630501 0.089661 1.061950e+00
5 5.000000e-03 1.000000e+05 -130.449099 -130.449099 1.000000 1.044025e+00
6 5.000000e-03 1.000000e+05 -130.612494 -130.612494 0.849256 1.071844e+00
7 5.000000e-03 1.000000e+05 -126.744247 -126.744247 1.000000 1.061704e+00
7 5.000000e-03 1.000000e+05 -126.744247 -133.264089 0.001474 1.066926e+00
7 5.000000e-03 1.000000e+05 -126.744247 -129.019696 0.102751 1.070166e+00
8 5.000000e-03 1.000000e+05 -126.939832 -126.939832 0.822353 1.053563e+00
8 5.000000e-03 1.000000e+05 -126.939832 -131.119538 0.015303 1.071400e+00
9 5.000000e-03 1.000000e+05 -124.078326 -124.078326 1.000000 1.064585e+00
9 5.000000e-03 1.000000e+05 -124.078326 -125.300181 0.294683 1.071890e+00
9 5.000000e-03 1.000000e+05 -124.078326 -124.615637 0.584317 1.064973e+00
9 5.000000e-03 1.000000e+05 -124.078326 -126.703498 0.072427 1.044530e+00
9 5.000000e-03 1.000000e+05 -124.078326 -126.649962 0.076410 1.054706e+00
9 5.000000e-03 1.000000e+05 -124.078326 -125.798817 0.178978 1.041017e+00
10 5.000000e-03 1.000000e+05 -121.701656 -121.701656 1.000000 1.052402e+00
11 5.000000e-03 1.000000e+05 -121.661096 -121.661096 1.000000 1.045962e+00
12 5.000000e-03 1.000000e+05 -121.844425 -121.844425 0.832495 1.051775e+00
12 5.000000e-03 1.000000e+05 -121.844425 -126.730433 0.007552 1.062358e+00
13 5.000000e-03 1.000000e+05 -121.941362 -121.941362 0.907613 1.047815e+00
14 5.000000e-03 1.000000e+05 -119.152003 -119.152003 1.000000 1.043830e+00
14 5.000000e-03 1.000000e+05 -119.152003 -124.646162 0.004111 1.039836e+00
14 5.000000e-03 1.000000e+05 -119.152003 -121.911779 0.063306 1.047722e+00
15 5.000000e-03 1.000000e+05 -118.649082 -118.649082 1.000000 1.170996e+00
15 5.000000e-03 1.000000e+05 -118.649082 -122.541672 0.020392 1.097338e+00
15 5.000000e-03 1.000000e+05 -118.649082 -120.293638 0.193098 1.068703e+00
15 5.000000e-03 1.000000e+05 -118.649082 -119.845642 0.302232 1.062137e+00
15 5.000000e-03 1.000000e+05 -118.649082 -125.259940 0.001346 1.045169e+00
15 5.000000e-03 1.000000e+05 -118.649082 -118.965290 0.728907 1.039224e+00
16 5.000000e-03 1.000000e+05 -114.621663 -114.621663 1.000000 1.061528e+00
17 5.000000e-03 1.000000e+05 -115.135143 -115.135143 0.598409 1.049954e+00
17 5.000000e-03 1.000000e+05 -115.135143 -118.238353 0.044905 1.070889e+00
