accepted delta gamma Lprev Lstar alpha time
1 5.000000e-03 1.000000e+05 -127.678516 -127.678516 1.000000 1.516774e+00
1 5.000000e-03 1.000000e+05 -127.678516 -133.976456 0.001840 1.516694e+00
2 5.000000e-03 1.000000e+05 -129.202758 -129.202758 0.217786 1.517665e+00
3 5.000000e-03 1.000000e+05 -123.390460 -123.390460 1.000000 1.517248e+00
3 5.000000e-03 1.000000e+05 -123.390460 -130.124554 0.001190 1.517009e+00
4 5.000000e-03 1.000000e+05 -120.274745 -120.274745 1.000000 1.517370e+00
4 5.000000e-03 1.000000e+05 -120.274745 -123.922703 0.026044 1.516930e+00
4 5.000000e-03 1.000000e+05 -120.274745 -122.128101 0.156710 1.517892e+00
4 5.000000e-03 1.000000e+05 -120.274745 -123.781230 0.030002 1.517258e+00
4 5.000000e-03 1.000000e+05 -120.274745 -122.939566 0.069612 1.517420e+00
5 5.000000e-03 1.000000e+05 -121.917931 -121.917931 0.193363 1.517310e+00
5 5.000000e-03 1.000000e+05 -121.917931 -122.814028 0.408160 1.516680e+00
5 5.000000e-03 1.000000e+05 -121.917931 -127.138155 0.005406 1.516595e+00
6 5.000000e-03 1.000000e+05 -122.209615 -122.209615 0.747005 1.516752e+00
6 5.000000e-03 1.000000e+05 -122.209615 -125.199241 0.050306 1.517035e+00
7 5.000000e-03 1.000000e+05 -118.349719 -118.349719 1.000000 1.516504e+00
8 5.000000e-03 1.000000e+05 -117.267557 -117.267557 1.000000 1.516430e+00
8 5.000000e-03 1.000000e+05 -117.267557 -121.306632 0.017614 1.516400e+00
9 5.000000e-03 1.000000e+05 -117.070770 -117.070770 1.000000 1.516847e+00
9 5.000000e-03 1.000000e+05 -117.070770 -120.046060 0.051033 1.517039e+00
10 5.000000e-03 1.000000e+05 -116.509748 -116.509748 1.000000 1.517016e+00
10 5.000000e-03 1.000000e+05 -116.509748 -118.125683 0.198705 1.516665e+00
11 5.000000e-03 1.000000e+05 -117.042852 -117.042852 0.586781 1.516448e+00
11 5.000000e-03 1.000000e+05 -117.042852 -118.101111 0.347060 1.516496e+00
12 5.000000e-03 1.000000e+05 -114.589230 -114.589230 1.000000 1.516413e+00
12 5.000000e-03 1.000000e+05 -114.589230 -115.822507 0.291336 1.517282e+00
13 5.000000e-03 1.000000e+05 -115.162396 -115.162396 0.563738 1.516907e+00
13 5.000000e-03 1.000000e+05 -115.162396 -116.753429 0.203715 1.517293e+00
14 5.000000e-03 1.000000e+05 -115.145066 -115.145066 1.000000 1.516773e+00
15 5.000000e-03 1.000000e+05 -109.687296 -109.687296 1.000000 1.517237e+00
15 5.000000e-03 1.000000e+05 -109.687296 -116.073164 0.001685 1.517254e+00
16 5.000000e-03 1.000000e+05 -101.158398 -101.158398 1.000000 1.517597e+00
17 5.000000e-03 1.000000e+05 -100.945982 -100.945982 1.000000 1.517799e+00
17 5.000000e-03 1.000000e+05 -100.945982 -103.182360 0.106845 1.517274e+00
18 5.000000e-03 1.000000e+05 -100.359635 -100.359635 1.000000 1.517627e+00
19 5.000000e-03 1.000000e+05 -94.683922 -94.683922 1.000000 1.516978e+00
20 5.000000e-03 1.000000e+05 -93.644197 -93.644197 1.000000 1.517701e+00
21 5.000000e-03 1.000000e+05 -88.987339 -88.987339 1.000000 1.518523e+00
21 5.000000e-03 1.000000e+05 -88.987339 -90.335637 0.259682 1.517539e+00
22 5.000000e-03 1.000000e+05 -87.218763 -87.218763 1.000000 1.517391e+00
22 5.000000e-03 1.000000e+05 -87.218763 -90.176489 0.051937 1.517363e+00
23 5.000000e-03 1.000000e+05 -82.625311 -82.625311 1.000000 1.517154e+00
23 5.000000e-03 1.000000e+05 -82.625311 -83.823200 0.301831 1.517919e+00
24 5.000000e-03 1.000000e+05 -82.025033 -82.025033 1.000000 1.517815e+00
25 5.000000e-03 1.000000e+05 -80.036864 -80.036864 1.000000 1.517134e+00
25 5.000000e-03 1.000000e+05 -80.036864 -84.216728 0.015301 1.517456e+00
26 5.000000e-03 1.000000e+05 -77.000823 -77.000823 1.000000 1.517366e+00
27 5.000000e-03 1.000000e+05 -75.896850 -75.896850 1.000000 1.518713e+00
27 5.000000e-03 1.000000e+05 -75.896850 -76.941201 0.351920 1.517540e+00
28 5.000000e-03 1.000000e+05 -72.698059 -72.698059 1.000000 1.517570e+00
28 5.000000e-03 1.000000e+05 -72.698059 -74.091895 0.248122 1.517126e+00
28 5.000000e-03 1.000000e+05 -72.698059 -74.849964 0.116262 1.517253e+00
28 5.000000e-03 1.000000e+05 -72.698059 -75.800306 0.044948 1.517431e+00
28 5.000000e-03 1.000000e+05 -72.698059 -73.193015 0.609597 1.517738e+00
29 5.000000e-03 1.000000e+05 -71.624690 -71.624690 1.000000 1.517367e+00
30 5.000000e-03 1.000000e+05 -72.270913 -72.270913 0.524021 1.517768e+00
30 5.000000e-03 1.000000e+05 -72.270913 -74.444056 0.113819 1.517723e+00
31 5.000000e-03 1.000000e+05 -73.670370 -73.670370 0.246731 1.517396e+00
31 5.000000e-03 1.000000e+05 -73.670370 -80.173335 0.001499 1.516973e+00
32 5.000000e-03 1.000000e+05 -72.330670 -72.330670 1.000000 1.517573e+00
33 5.000000e-03 1.000000e+05 -69.561224 -69.561224 1.000000 1.518031e+00
33 5.000000e-03 1.000000e+05 -69.561224 -72.656794 0.045249 1.517642e+00
33 5.000000e-03 1.000000e+05 -69.561224 -69.996360 0.647177 1.517436e+00
34 5.000000e-03 1.000000e+05 -67.226212 -67.226212 1.000000 1.517418e+00
35 5.000000e-03 1.000000e+05 -68.042126 -68.042126 0.442235 1.518451e+00
36 5.000000e-03 1.000000e+05 -65.653543 -65.653543 1.000000 1.517490e+00
36 5.000000e-03 1.000000e+05 -65.653543 -66.648311 0.369809 1.517416e+00
37 5.000000e-03 1.000000e+05 -65.270139 -65.270139 1.000000 1.516977e+00
37 5.000000e-03 1.000000e+05 -65.270139 -67.035072 0.171198 1.516862e+00
38 5.000000e-03 1.000000e+05 -65.516379 -65.516379 0.781734 1.517265e+00
39 5.000000e-03 1.000000e+05 -63.459115 -63.459115 1.000000 1.517527e+00
40 5.000000e-03 1.000000e+05 -61.939327 -61.939327 1.000000 1.517631e+00
40 5.000000e-03 1.000000e+05 -61.939327 -63.109507 0.310311 1.517435e+00
40 5.000000e-03 1.000000e+05 -61.939327 -63.336122 0.247388 1.517873e+00
40 5.000000e-03 1.000000e+05 -61.939327 -65.342089 0.033281 1.517030e+00
40 5.000000e-03 1.000000e+05 -61.939327 -67.458454 0.004009 1.517788e+00
40 5.000000e-03 1.000000e+05 -61.939327 -65.409881 0.031100 1.517599e+00
41 5.000000e-03 1.000000e+05 -61.911488 -61.911488 1.000000 1.517476e+00
42 5.000000e-03 1.000000e+05 -59.806886 -59.806886 1.000000 1.517831e+00
43 5.000000e-03 1.000000e+05 -59.516765 -59.516765 1.000000 1.517301e+00
43 5.000000e-03 1.000000e+05 -59.516765 -63.678744 0.015577 1.517802e+00
44 5.000000e-03 1.000000e+05 -54.983837 -54.983837 1.000000 1.517531e+00
44 5.000000e-03 1.000000e+05 -54.983837 -56.062221 0.340145 1.517692e+00
45 5.000000e-03 1.000000e+05 -55.205110 -55.205110 0.801498 1.517280e+00
45 5.000000e-03 1.000000e+05 -55.205110 -60.535846 0.004841 1.517582e+00
46 5.000000e-03 1.000000e+05 -52.303966 -52.303966 1.000000 1.517310e+00
47 5.000000e-03 1.000000e+05 -52.052040 -52.052040 1.000000 1.517627e+00
47 5.000000e-03 1.000000e+05 -52.052040 -56.624966 0.010328 1.518004e+00
47 5.000000e-03 1.000000e+05 -52.052040 -55.871399 0.021942 1.517507e+00
47 5.000000e-03 1.000000e+05 -52.052040 -52.341422 0.748726 1.517101e+00
48 5.000000e-03 1.000000e+05 -51.555123 -51.555123 1.000000 1.517428e+00
49 5.000000e-03 1.000000e+05 -50.761016 -50.761016 1.000000 1.517196e+00
49 5.000000e-03 1.000000e+05 -50.761016 -55.290432 0.010787 1.517886e+00
50 5.000000e-03 1.000000e+05 -50.904861 -50.904861 0.866022 1.517799e+00
