accepted delta gamma Lprev Lstar alpha time
1 5.000000e-03 1.000000e+05 -350.153326 -350.153326 0.869750 3.236292e-01
2 5.000000e-03 1.000000e+05 -350.360609 -350.360609 0.812789 3.086694e-01
3 5.000000e-03 1.000000e+05 -350.102264 -350.102264 1.000000 3.088191e-01
4 5.000000e-03 1.000000e+05 -349.073339 -349.073339 1.000000 3.043579e-01
5 5.000000e-03 1.000000e+05 -348.752772 -348.752772 1.000000 3.023031e-01
6 5.000000e-03 1.000000e+05 -347.721009 -347.721009 1.000000 3.260915e-01
7 5.000000e-03 1.000000e+05 -348.743436 -348.743436 0.359721 3.014394e-01
8 5.000000e-03 1.000000e+05 -347.794969 -347.794969 1.000000 3.007088e-01
9 5.000000e-03 1.000000e+05 -346.090538 -346.090538 1.000000 2.979075e-01
10 5.000000e-03 1.000000e+05 -344.787515 -344.787515 1.000000 3.370046e-01
11 5.000000e-03 1.000000e+05 -344.396761 -344.396761 1.000000 3.253200e-01
12 5.000000e-03 1.000000e+05 -343.680541 -343.680541 1.000000 2.912765e-01
13 5.000000e-03 1.000000e+05 -342.769957 -342.769957 1.000000 3.916325e-01
13 5.000000e-03 1.000000e+05 -342.769957 -343.128010 0.699036 3.878646e-01
14 5.000000e-03 1.000000e+05 -342.941907 -342.941907 0.842021 2.974841e-01
15 5.000000e-03 1.000000e+05 -343.299654 -343.299654 0.699250 3.224651e-01
16 5.000000e-03 1.000000e+05 -342.773353 -342.773353 1.000000 3.216335e-01
17 5.000000e-03 1.000000e+05 -342.199063 -342.199063 1.000000 3.186591e-01
18 5.000000e-03 1.000000e+05 -341.874542 -341.874542 1.000000 3.320959e-01
19 5.000000e-03 1.000000e+05 -341.925944 -341.925944 0.949896 3.129417e-01
20 5.000000e-03 1.000000e+05 -342.266390 -342.266390 0.711453 3.318824e-01
21 5.000000e-03 1.000000e+05 -342.029866 -342.029866 1.000000 3.091331e-01
22 5.000000e-03 1.000000e+05 -341.936401 -341.936401 1.000000 2.889334e-01
23 5.000000e-03 1.000000e+05 -342.410382 -342.410382 0.622519 2.981769e-01
24 5.000000e-03 1.000000e+05 -342.710631 -342.710631 0.740634 3.048146e-01
25 5.000000e-03 1.000000e+05 -342.880439 -342.880439 0.843826 2.954886e-01
26 5.000000e-03 1.000000e+05 -343.225455 -343.225455 0.708209 3.282548e-01
27 5.000000e-03 1.000000e+05 -343.545959 -343.545959 0.725783 3.144065e-01
28 5.000000e-03 1.000000e+05 -343.588580 -343.588580 0.958275 3.680252e-01
29 5.000000e-03 1.000000e+05 -343.591966 -343.591966 0.996620 2.942583e-01
30 5.000000e-03 1.000000e+05 -343.907657 -343.907657 0.729285 3.198326e-01
30 5.000000e-03 1.000000e+05 -343.907657 -344.435878 0.589653 3.029211e-01
31 5.000000e-03 1.000000e+05 -343.241597 -343.241597 1.000000 3.011146e-01
32 5.000000e-03 1.000000e+05 -342.998389 -342.998389 1.000000 2.999019e-01
33 5.000000e-03 1.000000e+05 -343.071127 -343.071127 0.929844 3.262004e-01
34 5.000000e-03 1.000000e+05 -342.972118 -342.972118 1.000000 3.146694e-01
35 5.000000e-03 1.000000e+05 -342.400096 -342.400096 1.000000 3.287623e-01
36 5.000000e-03 1.000000e+05 -342.515256 -342.515256 0.891223 3.247006e-01
37 5.000000e-03 1.000000e+05 -342.196655 -342.196655 1.000000 3.079547e-01
38 5.000000e-03 1.000000e+05 -341.874439 -341.874439 1.000000 2.946506e-01
39 5.000000e-03 1.000000e+05 -342.799665 -342.799665 0.396442 3.149371e-01
40 5.000000e-03 1.000000e+05 -342.784258 -342.784258 1.000000 3.165524e-01
