accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -1.920320e-03 -15.631763 -19.203203 0.028115 1.009061e+00
1 9.523810e-02 1.000000e+04 -1.351517e-03 -13.515170 -13.515170 1.000000 1.007992e+00
2 9.090909e-02 1.000000e+04 -1.373174e-03 -13.731743 -13.731743 0.805273 1.009323e+00
2 8.695652e-02 1.000000e+04 -1.606570e-03 -13.731743 -16.065701 0.096911 1.007843e+00
2 8.333333e-02 1.000000e+04 -1.658295e-03 -13.731743 -16.582952 0.057774 1.008947e+00
3 8.000000e-02 1.000000e+04 -1.346651e-03 -13.466512 -13.466512 1.000000 1.008374e+00
4 7.692308e-02 1.000000e+04 -1.341281e-03 -13.412811 -13.412811 1.000000 1.009230e+00
5 7.407407e-02 1.000000e+04 -1.601837e-03 -16.018373 -16.018373 0.073862 1.007521e+00
6 7.142857e-02 1.000000e+04 -1.414525e-03 -14.145253 -14.145253 1.000000 1.009098e+00
7 6.896552e-02 1.000000e+04 -1.093611e-03 -10.936115 -10.936115 1.000000 1.008967e+00
8 6.666667e-02 1.000000e+04 -9.205574e-04 -9.205574 -9.205574 1.000000 1.006868e+00
9 6.451613e-02 1.000000e+04 -9.890338e-04 -9.890338 -9.890338 0.504209 1.008861e+00
9 6.250000e-02 1.000000e+04 -1.091718e-03 -9.890338 -10.917181 0.358136 1.008031e+00
9 6.060606e-02 1.000000e+04 -1.183114e-03 -9.890338 -11.831136 0.143589 1.007767e+00
10 5.882353e-02 1.000000e+04 -1.030651e-03 -10.306513 -10.306513 0.659564 3.508879e+00
10 5.714286e-02 1.000000e+04 -1.154095e-03 -10.306513 -11.540951 0.290998 1.010179e+00
11 5.555556e-02 1.000000e+04 -9.072224e-04 -9.072224 -9.072224 1.000000 1.009723e+00
12 5.405405e-02 1.000000e+04 -8.985892e-04 -8.985892 -8.985892 1.000000 1.007911e+00
13 5.263158e-02 1.000000e+04 -9.241941e-04 -9.241941 -9.241941 0.774104 1.009796e+00
14 5.128205e-02 1.000000e+04 -7.497107e-04 -7.497107 -7.497107 1.000000 1.010479e+00
15 5.000000e-02 1.000000e+04 -7.114048e-04 -7.114048 -7.114048 1.000000 1.009607e+00
15 4.878049e-02 1.000000e+04 -8.469182e-04 -7.114048 -8.469182 0.257913 1.008651e+00
15 4.761905e-02 1.000000e+04 -8.935236e-04 -7.114048 -8.935236 0.161833 1.008242e+00
15 4.651163e-02 1.000000e+04 -9.060565e-04 -7.114048 -9.060565 0.142770 1.006901e+00
15 4.545455e-02 1.000000e+04 -7.771645e-04 -7.114048 -7.771645 0.518095 1.008379e+00
16 4.444444e-02 1.000000e+04 -7.594812e-04 -7.594812 -7.594812 0.618311 1.008099e+00
17 4.347826e-02 1.000000e+04 -8.468893e-04 -8.468893 -8.468893 0.417245 1.007679e+00
17 4.255319e-02 1.000000e+04 -1.012940e-03 -8.468893 -10.129404 0.190042 1.008122e+00
17 4.166667e-02 1.000000e+04 -9.594776e-04 -8.468893 -9.594776 0.324366 1.009022e+00
17 4.081633e-02 1.000000e+04 -9.809803e-04 -8.468893 -9.809803 0.261607 1.007583e+00
18 4.000000e-02 1.000000e+04 -8.236275e-04 -8.236275 -8.236275 1.000000 1.007481e+00
18 3.921569e-02 1.000000e+04 -1.075203e-03 -8.236275 -10.752029 0.080802 1.007893e+00
