accepted delta gamma Lprev Lstar alpha time
1 3.000000e-01 1.000000e+04 -28.710068 -28.710068 1.000000 1.010793e+00
2 2.970297e-01 1.000000e+04 -20.337324 -20.337324 1.000000 1.009706e+00
2 2.941176e-01 1.100000e+04 -22.371057 -24.490522 0.120096 1.009433e+00
2 2.912621e-01 1.210000e+04 -26.939575 -34.190141 0.000710 1.009091e+00
2 2.884615e-01 1.210000e+04 -26.939575 -30.319807 0.034040 1.009667e+00
3 2.857143e-01 1.210000e+04 -22.472317 -22.472317 1.000000 1.009408e+00
3 2.830189e-01 1.331000e+04 -24.719548 -33.233485 0.000201 1.009394e+00
4 2.803738e-01 1.464100e+04 -34.687403 -34.687403 1.000000 1.009569e+00
5 2.777778e-01 1.464100e+04 -29.179304 -29.179304 1.000000 1.009706e+00
6 2.752294e-01 1.464100e+04 -24.825849 -24.825849 1.000000 1.009311e+00
7 2.727273e-01 1.610510e+04 -22.062153 -22.062153 1.000000 1.010066e+00
7 2.702703e-01 1.771561e+04 -24.268368 -35.220880 0.000018 1.009485e+00
8 2.678571e-01 1.948717e+04 -19.713594 -19.713594 1.000000 1.008671e+00
8 2.654867e-01 2.143589e+04 -21.684953 -33.059641 0.000011 1.008984e+00
9 2.631579e-01 2.357948e+04 -34.838258 -34.838258 1.000000 1.009336e+00
9 2.608696e-01 2.357948e+04 -34.838258 -46.584675 0.000008 1.008860e+00
10 2.586207e-01 2.357948e+04 -31.018870 -31.018870 1.000000 1.009738e+00
10 2.564103e-01 2.357948e+04 -31.018870 -38.197000 0.000763 1.009091e+00
10 2.542373e-01 2.357948e+04 -31.018870 -33.323037 0.099842 1.009672e+00
10 2.521008e-01 2.357948e+04 -31.018870 -44.653251 0.000001 1.009168e+00
10 2.500000e-01 2.357948e+04 -31.018870 -40.412166 0.000083 1.009124e+00
10 2.479339e-01 2.357948e+04 -31.018870 -42.954292 0.000007 1.008855e+00
10 2.459016e-01 2.357948e+04 -31.018870 -38.432185 0.000603 1.010020e+00
11 2.439024e-01 2.357948e+04 -23.842263 -23.842263 1.000000 1.008769e+00
11 2.419355e-01 2.593742e+04 -26.226489 -34.002697 0.000420 1.008942e+00
11 2.400000e-01 2.593742e+04 -26.226489 -40.958588 0.000000 1.009217e+00
11 2.380952e-01 2.593742e+04 -26.226489 -35.677695 0.000079 1.009490e+00
11 2.362205e-01 2.593742e+04 -26.226489 -41.919148 0.000000 1.009479e+00
11 2.343750e-01 2.593742e+04 -26.226489 -36.973851 0.000022 1.009062e+00
11 2.325581e-01 2.593742e+04 -26.226489 -28.992132 0.062936 1.009041e+00
11 2.307692e-01 2.593742e+04 -26.226489 -40.494382 0.000001 1.008900e+00
