accepted delta gamma Lprev Lstar alpha time
1 1.000000e-01 1.000000e+04 -15.830880 -15.830880 1.000000 1.007953e+00
2 9.990010e-02 1.000000e+04 -14.941245 -14.941245 1.000000 1.008249e+00
2 9.980040e-02 1.000000e+04 -14.941245 -16.458462 0.219321 1.008257e+00
3 9.970090e-02 1.000000e+04 -13.706101 -13.706101 1.000000 1.007160e+00
3 9.960159e-02 1.000000e+04 -13.706101 -14.535604 0.436266 1.007700e+00
3 9.950249e-02 1.000000e+04 -13.706101 -14.345218 0.527758 1.007299e+00
4 9.940358e-02 1.000000e+04 -13.396561 -13.396561 1.000000 1.007625e+00
4 9.930487e-02 1.000000e+04 -13.396561 -15.144278 0.174171 1.007200e+00
4 9.920635e-02 1.000000e+04 -13.396561 -14.977238 0.205836 1.008102e+00
4 9.910803e-02 1.000000e+04 -13.396561 -15.775410 0.092657 1.007425e+00
4 9.900990e-02 1.000000e+04 -13.396561 -18.732904 0.004813 1.007222e+00
4 9.891197e-02 1.000000e+04 -13.396561 -17.070552 0.025375 1.007623e+00
4 9.881423e-02 1.000000e+04 -13.396561 -16.189674 0.061230 1.010335e+00
4 9.871668e-02 1.000000e+04 -13.396561 -15.426152 0.131389 1.007050e+00
5 9.861933e-02 1.000000e+04 -11.660519 -11.660519 1.000000 1.007476e+00
6 9.852217e-02 1.000000e+04 -11.714890 -11.714890 0.947081 1.007850e+00
6 9.842520e-02 1.000000e+04 -11.714890 -12.629142 0.400816 1.007475e+00
6 9.832842e-02 1.000000e+04 -11.714890 -12.154096 0.644548 1.006933e+00
6 9.823183e-02 1.000000e+04 -11.714890 -12.887679 0.309502 1.007257e+00
6 9.813543e-02 1.000000e+04 -11.714890 -12.358466 0.525410 1.006957e+00
6 9.803922e-02 1.000000e+04 -11.714890 -13.451275 0.176156 1.007849e+00
7 9.794319e-02 1.000000e+04 -12.333134 -12.333134 0.538890 1.006811e+00
7 9.784736e-02 1.000000e+04 -12.333134 -17.213088 0.007597 1.012367e+00
7 9.775171e-02 1.000000e+04 -12.333134 -13.732458 0.246764 1.007210e+00
7 9.765625e-02 1.000000e+04 -12.333134 -14.507282 0.113705 1.007080e+00
7 9.756098e-02 1.000000e+04 -12.333134 -12.743528 0.663389 1.007133e+00
8 9.746589e-02 1.000000e+04 -12.739755 -12.739755 0.665897 1.006991e+00
9 9.737098e-02 1.000000e+04 -13.018827 -13.018827 0.756485 1.007483e+00
10 9.727626e-02 1.000000e+04 -13.031311 -13.031311 0.987594 1.007002e+00
10 9.718173e-02 1.000000e+04 -13.031311 -15.639895 0.073639 1.006901e+00
11 9.708738e-02 1.000000e+04 -13.961862 -13.961862 0.394336 1.007343e+00
11 9.699321e-02 1.000000e+04 -13.961862 -15.485675 0.217879 1.007445e+00
11 9.689922e-02 1.000000e+04 -13.961862 -18.365845 0.012229 1.006791e+00
11 9.680542e-02 1.000000e+04 -13.961862 -16.187163 0.108035 1.006969e+00
12 9.671180e-02 1.000000e+04 -15.323636 -15.323636 0.256206 1.006942e+00
12 9.661836e-02 1.000000e+04 -15.323636 -17.002026 0.186674 1.007106e+00
12 9.652510e-02 1.000000e+04 -15.323636 -18.510125 0.041317 1.007471e+00
13 9.643202e-02 1.000000e+04 -16.167508 -16.167508 0.430042 1.006994e+00
13 9.633911e-02 1.000000e+04 -16.167508 -16.463295 0.743946 1.007028e+00
14 9.624639e-02 1.000000e+04 -15.449457 -15.449457 1.000000 1.007185e+00
15 9.615385e-02 1.000000e+04 -15.012445 -15.012445 1.000000 1.007193e+00
15 9.606148e-02 1.000000e+04 -15.012445 -15.659489 0.523592 1.007075e+00
16 9.596929e-02 1.000000e+04 -15.737993 -15.737993 0.484059 1.007067e+00
16 9.587728e-02 1.000000e+04 -15.737993 -16.139769 0.669130 1.007125e+00
17 9.578544e-02 1.000000e+04 -16.310954 -16.310954 0.563853 1.007144e+00
18 9.569378e-02 1.000000e+04 -15.746853 -15.746853 1.000000 1.007393e+00
18 9.560229e-02 1.000000e+04 -15.746853 -16.668421 0.397895 1.007203e+00
19 9.551098e-02 1.000000e+04 -14.925875 -14.925875 1.000000 1.007108e+00
19 9.541985e-02 1.000000e+04 -14.925875 -16.557574 0.195597 1.007912e+00
19 9.532888e-02 1.000000e+04 -14.925875 -17.784066 0.057372 1.007339e+00
20 9.523810e-02 1.000000e+04 -12.770084 -12.770084 1.000000 1.007132e+00
21 9.514748e-02 1.000000e+04 -11.548612 -11.548612 1.000000 1.006815e+00
22 9.505703e-02 1.000000e+04 -13.669845 -13.669845 0.119884 1.007324e+00
22 9.496676e-02 1.000000e+04 -13.669845 -16.451978 0.061906 1.008700e+00
22 9.487666e-02 1.000000e+04 -13.669845 -14.960076 0.275207 1.007189e+00
23 9.478673e-02 1.000000e+04 -12.065960 -12.065960 1.000000 1.006810e+00
24 9.469697e-02 1.000000e+04 -13.840165 -13.840165 0.169618 1.007240e+00
24 9.460738e-02 1.000000e+04 -13.840165 -15.283905 0.236043 1.006688e+00
24 9.451796e-02 1.000000e+04 -13.840165 -15.859376 0.132760 1.007069e+00
24 9.442871e-02 1.000000e+04 -13.840165 -14.547675 0.492870 1.006875e+00
25 9.433962e-02 1.000000e+04 -10.587895 -10.587895 1.000000 1.007424e+00
25 9.425071e-02 1.000000e+04 -10.587895 -11.750414 0.312698 1.007639e+00
25 9.416196e-02 1.000000e+04 -10.587895 -13.335027 0.064111 1.006943e+00
25 9.407338e-02 1.000000e+04 -10.587895 -15.188598 0.010045 1.007559e+00
26 9.398496e-02 1.000000e+04 -11.049064 -11.049064 0.630547 1.006724e+00
27 9.389671e-02 1.000000e+04 -8.615615 -8.615615 1.000000 1.006751e+00
27 9.380863e-02 1.000000e+04 -8.615615 -11.083811 0.084738 1.006734e+00
28 9.372071e-02 1.000000e+04 -9.109361 -9.109361 0.610336 1.007373e+00
29 9.363296e-02 1.000000e+04 -9.889494 -9.889494 0.458345 1.007354e+00
29 9.354537e-02 1.000000e+04 -9.889494 -12.693615 0.060560 1.007226e+00
30 9.345794e-02 1.000000e+04 -8.987739 -8.987739 1.000000 1.006777e+00
31 9.337068e-02 1.000000e+04 -9.983210 -9.983210 0.369549 1.006821e+00
32 9.328358e-02 1.000000e+04 -11.398806 -11.398806 0.242781 1.006723e+00
32 9.319664e-02 1.000000e+04 -11.398806 -13.416759 0.132927 1.006718e+00
33 9.310987e-02 1.000000e+04 -10.963109 -10.963109 1.000000 1.006911e+00
33 9.302326e-02 1.000000e+04 -10.963109 -16.845844 0.002787 1.007359e+00
34 9.293680e-02 1.000000e+04 -8.865661 -8.865661 1.000000 1.007171e+00
35 9.285051e-02 1.000000e+04 -7.836880 -7.836880 1.000000 1.006895e+00
35 9.276438e-02 1.000000e+04 -7.836880 -11.619527 0.022762 1.006937e+00
35 9.267841e-02 1.000000e+04 -7.836880 -8.803445 0.380387 1.007227e+00
35 9.259259e-02 1.000000e+04 -7.836880 -8.685291 0.428095 1.006703e+00
35 9.250694e-02 1.000000e+04 -7.836880 -10.905685 0.046477 1.006847e+00
35 9.242144e-02 1.000000e+04 -7.836880 -11.253319 0.032829 1.006756e+00
36 9.233610e-02 1.000000e+04 -8.726299 -8.726299 0.410894 1.009564e+00
36 9.225092e-02 1.000000e+04 -8.726299 -9.316085 0.554446 1.007055e+00
36 9.216590e-02 1.000000e+04 -8.726299 -11.054770 0.097445 1.007068e+00
36 9.208103e-02 1.000000e+04 -8.726299 -11.592987 0.056887 1.007120e+00
36 9.199632e-02 1.000000e+04 -8.726299 -12.171642 0.031894 1.006444e+00
37 9.191176e-02 1.000000e+04 -10.129206 -10.129206 0.245881 1.007379e+00
37 9.182736e-02 1.000000e+04 -10.129206 -11.933972 0.164513 1.007398e+00
38 9.174312e-02 1.000000e+04 -8.443462 -8.443462 1.000000 1.006872e+00
38 9.165903e-02 1.000000e+04 -8.443462 -10.246284 0.164833 1.006992e+00
39 9.157509e-02 1.000000e+04 -8.606523 -8.606523 0.849540 1.007291e+00
39 9.149131e-02 1.000000e+04 -8.606523 -10.700839 0.123154 1.007269e+00
39 9.140768e-02 1.000000e+04 -8.606523 -13.890254 0.005073 1.006944e+00
39 9.132420e-02 1.000000e+04 -8.606523 -8.855592 0.779526 1.007432e+00
39 9.124088e-02 1.000000e+04 -8.606523 -9.508644 0.405708 1.006792e+00
40 9.115770e-02 1.000000e+04 -9.673413 -9.673413 0.344077 1.007205e+00
40 9.107468e-02 1.000000e+04 -9.673413 -10.815877 0.319032 1.007539e+00
40 9.099181e-02 1.000000e+04 -9.673413 -11.593908 0.146534 1.006866e+00
41 9.090909e-02 1.000000e+04 -10.315009 -10.315009 0.526451 1.006993e+00
