accepted delta gamma error Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -1.132108e-03 -112.890463 -113.210766 0.725929 5.659272e-01
0 5.000000e-03 1.000000e+05 -1.156496e-03 -112.890463 -115.649627 0.063345 5.663131e-01
0 5.000000e-03 1.000000e+05 -1.160398e-03 -112.890463 -116.039756 0.042882 5.651734e-01
1 5.000000e-03 1.000000e+05 -1.085053e-03 -108.505349 -108.505349 1.000000 5.644832e-01
1 5.000000e-03 1.000000e+05 -1.107951e-03 -108.505349 -110.795072 0.101295 5.669992e-01
2 5.000000e-03 1.000000e+05 -1.086919e-03 -108.691926 -108.691926 0.829795 5.645510e-01
2 5.000000e-03 1.000000e+05 -1.106071e-03 -108.691926 -110.607060 0.147322 5.653663e-01
2 5.000000e-03 1.000000e+05 -1.104083e-03 -108.691926 -110.408287 0.179719 5.656128e-01
3 5.000000e-03 1.000000e+05 -1.073758e-03 -107.375779 -107.375779 1.000000 5.647417e-01
4 5.000000e-03 1.000000e+05 -1.069715e-03 -106.971471 -106.971471 1.000000 5.649887e-01
5 5.000000e-03 1.000000e+05 -1.060746e-03 -106.074648 -106.074648 1.000000 5.650536e-01
6 5.000000e-03 1.000000e+05 -1.034305e-03 -103.430519 -103.430519 1.000000 5.662580e-01
7 5.000000e-03 1.000000e+05 -1.038026e-03 -103.802561 -103.802561 0.689325 5.648503e-01
8 5.000000e-03 1.000000e+05 -1.065423e-03 -106.542251 -106.542251 0.064590 5.652174e-01
9 5.000000e-03 1.000000e+05 -1.054102e-03 -105.410206 -105.410206 1.000000 5.644178e-01
9 5.000000e-03 1.000000e+05 -1.070879e-03 -105.410206 -107.087861 0.186812 5.653613e-01
9 5.000000e-03 1.000000e+05 -1.093017e-03 -105.410206 -109.301710 0.020415 5.659630e-01
10 5.000000e-03 1.000000e+05 -1.040822e-03 -104.082170 -104.082170 1.000000 5.645532e-01
11 5.000000e-03 1.000000e+05 -9.921391e-04 -99.213913 -99.213913 1.000000 5.652402e-01
12 5.000000e-03 1.000000e+05 -9.970531e-04 -99.705309 -99.705309 0.611772 5.642508e-01
13 5.000000e-03 1.000000e+05 -9.930600e-04 -99.306003 -99.306003 1.000000 5.650559e-01
13 5.000000e-03 1.000000e+05 -1.019717e-03 -99.306003 -101.971670 0.069553 5.647809e-01
13 5.000000e-03 1.000000e+05 -1.025192e-03 -99.306003 -102.519181 0.040229 5.643907e-01
14 5.000000e-03 1.000000e+05 -9.914075e-04 -99.140755 -99.140755 1.000000 5.651289e-01
15 5.000000e-03 1.000000e+05 -9.866632e-04 -98.666323 -98.666323 1.000000 5.645696e-01
16 5.000000e-03 1.000000e+05 -9.662933e-04 -96.629328 -96.629328 1.000000 5.648711e-01
17 5.000000e-03 1.000000e+05 -9.451214e-04 -94.512142 -94.512142 1.000000 5.643801e-01
18 5.000000e-03 1.000000e+05 -9.350867e-04 -93.508665 -93.508665 1.000000 5.657248e-01
19 5.000000e-03 1.000000e+05 -9.333892e-04 -93.338916 -93.338916 1.000000 5.647135e-01
20 5.000000e-03 1.000000e+05 -9.298309e-04 -92.983088 -92.983088 1.000000 5.651889e-01
