accepted delta gamma Lprev Lstar alpha time
1 5.000000e-03 1.000000e+05 -162.317594 -162.317594 1.000000 5.760520e-01
1 5.000000e-03 1.000000e+05 -162.317594 -162.963257 0.524315 5.777799e-01
2 5.000000e-03 1.000000e+05 -157.633437 -157.633437 1.000000 5.773849e-01
3 5.000000e-03 1.000000e+05 -156.674866 -156.674866 1.000000 5.772595e-01
3 5.000000e-03 1.000000e+05 -156.674866 -164.870046 0.000276 5.771845e-01
3 5.000000e-03 1.000000e+05 -156.674866 -161.539059 0.007718 5.761522e-01
4 5.000000e-03 1.000000e+05 -153.267085 -153.267085 1.000000 5.758717e-01
5 5.000000e-03 1.000000e+05 -149.151719 -149.151719 1.000000 5.783082e-01
5 5.000000e-03 1.000000e+05 -149.151719 -152.454916 0.036765 5.767695e-01
5 5.000000e-03 1.000000e+05 -149.151719 -152.071570 0.053942 5.772845e-01
6 5.000000e-03 1.000000e+05 -150.159412 -150.159412 0.365060 5.776635e-01
7 5.000000e-03 1.000000e+05 -149.995486 -149.995486 1.000000 5.760183e-01
8 5.000000e-03 1.000000e+05 -149.276892 -149.276892 1.000000 5.770677e-01
9 5.000000e-03 1.000000e+05 -149.377499 -149.377499 0.904288 5.759885e-01
10 5.000000e-03 1.000000e+05 -145.209518 -145.209518 1.000000 5.773180e-01
11 5.000000e-03 1.000000e+05 -146.833924 -146.833924 0.197029 5.765472e-01
12 5.000000e-03 1.000000e+05 -146.199085 -146.199085 1.000000 5.774373e-01
13 5.000000e-03 1.000000e+05 -145.865868 -145.865868 1.000000 5.762333e-01
13 5.000000e-03 1.000000e+05 -145.865868 -147.202589 0.262706 5.771213e-01
14 5.000000e-03 1.000000e+05 -144.023877 -144.023877 1.000000 5.757399e-01
15 5.000000e-03 1.000000e+05 -143.835848 -143.835848 1.000000 5.777913e-01
16 5.000000e-03 1.000000e+05 -140.307008 -140.307008 1.000000 5.762170e-01
17 5.000000e-03 1.000000e+05 -136.341711 -136.341711 1.000000 5.773101e-01
18 5.000000e-03 1.000000e+05 -135.586767 -135.586767 1.000000 5.762572e-01
19 5.000000e-03 1.000000e+05 -135.907325 -135.907325 0.725744 5.768914e-01
20 5.000000e-03 1.000000e+05 -132.335889 -132.335889 1.000000 5.759630e-01
20 5.000000e-03 1.000000e+05 -132.335889 -133.659831 0.266085 5.774237e-01
20 5.000000e-03 1.000000e+05 -132.335889 -133.412997 0.340579 5.786277e-01
21 5.000000e-03 1.000000e+05 -132.797588 -132.797588 0.630212 5.763777e-01
21 5.000000e-03 1.000000e+05 -132.797588 -132.934761 0.871819 5.775771e-01
22 5.000000e-03 1.000000e+05 -130.522951 -130.522951 1.000000 5.774354e-01
22 5.000000e-03 1.000000e+05 -130.522951 -134.169484 0.026081 5.769255e-01
23 5.000000e-03 1.000000e+05 -127.864557 -127.864557 1.000000 5.770165e-01
24 5.000000e-03 1.000000e+05 -128.975369 -128.975369 0.329291 5.763944e-01
25 5.000000e-03 1.000000e+05 -125.819946 -125.819946 1.000000 5.770773e-01
25 5.000000e-03 1.000000e+05 -125.819946 -130.054468 0.014487 5.762924e-01
26 5.000000e-03 1.000000e+05 -126.761620 -126.761620 0.389975 5.771322e-01
27 5.000000e-03 1.000000e+05 -122.846532 -122.846532 1.000000 5.773604e-01
27 5.000000e-03 1.000000e+05 -122.846532 -125.900063 0.047192 5.764830e-01
28 5.000000e-03 1.000000e+05 -122.543739 -122.543739 1.000000 5.777078e-01
29 5.000000e-03 1.000000e+05 -121.893718 -121.893718 1.000000 5.763887e-01
30 5.000000e-03 1.000000e+05 -119.782237 -119.782237 1.000000 5.772707e-01
30 5.000000e-03 1.000000e+05 -119.782237 -120.576449 0.451937 5.761731e-01
31 5.000000e-03 1.000000e+05 -118.945642 -118.945642 1.000000 5.767752e-01
32 5.000000e-03 1.000000e+05 -115.202336 -115.202336 1.000000 5.775423e-01
32 5.000000e-03 1.000000e+05 -115.202336 -116.485992 0.277023 5.769374e-01
32 5.000000e-03 1.000000e+05 -115.202336 -117.079420 0.153036 5.773223e-01
33 5.000000e-03 1.000000e+05 -115.569361 -115.569361 0.692792 5.774521e-01
34 5.000000e-03 1.000000e+05 -114.958354 -114.958354 1.000000 5.768594e-01
35 5.000000e-03 1.000000e+05 -111.882146 -111.882146 1.000000 5.770952e-01
36 5.000000e-03 1.000000e+05 -110.219681 -110.219681 1.000000 5.764761e-01
37 5.000000e-03 1.000000e+05 -103.911632 -103.911632 1.000000 5.776088e-01
37 5.000000e-03 1.000000e+05 -103.911632 -105.839534 0.145453 5.761190e-01
37 5.000000e-03 1.000000e+05 -103.911632 -108.921737 0.006670 5.774370e-01
38 5.000000e-03 1.000000e+05 -103.918899 -103.918899 0.992759 5.774107e-01
39 5.000000e-03 1.000000e+05 -102.351217 -102.351217 1.000000 5.765521e-01
40 5.000000e-03 1.000000e+05 -102.491278 -102.491278 0.869304 5.775608e-01
41 5.000000e-03 1.000000e+05 -101.093632 -101.093632 1.000000 5.763585e-01
42 5.000000e-03 1.000000e+05 -100.482623 -100.482623 1.000000 5.774453e-01
42 5.000000e-03 1.000000e+05 -100.482623 -101.924680 0.236441 5.760646e-01
42 5.000000e-03 1.000000e+05 -100.482623 -104.179122 0.024810 5.778191e-01
42 5.000000e-03 1.000000e+05 -100.482623 -103.890334 0.033117 5.776727e-01
43 5.000000e-03 1.000000e+05 -98.206000 -98.206000 1.000000 5.763276e-01
43 5.000000e-03 1.000000e+05 -98.206000 -103.170204 0.006984 5.774225e-01
43 5.000000e-03 1.000000e+05 -98.206000 -100.980275 0.062395 5.778797e-01
44 5.000000e-03 1.000000e+05 -97.271077 -97.271077 1.000000 5.763139e-01
44 5.000000e-03 1.000000e+05 -97.271077 -98.137842 0.420309 5.771612e-01
44 5.000000e-03 1.000000e+05 -97.271077 -101.247639 0.018750 5.770503e-01
45 5.000000e-03 1.000000e+05 -96.948325 -96.948325 1.000000 5.760481e-01
46 5.000000e-03 1.000000e+05 -92.370623 -92.370623 1.000000 5.774319e-01
47 5.000000e-03 1.000000e+05 -87.952696 -87.952696 1.000000 5.762831e-01
47 5.000000e-03 1.000000e+05 -87.952696 -90.718108 0.062950 5.778663e-01
47 5.000000e-03 1.000000e+05 -87.952696 -88.441274 0.613498 5.774874e-01
48 5.000000e-03 1.000000e+05 -87.033362 -87.033362 1.000000 5.757823e-01
48 5.000000e-03 1.000000e+05 -87.033362 -90.828940 0.022470 5.774775e-01
49 5.000000e-03 1.000000e+05 -85.521425 -85.521425 1.000000 5.770663e-01
49 5.000000e-03 1.000000e+05 -85.521425 -87.929154 0.090020 5.759475e-01
49 5.000000e-03 1.000000e+05 -85.521425 -90.379404 0.007766 5.776315e-01
49 5.000000e-03 1.000000e+05 -85.521425 -90.101549 0.010254 5.770698e-01
50 5.000000e-03 1.000000e+05 -78.984650 -78.984650 1.000000 5.766066e-01
51 5.000000e-03 1.000000e+05 -78.592679 -78.592679 1.000000 5.773831e-01
51 5.000000e-03 1.000000e+05 -78.592679 -82.974466 0.012503 5.763363e-01
51 5.000000e-03 1.000000e+05 -78.592679 -79.003403 0.663170 5.770023e-01
52 5.000000e-03 1.000000e+05 -75.356964 -75.356964 1.000000 5.776140e-01
53 5.000000e-03 1.000000e+05 -72.277106 -72.277106 1.000000 5.768926e-01
54 5.000000e-03 1.000000e+05 -72.714514 -72.714514 0.645708 5.774573e-01
54 5.000000e-03 1.000000e+05 -72.714514 -75.853192 0.043340 5.759968e-01
54 5.000000e-03 1.000000e+05 -72.714514 -74.304500 0.203928 5.762148e-01
54 5.000000e-03 1.000000e+05 -72.714514 -75.274419 0.077312 5.771912e-01
55 5.000000e-03 1.000000e+05 -75.184956 -75.184956 0.084547 5.772444e-01
55 5.000000e-03 1.000000e+05 -75.184956 -78.872203 0.025041 5.768339e-01
56 5.000000e-03 1.000000e+05 -76.761420 -76.761420 0.206705 5.773482e-01
57 5.000000e-03 1.000000e+05 -76.563060 -76.563060 1.000000 5.762516e-01
57 5.000000e-03 1.000000e+05 -76.563060 -80.527624 0.018976 5.776074e-01
57 5.000000e-03 1.000000e+05 -76.563060 -78.370938 0.164002 5.769577e-01
57 5.000000e-03 1.000000e+05 -76.563060 -83.429098 0.001043 5.761257e-01
58 5.000000e-03 1.000000e+05 -75.464453 -75.464453 1.000000 5.759635e-01
59 5.000000e-03 1.000000e+05 -71.868868 -71.868868 1.000000 5.774386e-01
59 5.000000e-03 1.000000e+05 -71.868868 -73.109362 0.289241 5.765256e-01
59 5.000000e-03 1.000000e+05 -71.868868 -75.052677 0.041428 5.778100e-01
59 5.000000e-03 1.000000e+05 -71.868868 -74.187795 0.098379 5.771644e-01
60 5.000000e-03 1.000000e+05 -70.250254 -70.250254 1.000000 5.761145e-01
60 5.000000e-03 1.000000e+05 -70.250254 -73.379342 0.043758 5.775969e-01
61 5.000000e-03 1.000000e+05 -70.654895 -70.654895 0.667216 5.771946e-01
61 5.000000e-03 1.000000e+05 -70.654895 -71.161167 0.602739 5.765092e-01
61 5.000000e-03 1.000000e+05 -70.654895 -73.171736 0.080714 5.772651e-01
61 5.000000e-03 1.000000e+05 -70.654895 -74.554405 0.020252 5.773586e-01
61 5.000000e-03 1.000000e+05 -70.654895 -74.361807 0.024553 5.763410e-01
62 5.000000e-03 1.000000e+05 -67.665249 -67.665249 1.000000 5.766872e-01
63 5.000000e-03 1.000000e+05 -65.705914 -65.705914 1.000000 5.771003e-01
64 5.000000e-03 1.000000e+05 -66.167967 -66.167967 0.629989 5.768910e-01
64 5.000000e-03 1.000000e+05 -66.167967 -67.778007 0.199880 5.772063e-01
65 5.000000e-03 1.000000e+05 -66.173488 -66.173488 0.994495 5.762233e-01
66 5.000000e-03 1.000000e+05 -65.840314 -65.840314 1.000000 5.776688e-01
67 5.000000e-03 1.000000e+05 -65.055309 -65.055309 1.000000 5.763243e-01
67 5.000000e-03 1.000000e+05 -65.055309 -70.192313 0.005875 5.778473e-01
68 5.000000e-03 1.000000e+05 -65.061438 -65.061438 0.993890 5.774559e-01
69 5.000000e-03 1.000000e+05 -65.505016 -65.505016 0.641736 5.765593e-01
70 5.000000e-03 1.000000e+05 -61.503389 -61.503389 1.000000 5.772799e-01
70 5.000000e-03 1.000000e+05 -61.503389 -65.347736 0.021400 5.767492e-01
70 5.000000e-03 1.000000e+05 -61.503389 -68.415249 0.000996 5.773017e-01
70 5.000000e-03 1.000000e+05 -61.503389 -65.880721 0.012559 5.774936e-01
70 5.000000e-03 1.000000e+05 -61.503389 -66.334283 0.007979 5.762867e-01
71 5.000000e-03 1.000000e+05 -60.704080 -60.704080 1.000000 5.766023e-01
71 5.000000e-03 1.000000e+05 -60.704080 -64.469489 0.023158 5.772053e-01
71 5.000000e-03 1.000000e+05 -60.704080 -65.198881 0.011167 5.766114e-01
71 5.000000e-03 1.000000e+05 -60.704080 -61.029531 0.722201 5.758440e-01
71 5.000000e-03 1.000000e+05 -60.704080 -65.277966 0.010318 5.775675e-01
71 5.000000e-03 1.000000e+05 -60.704080 -61.730076 0.358439 5.771367e-01
72 5.000000e-03 1.000000e+05 -57.721932 -57.721932 1.000000 5.759432e-01
73 5.000000e-03 1.000000e+05 -58.042401 -58.042401 0.725809 5.772995e-01
73 5.000000e-03 1.000000e+05 -58.042401 -65.533063 0.000558 5.761415e-01
74 5.000000e-03 1.000000e+05 -56.856159 -56.856159 1.000000 5.765957e-01
75 5.000000e-03 1.000000e+05 -57.733388 -57.733388 0.415934 5.771915e-01
75 5.000000e-03 1.000000e+05 -57.733388 -60.784584 0.047302 5.767942e-01
75 5.000000e-03 1.000000e+05 -57.733388 -60.570269 0.058608 5.772653e-01
75 5.000000e-03 1.000000e+05 -57.733388 -60.716659 0.050627 5.775800e-01
76 5.000000e-03 1.000000e+05 -53.335881 -53.335881 1.000000 5.760477e-01
76 5.000000e-03 1.000000e+05 -53.335881 -57.261726 0.019725 5.776788e-01
77 5.000000e-03 1.000000e+05 -52.530601 -52.530601 1.000000 5.778314e-01
77 5.000000e-03 1.000000e+05 -52.530601 -55.651338 0.044125 5.766140e-01
77 5.000000e-03 1.000000e+05 -52.530601 -54.608637 0.125176 5.773535e-01
78 5.000000e-03 1.000000e+05 -52.956612 -52.956612 0.653109 5.773787e-01
78 5.000000e-03 1.000000e+05 -52.956612 -53.271608 0.729791 5.759298e-01
79 5.000000e-03 1.000000e+05 -52.024016 -52.024016 1.000000 5.776690e-01
80 5.000000e-03 1.000000e+05 -53.663628 -53.663628 0.194055 5.759491e-01
80 5.000000e-03 1.000000e+05 -53.663628 -54.005212 0.710644 5.773484e-01
80 5.000000e-03 1.000000e+05 -53.663628 -59.041783 0.004616 5.772951e-01
80 5.000000e-03 1.000000e+05 -53.663628 -56.242547 0.075856 5.763144e-01
80 5.000000e-03 1.000000e+05 -53.663628 -54.571184 0.403509 5.762860e-01
80 5.000000e-03 1.000000e+05 -53.663628 -56.288272 0.072466 5.771404e-01
81 5.000000e-03 1.000000e+05 -50.719951 -50.719951 1.000000 5.777747e-01
81 5.000000e-03 1.000000e+05 -50.719951 -51.712957 0.370461 5.758002e-01
82 5.000000e-03 1.000000e+05 -51.429712 -51.429712 0.491762 5.774831e-01
82 5.000000e-03 1.000000e+05 -51.429712 -56.583085 0.005780 5.764533e-01
82 5.000000e-03 1.000000e+05 -51.429712 -58.681244 0.000709 5.763569e-01
82 5.000000e-03 1.000000e+05 -51.429712 -55.626471 0.015044 5.775275e-01
82 5.000000e-03 1.000000e+05 -51.429712 -56.646600 0.005424 5.775572e-01
83 5.000000e-03 1.000000e+05 -51.782736 -51.782736 0.702561 5.758469e-01
84 5.000000e-03 1.000000e+05 -51.926877 -51.926877 0.865766 5.772292e-01
84 5.000000e-03 1.000000e+05 -51.926877 -55.084736 0.042517 5.762771e-01
84 5.000000e-03 1.000000e+05 -51.926877 -57.681389 0.003168 5.763337e-01
84 5.000000e-03 1.000000e+05 -51.926877 -57.248567 0.004884 5.767448e-01
84 5.000000e-03 1.000000e+05 -51.926877 -55.910788 0.018613 5.770370e-01
84 5.000000e-03 1.000000e+05 -51.926877 -55.178854 0.038698 5.758080e-01
84 5.000000e-03 1.000000e+05 -51.926877 -53.880305 0.141787 5.760884e-01
84 5.000000e-03 1.000000e+05 -51.926877 -54.611003 0.068281 5.775710e-01
84 5.000000e-03 1.000000e+05 -51.926877 -54.492203 0.076894 5.771701e-01
84 5.000000e-03 1.000000e+05 -51.926877 -53.760097 0.159898 5.755977e-01
84 5.000000e-03 1.000000e+05 -51.926877 -53.062439 0.321241 5.766009e-01
85 5.000000e-03 1.000000e+05 -48.366243 -48.366243 1.000000 5.774884e-01
86 5.000000e-03 1.000000e+05 -49.536413 -49.536413 0.310314 5.764124e-01
87 5.000000e-03 1.000000e+05 -47.801233 -47.801233 1.000000 5.774903e-01
87 5.000000e-03 1.000000e+05 -47.801233 -51.926616 0.016157 5.760176e-01
87 5.000000e-03 1.000000e+05 -47.801233 -49.048894 0.287176 5.761757e-01
