accepted delta gamma Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -59.001975 -64.088858 0.006177 1.058410e+00
0 5.000000e-03 1.000000e+05 -59.001975 -61.636996 0.071717 1.049951e+00
1 5.000000e-03 1.000000e+05 -58.975410 -58.975410 1.000000 1.050092e+00
1 5.000000e-03 1.000000e+05 -58.975410 -64.516553 0.003922 1.077687e+00
2 5.000000e-03 1.000000e+05 -60.012875 -60.012875 0.354352 1.037520e+00
2 5.000000e-03 1.000000e+05 -60.012875 -63.371044 0.034799 1.062695e+00
2 5.000000e-03 1.000000e+05 -60.012875 -62.594063 0.075684 1.057823e+00
3 5.000000e-03 1.000000e+05 -60.416722 -60.416722 0.667746 1.072089e+00
4 5.000000e-03 1.000000e+05 -59.713731 -59.713731 1.000000 1.069217e+00
4 5.000000e-03 1.000000e+05 -59.713731 -63.109836 0.033504 1.057000e+00
5 5.000000e-03 1.000000e+05 -53.483929 -53.483929 1.000000 1.086386e+00
5 5.000000e-03 1.000000e+05 -53.483929 -56.609963 0.043892 1.054944e+00
5 5.000000e-03 1.000000e+05 -53.483929 -55.748451 0.103880 1.057749e+00
5 5.000000e-03 1.000000e+05 -53.483929 -54.292834 0.445345 1.073677e+00
5 5.000000e-03 1.000000e+05 -53.483929 -54.096806 0.541790 1.055966e+00
6 5.000000e-03 1.000000e+05 -53.320418 -53.320418 1.000000 1.071297e+00
6 5.000000e-03 1.000000e+05 -53.320418 -57.988704 0.009388 1.059408e+00
6 5.000000e-03 1.000000e+05 -53.320418 -55.379491 0.127572 1.056665e+00
7 5.000000e-03 1.000000e+05 -52.417304 -52.417304 1.000000 1.060645e+00
8 5.000000e-03 1.000000e+05 -52.257783 -52.257783 1.000000 1.065436e+00
8 5.000000e-03 1.000000e+05 -52.257783 -54.067070 0.163771 1.063652e+00
9 5.000000e-03 1.000000e+05 -50.513660 -50.513660 1.000000 1.057372e+00
9 5.000000e-03 1.000000e+05 -50.513660 -51.882500 0.254402 1.074737e+00
10 5.000000e-03 1.000000e+05 -49.743452 -49.743452 1.000000 1.049763e+00
10 5.000000e-03 1.000000e+05 -49.743452 -53.615783 0.020810 1.083237e+00
11 5.000000e-03 1.000000e+05 -51.192867 -51.192867 0.234708 1.067665e+00
12 5.000000e-03 1.000000e+05 -50.410927 -50.410927 1.000000 1.062646e+00
13 5.000000e-03 1.000000e+05 -51.080368 -51.080368 0.511995 1.051254e+00
13 5.000000e-03 1.000000e+05 -51.080368 -54.848389 0.023098 1.070026e+00
14 5.000000e-03 1.000000e+05 -52.457894 -52.457894 0.252202 1.050674e+00
14 5.000000e-03 1.000000e+05 -52.457894 -55.093129 0.071702 1.051159e+00
14 5.000000e-03 1.000000e+05 -52.457894 -53.777374 0.267274 1.057302e+00
15 5.000000e-03 1.000000e+05 -50.696953 -50.696953 1.000000 1.047596e+00
15 5.000000e-03 1.000000e+05 -50.696953 -52.565558 0.154339 1.056947e+00
15 5.000000e-03 1.000000e+05 -50.696953 -52.526599 0.160470 1.064348e+00
16 5.000000e-03 1.000000e+05 -49.509464 -49.509464 1.000000 1.048505e+00
16 5.000000e-03 1.000000e+05 -49.509464 -51.756375 0.105725 1.048080e+00
16 5.000000e-03 1.000000e+05 -49.509464 -51.335024 0.161127 1.059825e+00
17 5.000000e-03 1.000000e+05 -49.058068 -49.058068 1.000000 1.111982e+00
18 5.000000e-03 1.000000e+05 -48.426780 -48.426780 1.000000 1.065213e+00
19 5.000000e-03 1.000000e+05 -48.900147 -48.900147 0.622902 1.083406e+00
19 5.000000e-03 1.000000e+05 -48.900147 -51.147577 0.105670 1.041607e+00
19 5.000000e-03 1.000000e+05 -48.900147 -51.725777 0.059271 1.059356e+00
19 5.000000e-03 1.000000e+05 -48.900147 -49.150729 0.778348 1.053078e+00
19 5.000000e-03 1.000000e+05 -48.900147 -50.350914 0.234390 1.046016e+00
20 5.000000e-03 1.000000e+05 -49.512877 -49.512877 0.541869 1.061465e+00
21 5.000000e-03 1.000000e+05 -48.752696 -48.752696 1.000000 1.065104e+00
21 5.000000e-03 1.000000e+05 -48.752696 -51.536098 0.061828 1.068637e+00
21 5.000000e-03 1.000000e+05 -48.752696 -54.504272 0.003178 1.059049e+00
22 5.000000e-03 1.000000e+05 -47.345750 -47.345750 1.000000 1.045799e+00
22 5.000000e-03 1.000000e+05 -47.345750 -50.026952 0.068481 1.052801e+00
22 5.000000e-03 1.000000e+05 -47.345750 -50.538087 0.041076 1.046163e+00
23 5.000000e-03 1.000000e+05 -46.798101 -46.798101 1.000000 1.036213e+00
24 5.000000e-03 1.000000e+05 -48.290042 -48.290042 0.224936 1.060197e+00
24 5.000000e-03 1.000000e+05 -48.290042 -48.688894 0.671090 1.057722e+00
24 5.000000e-03 1.000000e+05 -48.290042 -49.667644 0.252183 1.066469e+00
24 5.000000e-03 1.000000e+05 -48.290042 -50.036375 0.174412 1.062480e+00
25 5.000000e-03 1.000000e+05 -48.520313 -48.520313 0.794319 1.049417e+00
25 5.000000e-03 1.000000e+05 -48.520313 -49.380718 0.422991 1.065498e+00
26 5.000000e-03 1.000000e+05 -47.107857 -47.107857 1.000000 1.051876e+00
27 5.000000e-03 1.000000e+05 -46.034855 -46.034855 1.000000 1.072257e+00
28 5.000000e-03 1.000000e+05 -47.286553 -47.286553 0.286019 1.071433e+00
28 5.000000e-03 1.000000e+05 -47.286553 -49.177116 0.150987 1.071476e+00
28 5.000000e-03 1.000000e+05 -47.286553 -50.672946 0.033830 1.056903e+00
28 5.000000e-03 1.000000e+05 -47.286553 -47.909306 0.536466 1.058145e+00
28 5.000000e-03 1.000000e+05 -47.286553 -49.056531 0.170337 1.049383e+00
29 5.000000e-03 1.000000e+05 -47.170402 -47.170402 1.000000 1.049474e+00
30 5.000000e-03 1.000000e+05 -46.223371 -46.223371 1.000000 1.041262e+00
30 5.000000e-03 1.000000e+05 -46.223371 -49.471636 0.038842 1.070112e+00
30 5.000000e-03 1.000000e+05 -46.223371 -47.887320 0.189389 1.056617e+00
31 5.000000e-03 1.000000e+05 -47.561528 -47.561528 0.262328 1.050300e+00
32 5.000000e-03 1.000000e+05 -46.531540 -46.531540 1.000000 1.053894e+00
33 5.000000e-03 1.000000e+05 -46.128276 -46.128276 1.000000 1.067316e+00
34 5.000000e-03 1.000000e+05 -48.652113 -48.652113 0.080151 1.056964e+00
35 5.000000e-03 1.000000e+05 -48.351080 -48.351080 1.000000 1.049291e+00
36 5.000000e-03 1.000000e+05 -48.612866 -48.612866 0.769676 1.061825e+00
37 5.000000e-03 1.000000e+05 -45.487712 -45.487712 1.000000 1.055403e+00
38 5.000000e-03 1.000000e+05 -43.329845 -43.329845 1.000000 1.050977e+00
39 5.000000e-03 1.000000e+05 -43.839528 -43.839528 0.600686 1.055805e+00
39 5.000000e-03 1.000000e+05 -43.839528 -46.180363 0.096247 1.057757e+00
39 5.000000e-03 1.000000e+05 -43.839528 -46.358297 0.080559 1.051120e+00
39 5.000000e-03 1.000000e+05 -43.839528 -48.474837 0.009703 1.057863e+00
40 5.000000e-03 1.000000e+05 -44.579797 -44.579797 0.476985 1.066118e+00
40 5.000000e-03 1.000000e+05 -44.579797 -48.926636 0.012948 1.065997e+00
40 5.000000e-03 1.000000e+05 -44.579797 -48.106157 0.029412 1.068475e+00
41 5.000000e-03 1.000000e+05 -43.689228 -43.689228 1.000000 1.043035e+00
41 5.000000e-03 1.000000e+05 -43.689228 -45.073270 0.250564 1.056737e+00
41 5.000000e-03 1.000000e+05 -43.689228 -45.246867 0.210633 1.044443e+00
42 5.000000e-03 1.000000e+05 -43.261422 -43.261422 1.000000 1.042063e+00
42 5.000000e-03 1.000000e+05 -43.261422 -46.077352 0.059849 1.042006e+00
43 5.000000e-03 1.000000e+05 -43.310596 -43.310596 0.952016 1.146917e+00
43 5.000000e-03 1.000000e+05 -43.310596 -46.649772 0.035466 1.056904e+00
43 5.000000e-03 1.000000e+05 -43.310596 -44.818139 0.221453 1.071571e+00
43 5.000000e-03 1.000000e+05 -43.310596 -48.646679 0.004815 1.062895e+00
43 5.000000e-03 1.000000e+05 -43.310596 -45.497445 0.112270 1.048471e+00
44 5.000000e-03 1.000000e+05 -43.435298 -43.435298 0.882761 1.130801e+00
44 5.000000e-03 1.000000e+05 -43.435298 -44.611347 0.308495 1.058375e+00
45 5.000000e-03 1.000000e+05 -43.199051 -43.199051 1.000000 1.048913e+00
46 5.000000e-03 1.000000e+05 -42.136138 -42.136138 1.000000 1.066379e+00
47 5.000000e-03 1.000000e+05 -41.952602 -41.952602 1.000000 1.080571e+00
48 5.000000e-03 1.000000e+05 -40.008834 -40.008834 1.000000 1.049552e+00
48 5.000000e-03 1.000000e+05 -40.008834 -40.621198 0.542068 1.053443e+00
49 5.000000e-03 1.000000e+05 -39.877176 -39.877176 1.000000 1.050792e+00
49 5.000000e-03 1.000000e+05 -39.877176 -42.556133 0.068635 1.041793e+00
49 5.000000e-03 1.000000e+05 -39.877176 -42.561098 0.068295 1.068531e+00
50 5.000000e-03 1.000000e+05 -40.951898 -40.951898 0.341393 1.061777e+00
50 5.000000e-03 1.000000e+05 -40.951898 -44.846557 0.020350 1.069085e+00
50 5.000000e-03 1.000000e+05 -40.951898 -44.335089 0.033939 1.056962e+00
50 5.000000e-03 1.000000e+05 -40.951898 -42.556735 0.200922 1.068861e+00
50 5.000000e-03 1.000000e+05 -40.951898 -42.223656 0.280338 1.078997e+00
50 5.000000e-03 1.000000e+05 -40.951898 -41.670831 0.487272 1.066404e+00
50 5.000000e-03 1.000000e+05 -40.951898 -43.877611 0.053626 1.058887e+00
50 5.000000e-03 1.000000e+05 -40.951898 -42.581702 0.195968 1.062641e+00
50 5.000000e-03 1.000000e+05 -40.951898 -42.041850 0.336233 1.041262e+00
50 5.000000e-03 1.000000e+05 -40.951898 -45.167181 0.014768 1.068715e+00
50 5.000000e-03 1.000000e+05 -40.951898 -45.878671 0.007250 1.066943e+00
50 5.000000e-03 1.000000e+05 -40.951898 -41.596780 0.524724 1.056559e+00
50 5.000000e-03 1.000000e+05 -40.951898 -42.569842 0.198306 1.070806e+00
50 5.000000e-03 1.000000e+05 -40.951898 -46.783932 0.002932 1.140576e+00
51 5.000000e-03 1.000000e+05 -40.941801 -40.941801 1.000000 1.060393e+00
52 5.000000e-03 1.000000e+05 -41.010018 -41.010018 0.934058 1.063775e+00
52 5.000000e-03 1.000000e+05 -41.010018 -41.768934 0.468174 1.067339e+00
53 5.000000e-03 1.000000e+05 -42.297145 -42.297145 0.276063 1.043057e+00
53 5.000000e-03 1.000000e+05 -42.297145 -45.011049 0.066278 1.041465e+00
53 5.000000e-03 1.000000e+05 -42.297145 -46.370622 0.017018 1.044119e+00
53 5.000000e-03 1.000000e+05 -42.297145 -44.403398 0.121693 1.066060e+00
54 5.000000e-03 1.000000e+05 -42.691189 -42.691189 0.674324 1.076333e+00
54 5.000000e-03 1.000000e+05 -42.691189 -45.312653 0.072696 1.053498e+00
55 5.000000e-03 1.000000e+05 -40.543093 -40.543093 1.000000 1.069373e+00
55 5.000000e-03 1.000000e+05 -40.543093 -43.335099 0.061298 1.075018e+00
56 5.000000e-03 1.000000e+05 -40.974890 -40.974890 0.649341 1.058582e+00
56 5.000000e-03 1.000000e+05 -40.974890 -45.168289 0.015095 1.047065e+00
57 5.000000e-03 1.000000e+05 -38.812804 -38.812804 1.000000 1.062430e+00
58 5.000000e-03 1.000000e+05 -37.857846 -37.857846 1.000000 1.062764e+00
59 5.000000e-03 1.000000e+05 -37.545943 -37.545943 1.000000 1.069766e+00
59 5.000000e-03 1.000000e+05 -37.545943 -39.053679 0.221411 1.060685e+00
59 5.000000e-03 1.000000e+05 -37.545943 -40.318452 0.062505 1.063219e+00
60 5.000000e-03 1.000000e+05 -36.221178 -36.221178 1.000000 1.057715e+00
60 5.000000e-03 1.000000e+05 -36.221178 -39.203974 0.050651 1.035448e+00
60 5.000000e-03 1.000000e+05 -36.221178 -38.240101 0.132798 1.035052e+00
61 5.000000e-03 1.000000e+05 -37.441469 -37.441469 0.295144 1.048540e+00
61 5.000000e-03 1.000000e+05 -37.441469 -38.881033 0.237031 1.057965e+00
62 5.000000e-03 1.000000e+05 -34.888748 -34.888748 1.000000 1.063761e+00
63 5.000000e-03 1.000000e+05 -33.049112 -33.049112 1.000000 1.085568e+00
63 5.000000e-03 1.000000e+05 -33.049112 -36.931079 0.020610 1.057887e+00
64 5.000000e-03 1.000000e+05 -32.633333 -32.633333 1.000000 1.053285e+00
65 5.000000e-03 1.000000e+05 -32.589798 -32.589798 1.000000 1.055840e+00
65 5.000000e-03 1.000000e+05 -32.589798 -33.972706 0.250848 1.043385e+00
65 5.000000e-03 1.000000e+05 -32.589798 -33.765656 0.308554 1.049633e+00
