accepted delta gamma error Lprev Lstar alpha time
1 5.000000e-03 1.000000e+05 -1.258309e-03 -125.830914 -125.830914 1.000000 5.692229e-01
1 5.000000e-03 1.000000e+05 -1.314843e-03 -125.830914 -131.484338 0.003505 5.697287e-01
1 5.000000e-03 1.000000e+05 -1.296170e-03 -125.830914 -129.617028 0.022684 5.701789e-01
1 5.000000e-03 1.000000e+05 -1.279739e-03 -125.830914 -127.973874 0.117307 5.688640e-01
2 5.000000e-03 1.000000e+05 -1.214254e-03 -121.425357 -121.425357 1.000000 5.695316e-01
2 5.000000e-03 1.000000e+05 -1.238452e-03 -121.425357 -123.845157 0.088939 5.705384e-01
2 5.000000e-03 1.000000e+05 -1.238784e-03 -121.425357 -123.878448 0.086027 5.692554e-01
3 5.000000e-03 1.000000e+05 -1.207732e-03 -120.773193 -120.773193 1.000000 5.692272e-01
4 5.000000e-03 1.000000e+05 -1.184139e-03 -118.413887 -118.413887 1.000000 5.704849e-01
4 5.000000e-03 1.000000e+05 -1.237001e-03 -118.413887 -123.700094 0.005061 5.692232e-01
5 5.000000e-03 1.000000e+05 -1.183731e-03 -118.373103 -118.373103 1.000000 5.694036e-01
6 5.000000e-03 1.000000e+05 -1.190179e-03 -119.017882 -119.017882 0.524778 5.694030e-01
7 5.000000e-03 1.000000e+05 -1.181130e-03 -118.113045 -118.113045 1.000000 5.695124e-01
8 5.000000e-03 1.000000e+05 -1.189857e-03 -118.985711 -118.985711 0.417836 5.688009e-01
9 5.000000e-03 1.000000e+05 -1.183667e-03 -118.366665 -118.366665 1.000000 5.692151e-01
10 5.000000e-03 1.000000e+05 -1.181063e-03 -118.106319 -118.106319 1.000000 5.693227e-01
10 5.000000e-03 1.000000e+05 -1.207477e-03 -118.106319 -120.747705 0.071262 5.696154e-01
10 5.000000e-03 1.000000e+05 -1.186866e-03 -118.106319 -118.686591 0.559746 5.695951e-01
10 5.000000e-03 1.000000e+05 -1.186891e-03 -118.106319 -118.689084 0.558353 5.688439e-01
11 5.000000e-03 1.000000e+05 -1.196936e-03 -119.693646 -119.693646 0.204472 5.692646e-01
12 5.000000e-03 1.000000e+05 -1.176417e-03 -117.641670 -117.641670 1.000000 5.697414e-01
13 5.000000e-03 1.000000e+05 -1.148772e-03 -114.877219 -114.877219 1.000000 5.695853e-01
14 5.000000e-03 1.000000e+05 -1.098252e-03 -109.825174 -109.825174 1.000000 5.700268e-01
14 5.000000e-03 1.000000e+05 -1.123326e-03 -109.825174 -112.332583 0.081479 5.692541e-01
14 5.000000e-03 1.000000e+05 -1.124975e-03 -109.825174 -112.497500 0.069091 5.695395e-01
15 5.000000e-03 1.000000e+05 -1.109825e-03 -110.982489 -110.982489 0.314329 5.695368e-01
15 5.000000e-03 1.000000e+05 -1.156856e-03 -110.982489 -115.685554 0.009067 5.693033e-01
15 5.000000e-03 1.000000e+05 -1.111242e-03 -110.982489 -111.124161 0.867906 5.693809e-01
16 5.000000e-03 1.000000e+05 -1.125288e-03 -112.528849 -112.528849 0.213022 5.705936e-01
16 5.000000e-03 1.000000e+05 -1.229079e-03 -112.528849 -122.907864 0.000031 5.693872e-01
17 5.000000e-03 1.000000e+05 -1.122185e-03 -112.218467 -112.218467 1.000000 5.693815e-01
18 5.000000e-03 1.000000e+05 -1.114592e-03 -111.459179 -111.459179 1.000000 5.688725e-01
18 5.000000e-03 1.000000e+05 -1.124686e-03 -111.459179 -112.468630 0.364419 5.693244e-01
18 5.000000e-03 1.000000e+05 -1.170734e-03 -111.459179 -117.073423 0.003646 5.696752e-01
19 5.000000e-03 1.000000e+05 -1.102452e-03 -110.245237 -110.245237 1.000000 5.688162e-01
20 5.000000e-03 1.000000e+05 -1.107928e-03 -110.792778 -110.792778 0.578371 5.695545e-01
21 5.000000e-03 1.000000e+05 -1.103406e-03 -110.340599 -110.340599 1.000000 5.689285e-01
21 5.000000e-03 1.000000e+05 -1.126974e-03 -110.340599 -112.697390 0.094724 5.692615e-01
22 5.000000e-03 1.000000e+05 -1.091817e-03 -109.181662 -109.181662 1.000000 5.700767e-01
23 5.000000e-03 1.000000e+05 -1.063249e-03 -106.324926 -106.324926 1.000000 5.692943e-01
23 5.000000e-03 1.000000e+05 -1.165598e-03 -106.324926 -116.559773 0.000036 5.698323e-01
24 5.000000e-03 1.000000e+05 -1.063863e-03 -106.386300 -106.386300 0.940471 5.689291e-01
24 5.000000e-03 1.000000e+05 -1.076245e-03 -106.386300 -107.624480 0.289911 5.691525e-01
25 5.000000e-03 1.000000e+05 -1.064359e-03 -106.435933 -106.435933 0.951578 5.697397e-01
25 5.000000e-03 1.000000e+05 -1.137468e-03 -106.435933 -113.746810 0.000668 5.691698e-01
26 5.000000e-03 1.000000e+05 -1.031117e-03 -103.111654 -103.111654 1.000000 5.694267e-01
26 5.000000e-03 1.000000e+05 -1.038274e-03 -103.111654 -103.827441 0.488808 5.688466e-01
26 5.000000e-03 1.000000e+05 -1.040357e-03 -103.111654 -104.035661 0.396926 5.693644e-01
27 5.000000e-03 1.000000e+05 -1.015155e-03 -101.515537 -101.515537 1.000000 5.695255e-01
27 5.000000e-03 1.000000e+05 -1.050973e-03 -101.515537 -105.097350 0.027825 5.689182e-01
27 5.000000e-03 1.000000e+05 -1.019644e-03 -101.515537 -101.964383 0.638365 5.697192e-01
27 5.000000e-03 1.000000e+05 -1.028095e-03 -101.515537 -102.809460 0.274193 5.696458e-01
27 5.000000e-03 1.000000e+05 -1.018482e-03 -101.515537 -101.848212 0.717003 5.698134e-01
27 5.000000e-03 1.000000e+05 -1.036918e-03 -101.515537 -103.691752 0.113470 5.687047e-01
28 5.000000e-03 1.000000e+05 -1.013396e-03 -101.339634 -101.339634 1.000000 5.693169e-01
29 5.000000e-03 1.000000e+05 -1.007965e-03 -100.796484 -100.796484 1.000000 5.699755e-01
30 5.000000e-03 1.000000e+05 -1.001847e-03 -100.184662 -100.184662 1.000000 5.693622e-01
30 5.000000e-03 1.000000e+05 -1.017064e-03 -100.184662 -101.706377 0.218337 5.696472e-01
31 5.000000e-03 1.000000e+05 -9.863093e-04 -98.630927 -98.630927 1.000000 5.687821e-01
