accepted delta gamma Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -109.553378 -112.919746 0.034515 1.061754e+00
1 5.000000e-03 1.000000e+05 -108.493481 -108.493481 1.000000 1.061533e+00
1 5.000000e-03 1.000000e+05 -108.493481 -108.956046 0.629666 1.050330e+00
2 5.000000e-03 1.000000e+05 -107.690375 -107.690375 1.000000 1.049054e+00
3 5.000000e-03 1.000000e+05 -106.706179 -106.706179 1.000000 1.064544e+00
3 5.000000e-03 1.000000e+05 -106.706179 -109.983816 0.037717 1.057811e+00
3 5.000000e-03 1.000000e+05 -106.706179 -108.400639 0.183698 1.077222e+00
4 5.000000e-03 1.000000e+05 -106.535948 -106.535948 1.000000 1.052170e+00
5 5.000000e-03 1.000000e+05 -105.222538 -105.222538 1.000000 1.047657e+00
5 5.000000e-03 1.000000e+05 -105.222538 -107.324591 0.122205 1.074106e+00
6 5.000000e-03 1.000000e+05 -103.159015 -103.159015 1.000000 1.066287e+00
7 5.000000e-03 1.000000e+05 -105.289503 -105.289503 0.118779 1.059009e+00
7 5.000000e-03 1.000000e+05 -105.289503 -108.083771 0.061160 1.073376e+00
8 5.000000e-03 1.000000e+05 -105.235467 -105.235467 1.000000 1.125970e+00
8 5.000000e-03 1.000000e+05 -105.235467 -109.246873 0.018108 1.068148e+00
9 5.000000e-03 1.000000e+05 -104.285095 -104.285095 1.000000 1.054295e+00
9 5.000000e-03 1.000000e+05 -104.285095 -104.537290 0.777093 1.076893e+00
10 5.000000e-03 1.000000e+05 -104.387199 -104.387199 0.902935 1.064103e+00
10 5.000000e-03 1.000000e+05 -104.387199 -105.860215 0.229233 1.034727e+00
10 5.000000e-03 1.000000e+05 -104.387199 -105.465894 0.340039 1.074125e+00
10 5.000000e-03 1.000000e+05 -104.387199 -105.697036 0.269864 1.049993e+00
11 5.000000e-03 1.000000e+05 -102.185971 -102.185971 1.000000 1.069094e+00
12 5.000000e-03 1.000000e+05 -100.775590 -100.775590 1.000000 1.046963e+00
13 5.000000e-03 1.000000e+05 -100.306085 -100.306085 1.000000 1.033311e+00
13 5.000000e-03 1.000000e+05 -100.306085 -102.257475 0.142077 1.062255e+00
14 5.000000e-03 1.000000e+05 -100.695089 -100.695089 0.677732 1.111306e+00
15 5.000000e-03 1.000000e+05 -100.577162 -100.577162 1.000000 1.080135e+00
15 5.000000e-03 1.000000e+05 -100.577162 -105.487343 0.007371 1.068285e+00
15 5.000000e-03 1.000000e+05 -100.577162 -102.150191 0.207416 1.048430e+00
16 5.000000e-03 1.000000e+05 -100.283078 -100.283078 1.000000 1.049813e+00
16 5.000000e-03 1.000000e+05 -100.283078 -103.214869 0.053301 1.047224e+00
16 5.000000e-03 1.000000e+05 -100.283078 -101.392491 0.329753 1.036623e+00
16 5.000000e-03 1.000000e+05 -100.283078 -102.807283 0.080122 1.056116e+00
16 5.000000e-03 1.000000e+05 -100.283078 -105.009494 0.008858 1.064217e+00
16 5.000000e-03 1.000000e+05 -100.283078 -100.538351 0.774705 1.073057e+00
17 5.000000e-03 1.000000e+05 -99.964247 -99.964247 1.000000 1.049837e+00
18 5.000000e-03 1.000000e+05 -99.673979 -99.673979 1.000000 1.081803e+00
19 5.000000e-03 1.000000e+05 -99.995268 -99.995268 0.725214 1.066661e+00
20 5.000000e-03 1.000000e+05 -93.437776 -93.437776 1.000000 1.062425e+00
21 5.000000e-03 1.000000e+05 -93.862920 -93.862920 0.653675 1.062673e+00
21 5.000000e-03 1.000000e+05 -93.862920 -95.806192 0.143235 1.072729e+00
21 5.000000e-03 1.000000e+05 -93.862920 -98.086455 0.014647 1.064144e+00
21 5.000000e-03 1.000000e+05 -93.862920 -96.208739 0.095769 1.059571e+00
22 5.000000e-03 1.000000e+05 -91.845463 -91.845463 1.000000 1.076984e+00
23 5.000000e-03 1.000000e+05 -91.835388 -91.835388 1.000000 1.055811e+00
24 5.000000e-03 1.000000e+05 -89.307595 -89.307595 1.000000 1.069246e+00
25 5.000000e-03 1.000000e+05 -87.527270 -87.527270 1.000000 1.055281e+00
25 5.000000e-03 1.000000e+05 -87.527270 -89.291341 0.171346 1.045323e+00
25 5.000000e-03 1.000000e+05 -87.527270 -93.123688 0.003711 1.034067e+00
26 5.000000e-03 1.000000e+05 -87.174275 -87.174275 1.000000 1.063173e+00
27 5.000000e-03 1.000000e+05 -83.952541 -83.952541 1.000000 1.076108e+00
27 5.000000e-03 1.000000e+05 -83.952541 -85.716704 0.171330 1.057917e+00
27 5.000000e-03 1.000000e+05 -83.952541 -84.863829 0.402006 1.065870e+00
27 5.000000e-03 1.000000e+05 -83.952541 -87.113958 0.042366 1.115484e+00
28 5.000000e-03 1.000000e+05 -81.759952 -81.759952 1.000000 1.060171e+00
29 5.000000e-03 1.000000e+05 -81.536753 -81.536753 1.000000 1.056482e+00
29 5.000000e-03 1.000000e+05 -81.536753 -82.647108 0.329442 1.069054e+00
30 5.000000e-03 1.000000e+05 -82.615144 -82.615144 0.340142 1.071966e+00
30 5.000000e-03 1.000000e+05 -82.615144 -84.153093 0.214821 1.054124e+00
31 5.000000e-03 1.000000e+05 -80.236316 -80.236316 1.000000 1.073348e+00
31 5.000000e-03 1.000000e+05 -80.236316 -81.533742 0.273234 1.073460e+00
32 5.000000e-03 1.000000e+05 -80.579879 -80.579879 0.709239 1.061162e+00
33 5.000000e-03 1.000000e+05 -78.954524 -78.954524 1.000000 1.062621e+00
33 5.000000e-03 1.000000e+05 -78.954524 -81.886748 0.053278 1.074600e+00
34 5.000000e-03 1.000000e+05 -77.970323 -77.970323 1.000000 1.063376e+00
34 5.000000e-03 1.000000e+05 -77.970323 -82.055833 0.016815 1.063215e+00
35 5.000000e-03 1.000000e+05 -76.367886 -76.367886 1.000000 1.073035e+00
35 5.000000e-03 1.000000e+05 -76.367886 -77.774342 0.245010 1.050456e+00
36 5.000000e-03 1.000000e+05 -77.015198 -77.015198 0.523451 1.073667e+00
37 5.000000e-03 1.000000e+05 -76.910108 -76.910108 1.000000 1.074300e+00
38 5.000000e-03 1.000000e+05 -77.853035 -77.853035 0.389486 1.051343e+00
39 5.000000e-03 1.000000e+05 -78.407196 -78.407196 0.574554 1.070222e+00
40 5.000000e-03 1.000000e+05 -76.808637 -76.808637 1.000000 1.077400e+00
41 5.000000e-03 1.000000e+05 -76.867578 -76.867578 0.942762 1.049700e+00
42 5.000000e-03 1.000000e+05 -75.788199 -75.788199 1.000000 1.052721e+00
42 5.000000e-03 1.000000e+05 -75.788199 -77.888022 0.122478 1.056926e+00
43 5.000000e-03 1.000000e+05 -73.814678 -73.814678 1.000000 1.061349e+00
44 5.000000e-03 1.000000e+05 -69.452304 -69.452304 1.000000 1.057795e+00
45 5.000000e-03 1.000000e+05 -67.636063 -67.636063 1.000000 1.148535e+00
46 5.000000e-03 1.000000e+05 -66.711934 -66.711934 1.000000 1.071144e+00
47 5.000000e-03 1.000000e+05 -68.311364 -68.311364 0.202012 1.037385e+00
47 5.000000e-03 1.000000e+05 -68.311364 -74.119673 0.003003 1.080892e+00
47 5.000000e-03 1.000000e+05 -68.311364 -69.618846 0.270500 1.081419e+00
47 5.000000e-03 1.000000e+05 -68.311364 -70.199778 0.151312 1.048738e+00
47 5.000000e-03 1.000000e+05 -68.311364 -72.284620 0.018812 1.076968e+00
48 5.000000e-03 1.000000e+05 -66.891229 -66.891229 1.000000 1.063204e+00
49 5.000000e-03 1.000000e+05 -67.413857 -67.413857 0.592960 1.059809e+00
50 5.000000e-03 1.000000e+05 -65.813854 -65.813854 1.000000 1.050105e+00
51 5.000000e-03 1.000000e+05 -62.248676 -62.248676 1.000000 1.054676e+00
51 5.000000e-03 1.000000e+05 -62.248676 -62.829670 0.559342 1.067441e+00
51 5.000000e-03 1.000000e+05 -62.248676 -63.667162 0.242080 1.076706e+00
