accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -2.838074e-03 -27.775563 -28.380738 0.545979 1.001532e+00
1 9.523810e-02 1.000000e+04 -2.638401e-03 -26.384009 -26.384009 1.000000 1.001451e+00
2 9.090909e-02 1.000000e+04 -2.528802e-03 -25.288019 -25.288019 1.000000 1.001838e+00
3 8.695652e-02 1.000000e+04 -2.344180e-03 -23.441803 -23.441803 1.000000 1.001228e+00
4 8.333333e-02 1.000000e+04 -2.458918e-03 -24.589181 -24.589181 0.317468 1.001745e+00
5 8.000000e-02 1.000000e+04 -2.276480e-03 -22.764800 -22.764800 1.000000 1.000907e+00
6 7.692308e-02 1.000000e+04 -2.244587e-03 -22.445870 -22.445870 1.000000 1.001560e+00
6 7.407407e-02 1.000000e+04 -2.352889e-03 -22.445870 -23.528885 0.338573 1.001343e+00
7 7.142857e-02 1.000000e+04 -2.104594e-03 -21.045944 -21.045944 1.000000 1.001756e+00
8 6.896552e-02 1.000000e+04 -1.994946e-03 -19.949457 -19.949457 1.000000 1.001243e+00
9 6.666667e-02 1.000000e+04 -1.910941e-03 -19.109411 -19.109411 1.000000 1.001165e+00
10 6.451613e-02 1.000000e+04 -1.764853e-03 -17.648533 -17.648533 1.000000 1.001913e+00
11 6.250000e-02 1.000000e+04 -1.829463e-03 -18.294629 -18.294629 0.524088 1.001323e+00
11 6.060606e-02 1.000000e+04 -1.881235e-03 -18.294629 -18.812348 0.595878 1.001255e+00
11 5.882353e-02 1.000000e+04 -1.900101e-03 -18.294629 -19.001009 0.493427 1.001041e+00
12 5.714286e-02 1.000000e+04 -1.841235e-03 -18.412349 -18.412349 0.888945 1.001426e+00
13 5.555556e-02 1.000000e+04 -1.797633e-03 -17.976330 -17.976330 1.000000 1.001120e+00
14 5.405405e-02 1.000000e+04 -1.805362e-03 -18.053618 -18.053618 0.925624 1.001241e+00
14 5.263158e-02 1.000000e+04 -1.872043e-03 -18.053618 -18.720434 0.513340 1.001083e+00
15 5.128205e-02 1.000000e+04 -1.824864e-03 -18.248636 -18.248636 0.822820 1.000961e+00
16 5.000000e-02 1.000000e+04 -1.806346e-03 -18.063461 -18.063461 1.000000 1.000740e+00
17 4.878049e-02 1.000000e+04 -1.781527e-03 -17.815268 -17.815268 1.000000 1.001698e+00
18 4.761905e-02 1.000000e+04 -1.840093e-03 -18.400934 -18.400934 0.556735 1.001228e+00
19 4.651163e-02 1.000000e+04 -1.892663e-03 -18.926630 -18.926630 0.591144 1.000859e+00
20 4.545455e-02 1.000000e+04 -1.840567e-03 -18.405668 -18.405668 1.000000 1.000859e+00
21 4.444444e-02 1.100000e+04 -1.839989e-03 -20.239880 -20.239880 1.000000 1.001000e+00
21 4.347826e-02 1.100000e+04 -2.049526e-03 -20.239880 -22.544787 0.099768 1.001538e+00
22 4.255319e-02 1.100000e+04 -1.805717e-03 -19.862887 -19.862887 1.000000 1.001173e+00
23 4.166667e-02 1.100000e+04 -1.759919e-03 -19.359114 -19.359114 1.000000 1.000625e+00
24 4.081633e-02 1.100000e+04 -1.716119e-03 -18.877310 -18.877310 1.000000 1.001301e+00
25 4.000000e-02 1.100000e+04 -1.749836e-03 -19.248197 -19.248197 0.690122 1.001201e+00
25 3.921569e-02 1.100000e+04 -1.871809e-03 -19.248197 -20.589902 0.261400 1.001229e+00
26 3.846154e-02 1.100000e+04 -1.706237e-03 -18.768606 -18.768606 1.000000 1.001130e+00
27 3.773585e-02 1.100000e+04 -1.767684e-03 -19.444528 -19.444528 0.508687 1.000542e+00
28 3.703704e-02 1.100000e+04 -1.807829e-03 -19.886121 -19.886121 0.643011 1.001369e+00
29 3.636364e-02 1.100000e+04 -1.855058e-03 -20.405637 -20.405637 0.594808 1.001684e+00
30 3.571429e-02 1.100000e+04 -1.821900e-03 -20.040905 -20.040905 1.000000 1.001713e+00
31 3.508772e-02 1.100000e+04 -1.880034e-03 -20.680370 -20.680370 0.527575 1.000905e+00
32 3.448276e-02 1.100000e+04 -1.857230e-03 -20.429527 -20.429527 1.000000 1.001159e+00
33 3.389831e-02 1.100000e+04 -1.847973e-03 -20.327700 -20.327700 1.000000 1.000866e+00
