accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -6.721123e-03 -66.748258 -67.211231 0.629410 1.004054e+00
1 9.523810e-02 1.000000e+04 -6.694801e-03 -66.948005 -66.948005 0.818938 1.003494e+00
2 9.090909e-02 1.000000e+04 -6.658808e-03 -66.588080 -66.588080 1.000000 1.004014e+00
3 8.695652e-02 1.000000e+04 -6.644415e-03 -66.444149 -66.444149 1.000000 1.003005e+00
3 8.333333e-02 1.000000e+04 -6.658925e-03 -66.444149 -66.589247 0.864938 1.005191e+00
3 8.000000e-02 1.000000e+04 -6.648804e-03 -66.444149 -66.488040 0.957059 1.003977e+00
4 7.692308e-02 1.000000e+04 -6.622700e-03 -66.227004 -66.227004 1.000000 1.004391e+00
5 7.407407e-02 1.000000e+04 -6.651680e-03 -66.516801 -66.516801 0.748416 1.005207e+00
6 7.142857e-02 1.000000e+04 -6.610321e-03 -66.103214 -66.103214 1.000000 1.007593e+00
7 6.896552e-02 1.000000e+04 -6.601870e-03 -66.018695 -66.018695 1.000000 1.008409e+00
8 6.666667e-02 1.000000e+04 -6.590390e-03 -65.903902 -65.903902 1.000000 1.007656e+00
9 6.451613e-02 1.000000e+04 -6.594127e-03 -65.941273 -65.941273 0.963318 1.007613e+00
10 6.250000e-02 1.000000e+04 -6.568967e-03 -65.689668 -65.689668 1.000000 1.008541e+00
11 6.060606e-02 1.000000e+04 -6.568291e-03 -65.682910 -65.682910 1.000000 1.007749e+00
12 5.882353e-02 1.000000e+04 -6.560576e-03 -65.605761 -65.605761 1.000000 1.008064e+00
13 5.714286e-02 1.000000e+04 -6.566636e-03 -65.666355 -65.666355 0.941205 1.008627e+00
14 5.555556e-02 1.000000e+04 -6.564824e-03 -65.648235 -65.648235 1.000000 1.007896e+00
14 5.405405e-02 1.000000e+04 -6.576465e-03 -65.648235 -65.764653 0.890103 1.007496e+00
15 5.263158e-02 1.000000e+04 -6.586175e-03 -65.861754 -65.861754 0.807737 1.007715e+00
16 5.128205e-02 1.000000e+04 -6.586643e-03 -65.866426 -65.866426 0.995338 1.008113e+00
17 5.000000e-02 1.000000e+04 -6.590489e-03 -65.904895 -65.904895 0.962262 1.007741e+00
18 4.878049e-02 1.000000e+04 -6.609113e-03 -66.091135 -66.091135 0.830074 1.008478e+00
19 4.761905e-02 1.000000e+04 -6.616690e-03 -66.166895 -66.166895 0.927038 1.008616e+00
20 4.651163e-02 1.000000e+04 -6.592607e-03 -65.926070 -65.926070 1.000000 1.008015e+00
21 4.545455e-02 1.100000e+04 -6.605961e-03 -72.665575 -72.665575 0.863382 1.008315e+00
22 4.444444e-02 1.100000e+04 -6.637842e-03 -73.016264 -73.016264 0.704202 1.007930e+00
23 4.347826e-02 1.100000e+04 -6.640521e-03 -73.045726 -73.045726 0.970968 1.009236e+00
24 4.255319e-02 1.100000e+04 -6.638957e-03 -73.028527 -73.028527 1.000000 1.008640e+00
25 4.166667e-02 1.100000e+04 -6.630797e-03 -72.938768 -72.938768 1.000000 1.007499e+00
26 4.081633e-02 1.100000e+04 -6.643220e-03 -73.075418 -73.075418 0.872276 1.008896e+00
27 4.000000e-02 1.100000e+04 -6.657110e-03 -73.228211 -73.228211 0.858307 1.007382e+00
28 3.921569e-02 1.100000e+04 -6.656747e-03 -73.224219 -73.224219 1.000000 1.009394e+00
29 3.846154e-02 1.100000e+04 -6.677429e-03 -73.451716 -73.451716 0.796525 1.008960e+00
30 3.773585e-02 1.100000e+04 -6.686345e-03 -73.549791 -73.549791 0.906581 1.008820e+00
30 3.703704e-02 1.100000e+04 -6.724127e-03 -73.549791 -73.965394 0.659942 1.009441e+00
31 3.636364e-02 1.100000e+04 -6.685481e-03 -73.540295 -73.540295 1.000000 1.008726e+00
