accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -1.617832e-03 -16.178323 -16.178323 0.000000 6.914040e-310
1 1.000000e-01 1.000000e+04 -1.588000e-03 -15.880004 -15.880004 1.000000 1.003265e+00
1 9.523810e-02 1.000000e+04 -1.720952e-03 -15.880004 -17.209517 0.264606 1.003991e+00
1 9.090909e-02 1.000000e+04 -1.658453e-03 -15.880004 -16.584525 0.494345 1.003667e+00
2 8.695652e-02 1.000000e+04 -1.649571e-03 -16.495707 -16.495707 0.540261 1.002964e+00
3 8.333333e-02 1.000000e+04 -1.679653e-03 -16.796528 -16.796528 0.740211 1.003252e+00
4 8.000000e-02 1.000000e+04 -1.634397e-03 -16.343974 -16.343974 1.000000 1.002939e+00
5 7.692308e-02 1.000000e+04 -1.748123e-03 -17.481230 -17.481230 0.320698 1.003500e+00
6 7.407407e-02 1.000000e+04 -1.672248e-03 -16.722480 -16.722480 1.000000 1.003112e+00
7 7.142857e-02 1.000000e+04 -1.587752e-03 -15.877516 -15.877516 1.000000 1.003621e+00
7 6.896552e-02 1.000000e+04 -1.676258e-03 -15.877516 -16.762582 0.412687 1.002819e+00
8 6.666667e-02 1.000000e+04 -1.522687e-03 -15.226865 -15.226865 1.000000 1.002870e+00
9 6.451613e-02 1.000000e+04 -1.593648e-03 -15.936478 -15.936478 0.491835 1.003256e+00
10 6.250000e-02 1.000000e+04 -1.582305e-03 -15.823055 -15.823055 1.000000 1.002923e+00
11 6.060606e-02 1.000000e+04 -1.505521e-03 -15.055212 -15.055212 1.000000 1.002887e+00
12 5.882353e-02 1.000000e+04 -1.495253e-03 -14.952533 -14.952533 1.000000 1.002903e+00
12 5.714286e-02 1.000000e+04 -1.562969e-03 -14.952533 -15.629691 0.508059 1.003358e+00
13 5.555556e-02 1.000000e+04 -1.498484e-03 -14.984837 -14.984837 0.968213 1.003286e+00
13 5.405405e-02 1.000000e+04 -1.647121e-03 -14.984837 -16.471206 0.226192 1.002816e+00
14 5.263158e-02 1.000000e+04 -1.637076e-03 -16.370762 -16.370762 0.250092 1.002671e+00
15 5.128205e-02 1.000000e+04 -1.707157e-03 -17.071573 -17.071573 0.496183 1.002862e+00
15 5.000000e-02 1.000000e+04 -1.737157e-03 -17.071573 -17.371565 0.740824 1.002712e+00
16 4.878049e-02 1.000000e+04 -1.760448e-03 -17.604483 -17.604483 0.586895 1.003245e+00
16 4.761905e-02 1.000000e+04 -1.879880e-03 -17.604483 -18.798803 0.302910 1.002840e+00
17 4.651163e-02 1.000000e+04 -1.874181e-03 -18.741812 -18.741812 0.320674 1.002876e+00
18 4.545455e-02 1.000000e+04 -1.784462e-03 -17.844618 -17.844618 1.000000 1.002606e+00
18 4.444444e-02 1.000000e+04 -1.812243e-03 -17.844618 -18.122432 0.757437 1.002687e+00
19 4.347826e-02 1.000000e+04 -1.709154e-03 -17.091538 -17.091538 1.000000 1.003012e+00
20 4.255319e-02 1.000000e+04 -1.742102e-03 -17.421019 -17.421019 0.719297 1.003038e+00
21 4.166667e-02 1.100000e+04 -1.755491e-03 -19.310404 -19.310404 0.863049 1.002938e+00
22 4.081633e-02 1.100000e+04 -1.778928e-03 -19.568213 -19.568213 0.772742 1.002779e+00
23 4.000000e-02 1.100000e+04 -1.678571e-03 -18.464279 -18.464279 1.000000 1.003248e+00
24 3.921569e-02 1.100000e+04 -1.613232e-03 -17.745550 -17.745550 1.000000 1.002977e+00
25 3.846154e-02 1.100000e+04 -1.500767e-03 -16.508437 -16.508437 1.000000 1.002768e+00
26 3.773585e-02 1.100000e+04 -1.470676e-03 -16.177431 -16.177431 1.000000 1.002539e+00
27 3.703704e-02 1.100000e+04 -1.538139e-03 -16.919527 -16.919527 0.476115 1.002402e+00
27 3.636364e-02 1.100000e+04 -1.578025e-03 -16.919527 -17.358271 0.644846 1.003514e+00
28 3.571429e-02 1.100000e+04 -1.608720e-03 -17.695915 -17.695915 0.460065 1.002534e+00
29 3.508772e-02 1.100000e+04 -1.549392e-03 -17.043314 -17.043314 1.000000 1.002908e+00
30 3.448276e-02 1.100000e+04 -1.583418e-03 -17.417599 -17.417599 0.687781 1.002586e+00
31 3.389831e-02 1.100000e+04 -1.590369e-03 -17.494055 -17.494055 0.926394 1.002186e+00
32 3.333333e-02 1.100000e+04 -1.579503e-03 -17.374535 -17.374535 1.000000 1.002755e+00
33 3.278689e-02 1.100000e+04 -1.557665e-03 -17.134316 -17.134316 1.000000 1.002944e+00
34 3.225806e-02 1.100000e+04 -1.552269e-03 -17.074964 -17.074964 1.000000 1.003023e+00
35 3.174603e-02 1.100000e+04 -1.548522e-03 -17.033743 -17.033743 1.000000 1.002774e+00
36 3.125000e-02 1.100000e+04 -1.627033e-03 -17.897358 -17.897358 0.421635 1.002469e+00
37 3.076923e-02 1.100000e+04 -1.666188e-03 -18.328072 -18.328072 0.650045 1.002827e+00
38 3.030303e-02 1.100000e+04 -1.673532e-03 -18.408855 -18.408855 0.922394 1.002780e+00
39 2.985075e-02 1.100000e+04 -1.622240e-03 -17.844645 -17.844645 1.000000 1.003105e+00
40 2.941176e-02 1.100000e+04 -1.621091e-03 -17.831998 -17.831998 1.000000 1.002739e+00
40 2.898551e-02 1.210000e+04 -1.721328e-03 -19.615198 -20.828064 0.297344 1.002590e+00
40 2.857143e-02 1.210000e+04 -1.666045e-03 -19.615198 -20.159150 0.580450 1.003241e+00
41 2.816901e-02 1.210000e+04 -1.609050e-03 -19.469502 -19.469502 1.000000 1.003114e+00
42 2.777778e-02 1.210000e+04 -1.559303e-03 -18.867567 -18.867567 1.000000 1.002677e+00
42 2.739726e-02 1.210000e+04 -1.614310e-03 -18.867567 -19.533153 0.513972 1.002882e+00
43 2.702703e-02 1.210000e+04 -1.613302e-03 -19.520950 -19.520950 0.520282 1.002857e+00
44 2.666667e-02 1.210000e+04 -1.603282e-03 -19.399714 -19.399714 1.000000 1.002763e+00
45 2.631579e-02 1.210000e+04 -1.575110e-03 -19.058837 -19.058837 1.000000 1.002955e+00
45 2.597403e-02 1.210000e+04 -1.650619e-03 -19.058837 -19.972484 0.401059 1.002954e+00
45 2.564103e-02 1.210000e+04 -1.637428e-03 -19.058837 -19.812873 0.470464 1.002545e+00
46 2.531646e-02 1.210000e+04 -1.582568e-03 -19.149077 -19.149077 0.913712 1.002984e+00
47 2.500000e-02 1.210000e+04 -1.630727e-03 -19.731791 -19.731791 0.558381 1.002733e+00
48 2.469136e-02 1.210000e+04 -1.576475e-03 -19.075352 -19.075352 1.000000 1.003410e+00
