accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -2.549565e-03 -25.495652 -25.495652 0.000000 6.903297e-310
1 1.000000e-01 1.000000e+04 -2.373310e-03 -23.733099 -23.733099 1.000000 1.009293e+00
1 9.523810e-02 1.000000e+04 -2.615171e-03 -23.733099 -26.151712 0.089045 1.009045e+00
2 9.090909e-02 1.000000e+04 -2.260775e-03 -22.607746 -22.607746 1.000000 1.008934e+00
3 8.695652e-02 1.000000e+04 -2.059402e-03 -20.594021 -20.594021 1.000000 1.008329e+00
3 8.333333e-02 1.000000e+04 -2.342712e-03 -20.594021 -23.427121 0.058830 1.008936e+00
3 8.000000e-02 1.000000e+04 -2.310553e-03 -20.594021 -23.105529 0.081146 1.008307e+00
4 7.692308e-02 1.000000e+04 -2.118405e-03 -21.184049 -21.184049 0.554312 1.009048e+00
5 7.407407e-02 1.000000e+04 -2.057888e-03 -20.578881 -20.578881 1.000000 1.008187e+00
5 7.142857e-02 1.000000e+04 -2.116018e-03 -20.578881 -21.160182 0.559170 1.008608e+00
6 6.896552e-02 1.000000e+04 -2.154840e-03 -21.548398 -21.548398 0.379266 1.008361e+00
7 6.666667e-02 1.000000e+04 -2.079612e-03 -20.796121 -20.796121 1.000000 1.008166e+00
8 6.451613e-02 1.000000e+04 -2.001379e-03 -20.013791 -20.013791 1.000000 1.009182e+00
9 6.250000e-02 1.000000e+04 -1.947801e-03 -19.478012 -19.478012 1.000000 1.008958e+00
9 6.060606e-02 1.000000e+04 -2.022156e-03 -19.478012 -20.221562 0.475423 1.008367e+00
10 5.882353e-02 1.000000e+04 -1.850137e-03 -18.501371 -18.501371 1.000000 1.008645e+00
10 5.714286e-02 1.000000e+04 -1.930207e-03 -18.501371 -19.302074 0.449013 1.008687e+00
10 5.555556e-02 1.000000e+04 -1.953460e-03 -18.501371 -19.534604 0.355855 1.008877e+00
11 5.405405e-02 1.000000e+04 -1.922535e-03 -19.225351 -19.225351 0.484819 1.008625e+00
12 5.263158e-02 1.000000e+04 -1.991531e-03 -19.915313 -19.915313 0.501595 1.008377e+00
13 5.128205e-02 1.000000e+04 -2.102360e-03 -21.023597 -21.023597 0.330125 1.008830e+00
14 5.000000e-02 1.000000e+04 -2.051531e-03 -20.515306 -20.515306 1.000000 1.008771e+00
14 4.878049e-02 1.000000e+04 -2.106053e-03 -20.515306 -21.060532 0.579711 1.008281e+00
15 4.761905e-02 1.000000e+04 -1.999092e-03 -19.990916 -19.990916 1.000000 1.008863e+00
16 4.651163e-02 1.000000e+04 -1.986728e-03 -19.867277 -19.867277 1.000000 1.008380e+00
16 4.545455e-02 1.000000e+04 -2.100368e-03 -19.867277 -21.003678 0.320972 1.008169e+00
16 4.444444e-02 1.000000e+04 -2.137643e-03 -19.867277 -21.376434 0.221096 1.008285e+00
17 4.347826e-02 1.000000e+04 -1.934810e-03 -19.348098 -19.348098 1.000000 1.008590e+00
18 4.255319e-02 1.000000e+04 -2.093889e-03 -20.938887 -20.938887 0.203765 1.008798e+00
19 4.166667e-02 1.000000e+04 -2.110702e-03 -21.107025 -21.107025 0.845237 1.008414e+00
20 4.081633e-02 1.000000e+04 -2.075594e-03 -20.755942 -20.755942 1.000000 1.008011e+00
21 4.000000e-02 1.100000e+04 -2.114394e-03 -23.258337 -23.258337 0.652594 1.008398e+00
22 3.921569e-02 1.100000e+04 -2.133329e-03 -23.466615 -23.466615 0.811982 1.008602e+00
23 3.846154e-02 1.100000e+04 -2.209362e-03 -24.302986 -24.302986 0.433280 1.008543e+00
23 3.773585e-02 1.100000e+04 -2.426924e-03 -24.302986 -26.696167 0.091339 1.008230e+00
23 3.703704e-02 1.100000e+04 -2.352091e-03 -24.302986 -25.873003 0.208042 1.008382e+00
24 3.636364e-02 1.100000e+04 -2.190520e-03 -24.095723 -24.095723 1.000000 1.008816e+00
25 3.571429e-02 1.100000e+04 -2.226925e-03 -24.496179 -24.496179 0.670014 1.008411e+00
26 3.508772e-02 1.100000e+04 -2.201014e-03 -24.211158 -24.211158 1.000000 1.008670e+00
27 3.448276e-02 1.100000e+04 -2.162088e-03 -23.782966 -23.782966 1.000000 1.008242e+00
28 3.389831e-02 1.100000e+04 -2.241819e-03 -24.660007 -24.660007 0.416012 1.008223e+00
29 3.333333e-02 1.100000e+04 -2.248965e-03 -24.738614 -24.738614 0.924404 1.008391e+00
29 3.278689e-02 1.100000e+04 -2.452735e-03 -24.738614 -26.980080 0.106303 1.008414e+00
30 3.225806e-02 1.100000e+04 -2.253891e-03 -24.792797 -24.792797 0.947259 1.008817e+00
31 3.174603e-02 1.100000e+04 -2.179496e-03 -23.974458 -23.974458 1.000000 1.008231e+00
32 3.125000e-02 1.100000e+04 -2.089907e-03 -22.988974 -22.988974 1.000000 1.008473e+00
33 3.076923e-02 1.100000e+04 -2.148136e-03 -23.629501 -23.629501 0.527015 1.008696e+00
34 3.030303e-02 1.100000e+04 -2.186086e-03 -24.046944 -24.046944 0.658729 1.008362e+00
34 2.985075e-02 1.100000e+04 -2.300741e-03 -24.046944 -25.308147 0.283313 1.008779e+00
35 2.941176e-02 1.100000e+04 -2.170812e-03 -23.878929 -23.878929 1.000000 1.008569e+00
