accepted	Lprev	Lstar	alpha	minimum	time
1		-1603.292222	-1603.292222	0.641894	2.987342e-08	1.234094e+00
2		-1602.915501	-1602.915501	1.000000	2.967937e-08	1.234785e+00
3		-1602.868106	-1602.868106	1.000000	2.949346e-08	1.234036e+00
4		-1602.882515	-1602.882515	0.985695	2.955842e-08	1.234342e+00
5		-1601.927627	-1601.927627	1.000000	2.946523e-08	1.239779e+00
6		-1602.286242	-1602.286242	0.698643	2.962884e-08	1.239787e+00
6		-1602.286242	-1602.773394	0.614374	2.957682e-08	1.237749e+00
7		-1602.357540	-1602.357540	0.931185	2.955385e-08	1.237502e+00
7		-1602.357540	-1603.291753	0.392895	2.946810e-08	1.232469e+00
8		-1602.191889	-1602.191889	1.000000	2.947358e-08	1.233142e+00
