accepted	Lprev	Lstar	alpha	minimum	time
0		-317.320945	-320.200149	0.056179	2.946155e-08	1.520979e+00
0		-317.320945	-325.139381	0.000402	2.943275e-08	1.497749e+00
1		-318.760032	-318.760032	0.237144	2.956666e-08	1.493463e+00
2		-315.217960	-315.217960	1.000000	2.947489e-08	1.519818e+00
2		-315.217960	-329.155218	0.000001	2.884774e-08	1.513647e+00
2		-315.217960	-320.682401	0.004235	2.918778e-08	1.490548e+00
3		-315.000504	-315.000504	1.000000	2.941270e-08	1.530429e+00
4		-311.684193	-311.684193	1.000000	2.880362e-08	1.496399e+00
5		-310.761195	-310.761195	1.000000	2.907841e-08	1.546529e+00
5		-310.761195	-320.098152	0.000088	2.912095e-08	1.534215e+00
5		-310.761195	-311.163086	0.669053	2.884495e-08	1.496620e+00
6		-310.995860	-310.995860	0.790836	2.901408e-08	1.544746e+00
7		-308.015285	-308.015285	1.000000	2.903907e-08	1.539840e+00
7		-308.015285	-308.899940	0.412857	2.870930e-08	1.494950e+00
7		-308.015285	-312.395206	0.012526	2.852282e-08	1.481178e+00
7		-308.015285	-311.676578	0.025699	2.859090e-08	1.505664e+00
7		-308.015285	-316.056134	0.000322	2.876232e-08	1.486209e+00
7		-308.015285	-313.518957	0.004072	2.888012e-08	1.600305e+00
8		-304.973886	-304.973886	1.000000	2.891521e-08	1.529790e+00
9		-295.580161	-295.580161	1.000000	2.879231e-08	1.498744e+00
9		-295.580161	-298.258777	0.068658	2.849693e-08	1.536448e+00
9		-295.580161	-308.090935	0.000004	2.925795e-08	1.530609e+00
10		-291.647748	-291.647748	1.000000	2.881668e-08	1.520762e+00
10		-291.647748	-292.900927	0.285596	2.886742e-08	1.512864e+00
10		-291.647748	-296.888740	0.005295	2.856500e-08	1.524982e+00
11		-288.762921	-288.762921	1.000000	2.862528e-08	1.521406e+00
12		-282.323982	-282.323982	1.000000	2.856975e-08	1.513228e+00
12		-282.323982	-284.206932	0.152141	2.870070e-08	1.505376e+00
12		-282.323982	-283.398027	0.341624	2.869165e-08	1.528846e+00
12		-282.323982	-286.736874	0.012120	2.840907e-08	1.492094e+00
12		-282.323982	-282.864455	0.582473	2.843972e-08	1.499279e+00
12		-282.323982	-285.380319	0.047060	2.851749e-08	1.499806e+00
12		-282.323982	-284.775945	0.086124	2.839972e-08	1.542360e+00
12		-282.323982	-285.849993	0.029422	2.850674e-08	1.494000e+00
13		-278.485449	-278.485449	1.000000	2.821873e-08	1.536849e+00
14		-276.261758	-276.261758	1.000000	2.804316e-08	1.496582e+00
15		-271.949714	-271.949714	1.000000	2.808743e-08	1.541999e+00
15		-271.949714	-272.888305	0.391179	2.790159e-08	1.537328e+00
15		-271.949714	-275.578270	0.026555	2.781943e-08	1.492844e+00
15		-271.949714	-274.557837	0.073673	2.795060e-08	1.497770e+00
16		-271.334743	-271.334743	1.000000	2.788102e-08	1.542468e+00
16		-271.334743	-273.741073	0.090146	2.749321e-08	1.541358e+00
17		-271.192140	-271.192140	1.000000	2.773354e-08	1.492726e+00
18		-268.839244	-268.839244	1.000000	2.777499e-08	1.548597e+00
18		-268.839244	-273.550906	0.008990	2.773483e-08	1.556091e+00
18		-268.839244	-272.659977	0.021912	2.783756e-08	1.522971e+00
18		-268.839244	-271.201552	0.094203	2.745878e-08	1.477267e+00
18		-268.839244	-275.033624	0.002041	2.799060e-08	1.499180e+00
18		-268.839244	-273.621314	0.008379	2.768723e-08	1.540191e+00
19		-267.847710	-267.847710	1.000000	2.769545e-08	1.499792e+00
19		-267.847710	-270.133110	0.101733	2.779997e-08	1.529206e+00
19		-267.847710	-269.160165	0.269158	2.755509e-08	1.499122e+00
20		-262.897527	-262.897527	1.000000	2.743378e-08	1.489591e+00
21		-258.633931	-258.633931	1.000000	2.756966e-08	1.507909e+00
21		-258.633931	-261.444173	0.060190	2.725794e-08	1.518085e+00
21		-258.633931	-265.816574	0.000760	2.763682e-08	1.552748e+00
21		-258.633931	-269.706800	0.000016	2.785218e-08	1.552504e+00
22		-256.840396	-256.840396	1.000000	2.741207e-08	1.530171e+00
22		-256.840396	-258.387055	0.212958	2.709386e-08	1.528526e+00
22		-256.840396	-260.515481	0.025347	2.761899e-08	1.501455e+00
22		-256.840396	-259.649930	0.060233	2.762472e-08	1.494389e+00
22		-256.840396	-257.136329	0.743837	2.727723e-08	1.521477e+00
22		-256.840396	-260.001187	0.042392	2.738171e-08	1.514588e+00
23		-251.101640	-251.101640	1.000000	2.689882e-08	1.489946e+00
24		-249.599965	-249.599965	1.000000	2.692273e-08	1.541207e+00
25		-247.870333	-247.870333	1.000000	2.682456e-08	1.553635e+00
26		-244.689750	-244.689750	1.000000	2.672121e-08	1.521255e+00
27		-238.524045	-238.524045	1.000000	2.639679e-08	1.494800e+00
28		-238.271457	-238.271457	1.000000	2.639004e-08	1.551959e+00
29		-230.885446	-230.885446	1.000000	2.638795e-08	1.489535e+00
29		-230.885446	-233.190405	0.099763	2.693114e-08	1.537731e+00
29		-230.885446	-232.984406	0.122584	2.632522e-08	1.497110e+00
29		-230.885446	-233.599342	0.066278	2.674875e-08	1.541425e+00
29		-230.885446	-238.539681	0.000474	2.673291e-08	1.494616e+00
29		-230.885446	-238.369289	0.000562	2.633177e-08	1.489776e+00
29		-230.885446	-237.322380	0.001601	2.593676e-08	1.490817e+00
29		-230.885446	-236.843094	0.002586	2.616711e-08	1.536626e+00
30		-231.309940	-231.309940	0.654101	2.651277e-08	1.498462e+00
31		-228.829493	-228.829493	1.000000	2.662734e-08	1.541608e+00
31		-228.829493	-230.761155	0.144907	2.671425e-08	1.520628e+00
32		-223.335165	-223.335165	1.000000	2.676707e-08	1.509841e+00
33		-220.234757	-220.234757	1.000000	2.687920e-08	1.493522e+00
34		-220.968636	-220.968636	0.480044	2.700245e-08	1.519797e+00
35		-217.609555	-217.609555	1.000000	2.706832e-08	1.516231e+00
36		-214.547360	-214.547360	1.000000	2.660792e-08	1.541386e+00
37		-212.435368	-212.435368	1.000000	2.655998e-08	1.493380e+00
38		-209.616227	-209.616227	1.000000	2.613885e-08	1.528983e+00
38		-209.616227	-212.956404	0.035431	2.592867e-08	1.549330e+00
38		-209.616227	-211.257860	0.193663	2.594436e-08	1.510904e+00
39		-208.089870	-208.089870	1.000000	2.595618e-08	1.476824e+00
39		-208.089870	-209.879404	0.167038	2.609620e-08	1.488712e+00
39		-208.089870	-216.656158	0.000190	2.631008e-08	1.496462e+00
39		-208.089870	-209.090784	0.367543	2.603619e-08	1.500173e+00
40		-207.599682	-207.599682	1.000000	2.623248e-08	1.494824e+00
41		-206.821796	-206.821796	1.000000	2.595421e-08	1.488428e+00
41		-206.821796	-211.498503	0.009310	2.624100e-08	1.513695e+00
41		-206.821796	-208.215497	0.248155	2.602259e-08	1.603713e+00
42		-207.373784	-207.373784	0.575804	2.574849e-08	1.520956e+00
43		-201.250349	-201.250349	1.000000	2.538584e-08	1.540676e+00
44		-201.664979	-201.664979	0.660584	2.481083e-08	1.519318e+00
45		-199.564889	-199.564889	1.000000	2.493138e-08	1.514083e+00
45		-199.564889	-203.851582	0.013750	2.522653e-08	1.556796e+00
46		-197.507484	-197.507484	1.000000	2.496883e-08	1.549408e+00
47		-195.446739	-195.446739	1.000000	2.538172e-08	1.517132e+00
47		-195.446739	-199.015209	0.028199	2.549305e-08	1.513029e+00
47		-195.446739	-200.410959	0.006983	2.547182e-08	1.525645e+00
47		-195.446739	-200.077481	0.009748	2.530706e-08	1.540857e+00
47		-195.446739	-197.420677	0.138909	2.573613e-08	1.521465e+00
47		-195.446739	-197.769176	0.098034	2.550732e-08	1.523343e+00
47		-195.446739	-200.522704	0.006245	2.575532e-08	1.540594e+00
48		-192.959120	-192.959120	1.000000	2.512875e-08	1.494232e+00
49		-192.759306	-192.759306	1.000000	2.500180e-08	1.529364e+00
49		-192.759306	-195.037139	0.102506	2.509268e-08	1.550176e+00
49		-192.759306	-198.769247	0.002454	2.548923e-08	1.491815e+00
49		-192.759306	-198.693525	0.002647	2.537591e-08	1.500810e+00
49		-192.759306	-195.548087	0.061496	2.523103e-08	1.589408e+00
50		-194.088942	-194.088942	0.264574	2.496490e-08	1.496365e+00
51		-192.836653	-192.836653	1.000000	2.511499e-08	1.542139e+00
52		-191.551997	-191.551997	1.000000	2.526065e-08	1.489392e+00
53		-190.465955	-190.465955	1.000000	2.499702e-08	1.510745e+00
53		-190.465955	-193.992426	0.029409	2.544561e-08	1.523226e+00
53		-190.465955	-190.975124	0.600995	2.515592e-08	1.498045e+00
54		-191.043441	-191.043441	0.561308	2.481826e-08	1.543193e+00
55		-188.793093	-188.793093	1.000000	2.480662e-08	1.556942e+00
56		-188.271415	-188.271415	1.000000	2.463309e-08	1.525335e+00
57		-188.091177	-188.091177	1.000000	2.448844e-08	1.529186e+00
58		-189.017183	-189.017183	0.396133	2.466985e-08	1.532067e+00
58		-189.017183	-193.841166	0.008035	2.455966e-08	1.552893e+00
58		-189.017183	-192.986378	0.018889	2.505647e-08	1.505220e+00
58		-189.017183	-194.375946	0.004707	2.445555e-08	1.542018e+00
59		-187.835370	-187.835370	1.000000	2.518412e-08	1.589183e+00
59		-187.835370	-191.226785	0.033661	2.531970e-08	1.557036e+00
59		-187.835370	-189.348515	0.220216	2.501959e-08	1.522238e+00
59		-187.835370	-191.026328	0.041132	2.547453e-08	1.496954e+00
60		-186.939471	-186.939471	1.000000	2.523476e-08	1.524235e+00
61		-183.366160	-183.366160	1.000000	2.515176e-08	1.557290e+00
62		-182.804854	-182.804854	1.000000	2.485842e-08	1.537418e+00
62		-182.804854	-183.791501	0.372825	2.449758e-08	1.545461e+00
62		-182.804854	-186.010510	0.040532	2.533538e-08	1.489880e+00
62		-182.804854	-184.131636	0.265330	2.459785e-08	1.537517e+00
62		-182.804854	-186.226528	0.032658	2.472925e-08	1.497416e+00
62		-182.804854	-183.998114	0.303231	2.475087e-08	1.493544e+00
62		-182.804854	-187.704446	0.007450	2.512416e-08	1.493504e+00
63		-182.390324	-182.390324	1.000000	2.474566e-08	1.529488e+00
64		-180.650152	-180.650152	1.000000	2.486474e-08	1.549874e+00
65		-178.283820	-178.283820	1.000000	2.436869e-08	1.493417e+00
66		-175.693648	-175.693648	1.000000	2.402965e-08	1.540996e+00
66		-175.693648	-177.661583	0.139745	2.421496e-08	1.489428e+00
66		-175.693648	-178.657780	0.051605	2.397075e-08	1.493724e+00
66		-175.693648	-180.758297	0.006316	2.432022e-08	1.541534e+00
66		-175.693648	-176.722398	0.357453	2.370345e-08	1.541961e+00
67		-175.157581	-175.157581	1.000000	2.394228e-08	1.521460e+00
67		-175.157581	-179.864385	0.009034	2.351963e-08	1.507432e+00
68		-171.101186	-171.101186	1.000000	2.408291e-08	1.503375e+00
69		-166.770381	-166.770381	1.000000	2.420634e-08	1.580835e+00
70		-172.064608	-172.064608	0.005020	2.396976e-08	1.497584e+00
70		-172.064608	-176.819102	0.008613	2.409471e-08	1.496534e+00
71		-174.473896	-174.473896	0.089879	2.410313e-08	1.494130e+00
72		-169.798592	-169.798592	1.000000	2.415992e-08	1.520328e+00
73		-169.304779	-169.304779	1.000000	2.431787e-08	1.502407e+00
73		-169.304779	-173.212583	0.020085	2.433643e-08	1.538706e+00
73		-169.304779	-171.740256	0.087556	2.430382e-08	1.495879e+00
73		-169.304779	-170.750727	0.235523	2.447218e-08	1.511725e+00
74		-166.784174	-166.784174	1.000000	2.436767e-08	1.525219e+00
75		-166.560544	-166.560544	1.000000	2.439631e-08	1.529474e+00
75		-166.560544	-167.943968	0.250718	2.416212e-08	1.501219e+00
76		-165.878398	-165.878398	1.000000	2.434783e-08	1.508636e+00
76		-165.878398	-166.296024	0.658609	2.407567e-08	1.525038e+00
76		-165.878398	-168.654230	0.062298	2.431258e-08	1.490926e+00
76		-165.878398	-168.670747	0.061277	2.420485e-08	1.537500e+00
77		-169.706431	-169.706431	0.021752	2.441159e-08	1.497522e+00
78		-169.692128	-169.692128	1.000000	2.403657e-08	1.541227e+00
78		-169.692128	-172.838335	0.043015	2.403089e-08	1.541815e+00
78		-169.692128	-173.364221	0.025423	2.412729e-08	1.491400e+00
79		-167.952550	-167.952550	1.000000	2.428099e-08	1.533471e+00
80		-165.761666	-165.761666	1.000000	2.451328e-08	1.497201e+00
80		-165.761666	-170.632906	0.007664	2.448109e-08	1.541362e+00
81		-166.914061	-166.914061	0.315879	2.473413e-08	1.541650e+00
82		-165.100414	-165.100414	1.000000	2.464463e-08	1.525057e+00
83		-163.954114	-163.954114	1.000000	2.460810e-08	1.508769e+00
84		-164.155740	-164.155740	0.817401	2.503341e-08	1.497798e+00
85		-164.382202	-164.382202	0.797349	2.509490e-08	1.488213e+00
85		-164.382202	-167.979582	0.027395	2.501687e-08	1.584963e+00
86		-165.235541	-165.235541	0.425990	2.516509e-08	1.504813e+00
86		-165.235541	-167.556146	0.098214	2.514190e-08	1.492021e+00
86		-165.235541	-165.894647	0.517313	2.480105e-08	1.543545e+00
86		-165.235541	-166.126819	0.410131	2.502640e-08	1.540598e+00
86		-165.235541	-167.396793	0.115181	2.504907e-08	1.485578e+00
87		-164.649868	-164.649868	1.000000	2.491681e-08	1.543255e+00
88		-159.062107	-159.062107	1.000000	2.489493e-08	1.498635e+00
89		-159.382955	-159.382955	0.725534	2.454062e-08	1.477233e+00
89		-159.382955	-163.452600	0.017083	2.449586e-08	1.549243e+00
89		-159.382955	-161.981538	0.074379	2.439060e-08	1.581363e+00
90		-158.340972	-158.340972	1.000000	2.421535e-08	1.568526e+00
90		-158.340972	-160.126441	0.167718	2.442857e-08	1.573885e+00
90		-158.340972	-160.563269	0.108360	2.448528e-08	1.489214e+00
91		-159.238840	-159.238840	0.407437	2.391298e-08	1.490107e+00
92		-158.680990	-158.680990	1.000000	2.431574e-08	1.528662e+00
93		-158.139644	-158.139644	1.000000	2.419396e-08	1.516740e+00
93		-158.139644	-161.355009	0.040141	2.445004e-08	1.535685e+00
94		-157.906722	-157.906722	1.000000	2.402879e-08	1.488888e+00
95		-152.911783	-152.911783	1.000000	2.395952e-08	1.499734e+00
96		-153.539422	-153.539422	0.533851	2.413546e-08	1.483819e+00
97		-154.012363	-154.012363	0.623166	2.395227e-08	1.540460e+00
97		-154.012363	-156.878430	0.056922	2.384700e-08	1.498930e+00
97		-154.012363	-155.755789	0.174920	2.433782e-08	1.481561e+00
97		-154.012363	-156.209966	0.111069	2.375815e-08	1.501706e+00
97		-154.012363	-156.670346	0.070089	2.390111e-08	1.490134e+00
97		-154.012363	-158.691692	0.009285	2.443550e-08	1.496865e+00
98		-153.892049	-153.892049	1.000000	2.406758e-08	1.560838e+00
99		-152.633580	-152.633580	1.000000	2.402376e-08	1.531311e+00
100		-151.741603	-151.741603	1.000000	2.387954e-08	1.492380e+00
101		-149.466121	-149.466121	1.000000	2.387843e-08	1.541818e+00
101		-149.466121	-151.413892	0.142592	2.374138e-08	1.668366e+00
102		-147.241936	-147.241936	1.000000	2.349963e-08	1.514204e+00
102		-147.241936	-150.178178	0.053065	2.347320e-08	1.517533e+00
103		-145.853380	-145.853380	1.000000	2.376657e-08	1.562637e+00
104		-144.014258	-144.014258	1.000000	2.377209e-08	1.529172e+00
105		-141.655937	-141.655937	1.000000	2.373805e-08	1.508643e+00
106		-141.134468	-141.134468	1.000000	2.414092e-08	1.495663e+00
107		-140.116834	-140.116834	1.000000	2.403615e-08	1.528560e+00
108		-138.303467	-138.303467	1.000000	2.392720e-08	1.497639e+00
109		-139.448185	-139.448185	0.318313	2.372812e-08	1.489298e+00
110		-137.652697	-137.652697	1.000000	2.374246e-08	1.494130e+00
111		-135.420150	-135.420150	1.000000	2.320013e-08	1.490095e+00
112		-136.557426	-136.557426	0.320691	2.347541e-08	1.536395e+00
112		-136.557426	-138.240870	0.185733	2.354952e-08	1.492416e+00
112		-136.557426	-139.401213	0.058205	2.397555e-08	1.493246e+00
112		-136.557426	-138.687231	0.118860	2.350303e-08	1.497741e+00
112		-136.557426	-138.720930	0.114922	2.337747e-08	1.541579e+00
113		-137.420675	-137.420675	0.421790	2.326086e-08	1.541543e+00
114		-137.593806	-137.593806	0.841027	2.334021e-08	1.493012e+00
114		-137.593806	-139.987566	0.091286	2.359325e-08	1.541757e+00
115		-139.240939	-139.240939	0.192601	2.308534e-08	1.589819e+00
116		-140.659478	-140.659478	0.242067	2.277325e-08	1.519758e+00
117		-140.852586	-140.852586	0.824393	2.302134e-08	1.510793e+00
117		-140.852586	-143.382537	0.079663	2.342751e-08	1.521055e+00
117		-140.852586	-143.362058	0.081311	2.313755e-08	1.501498e+00
117		-140.852586	-143.251980	0.090773	2.296420e-08	1.540861e+00
118		-141.626232	-141.626232	0.461328	2.296629e-08	1.496064e+00
119		-140.539053	-140.539053	1.000000	2.348139e-08	1.524221e+00
120		-141.176977	-141.176977	0.528388	2.376840e-08	1.551904e+00
121		-142.417680	-142.417680	0.289181	2.356213e-08	1.541552e+00
121		-142.417680	-144.361297	0.143185	2.344005e-08	1.540085e+00
121		-142.417680	-145.412141	0.050064	2.375701e-08	1.521302e+00
121		-142.417680	-143.741659	0.266074	2.349301e-08	1.513737e+00
121		-142.417680	-143.679240	0.283212	2.383941e-08	1.577085e+00
122		-141.441075	-141.441075	1.000000	2.358397e-08	1.519055e+00
123		-140.745355	-140.745355	1.000000	2.367030e-08	1.517376e+00
124		-140.951413	-140.951413	0.813786	2.336057e-08	1.495947e+00
125		-138.937226	-138.937226	1.000000	2.321583e-08	1.549095e+00
126		-137.298146	-137.298146	1.000000	2.291383e-08	1.554365e+00
126		-137.298146	-137.528249	0.794452	2.312188e-08	1.520702e+00
126		-137.298146	-138.521686	0.294187	2.320281e-08	1.593475e+00
126		-137.298146	-139.534921	0.106802	2.279523e-08	1.481038e+00
127		-138.703646	-138.703646	0.245245	2.287709e-08	1.499379e+00
128		-137.029370	-137.029370	1.000000	2.278071e-08	1.537306e+00
129		-134.373144	-134.373144	1.000000	2.248046e-08	1.496259e+00
129		-134.373144	-136.376366	0.134900	2.273438e-08	1.528756e+00
129		-134.373144	-136.173019	0.165320	2.294196e-08	1.517641e+00
129		-134.373144	-135.901327	0.216929	2.256299e-08	1.549394e+00
129		-134.373144	-137.474010	0.045010	2.269063e-08	1.502787e+00
129		-134.373144	-135.861179	0.225816	2.228119e-08	1.529752e+00
129		-134.373144	-136.820593	0.086514	2.277903e-08	1.497335e+00
129		-134.373144	-136.335159	0.140575	2.244917e-08	1.524378e+00
129		-134.373144	-136.830219	0.085685	2.270377e-08	1.531049e+00
130		-135.221564	-135.221564	0.428091	2.252978e-08	1.489705e+00
131		-134.711340	-134.711340	1.000000	2.267448e-08	1.488700e+00
131		-134.711340	-135.565568	0.425612	2.277685e-08	1.521410e+00
131		-134.711340	-137.389761	0.068672	2.255231e-08	1.512735e+00
132		-135.298215	-135.298215	0.556062	2.263586e-08	1.493414e+00
133		-133.781943	-133.781943	1.000000	2.266954e-08	1.508730e+00
