accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -2.527218e-04 -2.527218 -2.527218 0.000000 6.927945e-310
0 1.000000e-01 1.000000e+04 -5.093669e-04 -2.527218 -5.093669 0.076808 1.277717e+01
0 9.523810e-02 1.000000e+04 -5.716789e-04 -2.527218 -5.716789 0.041190 1.277067e+01
0 9.090909e-02 1.000000e+04 -4.353829e-04 -2.527218 -4.353829 0.160958 1.277639e+01
1 8.695652e-02 1.000000e+04 -2.169293e-04 -2.169293 -2.169293 1.000000 1.277082e+01
1 8.333333e-02 1.000000e+04 -3.118364e-04 -2.169293 -3.118364 0.387100 1.277150e+01
2 8.000000e-02 1.000000e+04 -2.370447e-04 -2.370447 -2.370447 0.817786 1.278021e+01
2 7.692308e-02 1.000000e+04 -5.229623e-04 -2.370447 -5.229623 0.057316 1.278043e+01
3 7.407407e-02 1.000000e+04 -2.402565e-04 -2.402565 -2.402565 0.968392 1.277209e+01
4 7.142857e-02 1.000000e+04 -3.320694e-04 -3.320694 -3.320694 0.399266 1.277116e+01
5 6.896552e-02 1.000000e+04 -3.150434e-04 -3.150434 -3.150434 1.000000 1.277327e+01
6 6.666667e-02 1.000000e+04 -4.357224e-04 -4.357224 -4.357224 0.299156 1.277091e+01
7 6.451613e-02 1.000000e+04 -3.086495e-04 -3.086495 -3.086495 1.000000 1.277108e+01
8 6.250000e-02 1.000000e+04 -2.723329e-04 -2.723329 -2.723329 1.000000 1.277152e+01
8 6.060606e-02 1.000000e+04 -3.314171e-04 -2.723329 -3.314171 0.553861 1.277022e+01
8 5.882353e-02 1.000000e+04 -3.860228e-04 -2.723329 -3.860228 0.320812 1.277580e+01
8 5.714286e-02 1.000000e+04 -4.466236e-04 -2.723329 -4.466236 0.175011 1.277141e+01
9 5.555556e-02 1.000000e+04 -2.644698e-04 -2.644698 -2.644698 1.000000 1.278007e+01
9 5.405405e-02 1.000000e+04 -4.880981e-04 -2.644698 -4.880981 0.106855 1.278050e+01
9 5.263158e-02 1.000000e+04 -3.479748e-04 -2.644698 -3.479748 0.433853 1.277047e+01
10 5.128205e-02 1.000000e+04 -2.820407e-04 -2.820407 -2.820407 0.838862 1.277868e+01
10 5.000000e-02 1.000000e+04 -3.379120e-04 -2.820407 -3.379120 0.571945 1.277979e+01
11 4.878049e-02 1.000000e+04 -4.459192e-04 -4.459192 -4.459192 0.194216 1.277230e+01
12 4.761905e-02 1.000000e+04 -3.469981e-04 -3.469981 -3.469981 1.000000 1.277194e+01
13 4.651163e-02 1.000000e+04 -2.315050e-04 -2.315050 -2.315050 1.000000 1.277251e+01
13 4.545455e-02 1.000000e+04 -2.790961e-04 -2.315050 -2.790961 0.621319 1.277250e+01
14 4.444444e-02 1.000000e+04 -2.808224e-04 -2.808224 -2.808224 0.610685 1.277984e+01
14 4.347826e-02 1.000000e+04 -7.227407e-04 -2.808224 -7.227407 0.012044 1.278247e+01
15 4.255319e-02 1.000000e+04 -2.919438e-04 -2.919438 -2.919438 0.894747 1.277100e+01
16 4.166667e-02 1.000000e+04 -3.227998e-04 -3.227998 -3.227998 0.734504 1.277273e+01
17 4.081633e-02 1.000000e+04 -3.127650e-04 -3.127650 -3.127650 1.000000 1.277140e+01
17 4.000000e-02 1.000000e+04 -3.958242e-04 -3.127650 -3.958242 0.435791 1.277263e+01
18 3.921569e-02 1.000000e+04 -3.754529e-04 -3.754529 -3.754529 0.534256 1.278429e+01
