accepted delta gamma error Lprev Lstar alpha time
1 1.000000e-01 1.000000e+04 -3.975704e-04 -3.975704 -3.975704 0.516627 1.272341e+01
2 9.523810e-02 1.000000e+04 -4.889639e-04 -4.889639 -4.889639 0.400944 1.272264e+01
3 9.090909e-02 1.000000e+04 -3.799286e-04 -3.799286 -3.799286 1.000000 1.271882e+01
3 8.695652e-02 1.000000e+04 -5.941359e-04 -3.799286 -5.941359 0.117411 1.271833e+01
4 8.333333e-02 1.000000e+04 -2.820841e-04 -2.820841 -2.820841 1.000000 1.271541e+01
4 8.000000e-02 1.000000e+04 -3.642351e-04 -2.820841 -3.642351 0.439767 1.271529e+01
5 7.692308e-02 1.000000e+04 -2.234894e-04 -2.234894 -2.234894 1.000000 1.271830e+01
6 7.407407e-02 1.000000e+04 -2.604682e-04 -2.604682 -2.604682 0.690880 1.272424e+01
7 7.142857e-02 1.000000e+04 -2.716352e-04 -2.716352 -2.716352 0.894339 1.272474e+01
7 6.896552e-02 1.000000e+04 -3.983856e-04 -2.716352 -3.983856 0.281534 1.272907e+01
7 6.666667e-02 1.000000e+04 -4.229577e-04 -2.716352 -4.229577 0.220199 1.272416e+01
8 6.451613e-02 1.000000e+04 -2.535981e-04 -2.535981 -2.535981 1.000000 1.273078e+01
9 6.250000e-02 1.000000e+04 -2.433826e-04 -2.433826 -2.433826 1.000000 1.272436e+01
10 6.060606e-02 1.000000e+04 -2.680783e-04 -2.680783 -2.680783 0.781174 1.272352e+01
10 5.882353e-02 1.000000e+04 -4.177194e-04 -2.680783 -4.177194 0.223932 1.272597e+01
11 5.714286e-02 1.000000e+04 -2.981872e-04 -2.981872 -2.981872 0.740012 1.272076e+01
11 5.555556e-02 1.000000e+04 -5.136914e-04 -2.981872 -5.136914 0.115898 1.272210e+01
12 5.405405e-02 1.000000e+04 -2.832857e-04 -2.832857 -2.832857 1.000000 1.273010e+01
13 5.263158e-02 1.000000e+04 -2.921022e-04 -2.921022 -2.921022 0.915610 1.272801e+01
14 5.128205e-02 1.000000e+04 -2.970629e-04 -2.970629 -2.970629 0.951603 1.273050e+01
14 5.000000e-02 1.000000e+04 -4.356286e-04 -2.970629 -4.356286 0.250159 1.272449e+01
14 4.878049e-02 1.000000e+04 -3.596865e-04 -2.970629 -3.596865 0.534600 1.271761e+01
15 4.761905e-02 1.000000e+04 -2.591082e-04 -2.591082 -2.591082 1.000000 1.271759e+01
16 4.651163e-02 1.000000e+04 -2.751877e-04 -2.751877 -2.751877 0.851467 1.271947e+01
16 4.545455e-02 1.000000e+04 -3.153828e-04 -2.751877 -3.153828 0.669013 1.272450e+01
16 4.444444e-02 1.000000e+04 -3.309427e-04 -2.751877 -3.309427 0.572610 1.272047e+01
