accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -4.175646e-04 -4.175646 -4.175646 0.000000 6.898091e-310
1 1.000000e-01 1.000000e+04 -2.988653e-04 -2.988653 -2.988653 1.000000 1.262129e+01
1 9.523810e-02 1.000000e+04 -7.950376e-04 -2.988653 -7.950376 0.007001 1.261962e+01
2 9.090909e-02 1.000000e+04 -3.446102e-04 -3.446102 -3.446102 0.632896 1.261563e+01
3 8.695652e-02 1.000000e+04 -3.647138e-04 -3.647138 -3.647138 0.817883 1.261507e+01
4 8.333333e-02 1.000000e+04 -4.148522e-04 -4.148522 -4.148522 0.605692 1.261650e+01
4 8.000000e-02 1.000000e+04 -4.312933e-04 -4.148522 -4.312933 0.848393 1.261569e+01
5 7.692308e-02 1.000000e+04 -3.210732e-04 -3.210732 -3.210732 1.000000 1.261772e+01
6 7.407407e-02 1.000000e+04 -3.081819e-04 -3.081819 -3.081819 1.000000 1.261735e+01
7 7.142857e-02 1.000000e+04 -3.129802e-04 -3.129802 -3.129802 0.953150 1.261759e+01
8 6.896552e-02 1.000000e+04 -3.730049e-04 -3.730049 -3.730049 0.548676 1.262007e+01
8 6.666667e-02 1.000000e+04 -5.962534e-04 -3.730049 -5.962534 0.107262 1.261933e+01
8 6.451613e-02 1.000000e+04 -4.380730e-04 -3.730049 -4.380730 0.521690 1.262124e+01
9 6.250000e-02 1.000000e+04 -4.643367e-04 -4.643367 -4.643367 0.401191 1.262059e+01
10 6.060606e-02 1.000000e+04 -6.600021e-04 -6.600021 -6.600021 0.141330 1.261938e+01
11 5.882353e-02 1.000000e+04 -7.774937e-04 -7.774937 -7.774937 0.308845 1.262618e+01
11 5.714286e-02 1.000000e+04 -8.891316e-04 -7.774937 -8.891316 0.327463 1.262448e+01
11 5.555556e-02 1.000000e+04 -9.081624e-04 -7.774937 -9.081624 0.270715 1.262223e+01
12 5.405405e-02 1.000000e+04 -7.104752e-04 -7.104752 -7.104752 1.000000 1.262407e+01
13 5.263158e-02 1.000000e+04 -5.953386e-04 -5.953386 -5.953386 1.000000 1.262345e+01
13 5.128205e-02 1.000000e+04 -8.922269e-04 -5.953386 -8.922269 0.051361 1.262776e+01
14 5.000000e-02 1.000000e+04 -3.941766e-04 -3.941766 -3.941766 1.000000 1.262420e+01
14 4.878049e-02 1.000000e+04 -5.334537e-04 -3.941766 -5.334537 0.248386 1.262293e+01
14 4.761905e-02 1.000000e+04 -5.008840e-04 -3.941766 -5.008840 0.344014 1.262523e+01
15 4.651163e-02 1.000000e+04 -3.281609e-04 -3.281609 -3.281609 1.000000 1.261979e+01
16 4.545455e-02 1.000000e+04 -3.247478e-04 -3.247478 -3.247478 1.000000 1.262026e+01
16 4.444444e-02 1.000000e+04 -4.086836e-04 -3.247478 -4.086836 0.431988 1.261847e+01
17 4.347826e-02 1.000000e+04 -3.452477e-04 -3.452477 -3.452477 0.814648 1.262237e+01
17 4.255319e-02 1.000000e+04 -4.131007e-04 -3.452477 -4.131007 0.507362 1.262241e+01
18 4.166667e-02 1.000000e+04 -4.057828e-04 -4.057828 -4.057828 0.545883 1.261995e+01
19 4.081633e-02 1.000000e+04 -3.967412e-04 -3.967412 -3.967412 1.000000 1.262030e+01
20 4.000000e-02 1.000000e+04 -4.092333e-04 -4.092333 -4.092333 0.882567 1.262172e+01
21 3.921569e-02 1.100000e+04 -3.684715e-04 -4.053186 -4.053186 1.000000 1.262036e+01
22 3.846154e-02 1.100000e+04 -3.952696e-04 -4.347966 -4.347966 0.744696 1.262300e+01
23 3.773585e-02 1.100000e+04 -4.178290e-04 -4.596119 -4.596119 0.780241 1.262189e+01
24 3.703704e-02 1.100000e+04 -3.777342e-04 -4.155076 -4.155076 1.000000 1.261962e+01
25 3.636364e-02 1.100000e+04 -3.156926e-04 -3.472618 -3.472618 1.000000 1.261935e+01
26 3.571429e-02 1.100000e+04 -3.314587e-04 -3.646046 -3.646046 0.840778 1.261983e+01
26 3.508772e-02 1.100000e+04 -3.476173e-04 -3.646046 -3.823791 0.837156 1.261883e+01
27 3.448276e-02 1.100000e+04 -2.977255e-04 -3.274980 -3.274980 1.000000 1.262086e+01
28 3.389831e-02 1.100000e+04 -2.594517e-04 -2.853968 -2.853968 1.000000 1.262335e+01
29 3.333333e-02 1.100000e+04 -2.752237e-04 -3.027460 -3.027460 0.840724 1.262282e+01
30 3.278689e-02 1.100000e+04 -2.874481e-04 -3.161929 -3.161929 0.874180 1.262051e+01
31 3.225806e-02 1.100000e+04 -2.728705e-04 -3.001575 -3.001575 1.000000 1.262224e+01
32 3.174603e-02 1.100000e+04 -2.777588e-04 -3.055347 -3.055347 0.947649 1.262349e+01
32 3.125000e-02 1.100000e+04 -4.363880e-04 -3.055347 -4.800269 0.174659 1.262219e+01
33 3.076923e-02 1.100000e+04 -2.434291e-04 -2.677720 -2.677720 1.000000 1.262218e+01
34 3.030303e-02 1.100000e+04 -2.744612e-04 -3.019073 -3.019073 0.710808 1.262362e+01
35 2.985075e-02 1.100000e+04 -2.245876e-04 -2.470464 -2.470464 1.000000 1.262019e+01
36 2.941176e-02 1.100000e+04 -2.088580e-04 -2.297437 -2.297437 1.000000 1.262154e+01
37 2.898551e-02 1.100000e+04 -2.311451e-04 -2.542596 -2.542596 0.782581 1.262361e+01
38 2.857143e-02 1.100000e+04 -2.189864e-04 -2.408850 -2.408850 1.000000 1.261988e+01
39 2.816901e-02 1.100000e+04 -2.938308e-04 -3.232139 -3.232139 0.438986 1.261812e+01
40 2.777778e-02 1.100000e+04 -3.265537e-04 -3.592091 -3.592091 0.697709 1.262123e+01
41 2.739726e-02 1.210000e+04 -3.881734e-04 -4.696898 -4.696898 0.474450 1.261850e+01
