accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -5.682565e-04 -5.682565 -5.682565 0.000000 6.908605e-310
1 1.000000e-01 1.000000e+04 -5.311950e-04 -5.311950 -5.311950 1.000000 1.273593e+01
2 9.523810e-02 1.000000e+04 -4.495470e-04 -4.495470 -4.495470 1.000000 1.273932e+01
3 9.090909e-02 1.000000e+04 -4.978449e-04 -4.978449 -4.978449 0.616943 1.274171e+01
4 8.695652e-02 1.000000e+04 -3.881989e-04 -3.881989 -3.881989 1.000000 1.274399e+01
5 8.333333e-02 1.000000e+04 -3.995261e-04 -3.995261 -3.995261 0.892908 1.274705e+01
6 8.000000e-02 1.000000e+04 -4.885607e-04 -4.885607 -4.885607 0.410513 1.274585e+01
7 7.692308e-02 1.000000e+04 -4.960365e-04 -4.960365 -4.960365 0.927968 1.274364e+01
8 7.407407e-02 1.000000e+04 -4.560500e-04 -4.560500 -4.560500 1.000000 1.274332e+01
9 7.142857e-02 1.000000e+04 -4.312260e-04 -4.312260 -4.312260 1.000000 1.274541e+01
10 6.896552e-02 1.000000e+04 -4.886811e-04 -4.886811 -4.886811 0.562958 1.274587e+01
11 6.666667e-02 1.000000e+04 -3.954242e-04 -3.954242 -3.954242 1.000000 1.274276e+01
12 6.451613e-02 1.000000e+04 -3.233948e-04 -3.233948 -3.233948 1.000000 1.274525e+01
13 6.250000e-02 1.000000e+04 -3.103575e-04 -3.103575 -3.103575 1.000000 1.274625e+01
14 6.060606e-02 1.000000e+04 -3.488842e-04 -3.488842 -3.488842 0.680269 1.274640e+01
14 5.882353e-02 1.000000e+04 -4.631084e-04 -3.488842 -4.631084 0.319103 1.274348e+01
14 5.714286e-02 1.000000e+04 -6.068245e-04 -3.488842 -6.068245 0.075819 1.274084e+01
15 5.555556e-02 1.000000e+04 -3.273558e-04 -3.273558 -3.273558 1.000000 1.274430e+01
15 5.405405e-02 1.000000e+04 -3.588126e-04 -3.273558 -3.588126 0.730105 1.274651e+01
16 5.263158e-02 1.000000e+04 -3.516342e-04 -3.516342 -3.516342 0.784441 1.274331e+01
17 5.128205e-02 1.000000e+04 -3.739260e-04 -3.739260 -3.739260 0.800181 1.274359e+01
18 5.000000e-02 1.000000e+04 -3.865191e-04 -3.865191 -3.865191 0.881676 1.274023e+01
19 4.878049e-02 1.000000e+04 -3.378939e-04 -3.378939 -3.378939 1.000000 1.274233e+01
20 4.761905e-02 1.000000e+04 -2.958135e-04 -2.958135 -2.958135 1.000000 1.274410e+01
21 4.651163e-02 1.100000e+04 -2.773871e-04 -3.051258 -3.051258 1.000000 1.274418e+01
22 4.545455e-02 1.100000e+04 -2.812376e-04 -3.093614 -3.093614 0.958529 1.274514e+01
23 4.444444e-02 1.100000e+04 -2.893197e-04 -3.182517 -3.182517 0.914934 1.274280e+01
23 4.347826e-02 1.100000e+04 -3.809363e-04 -3.182517 -4.190299 0.365028 1.274174e+01
23 4.255319e-02 1.100000e+04 -4.527912e-04 -3.182517 -4.980703 0.165599 1.274658e+01
24 4.166667e-02 1.100000e+04 -3.964272e-04 -4.360699 -4.360699 0.307838 1.274305e+01
24 4.081633e-02 1.100000e+04 -4.448930e-04 -4.360699 -4.893823 0.586769 1.274166e+01
25 4.000000e-02 1.100000e+04 -3.600286e-04 -3.960315 -3.960315 1.000000 1.274187e+01
25 3.921569e-02 1.100000e+04 -4.796524e-04 -3.960315 -5.276177 0.268243 1.274321e+01
26 3.846154e-02 1.100000e+04 -3.467398e-04 -3.814138 -3.814138 1.000000 1.274551e+01
26 3.773585e-02 1.100000e+04 -4.609250e-04 -3.814138 -5.070175 0.284780 1.274238e+01
26 3.703704e-02 1.100000e+04 -3.723088e-04 -3.814138 -4.095397 0.754833 1.274520e+01
27 3.636364e-02 1.100000e+04 -3.192617e-04 -3.511879 -3.511879 1.000000 1.274421e+01
27 3.571429e-02 1.100000e+04 -3.457538e-04 -3.511879 -3.803292 0.747207 1.274327e+01
27 3.508772e-02 1.100000e+04 -4.402494e-04 -3.511879 -4.842743 0.264249 1.274479e+01
28 3.448276e-02 1.100000e+04 -2.879287e-04 -3.167216 -3.167216 1.000000 1.274265e+01
28 3.389831e-02 1.100000e+04 -3.302368e-04 -3.167216 -3.632605 0.627890 1.274380e+01
