accepted delta gamma Lprev Lstar alpha time
0 5.000000e-03 1.000000e+05 -44.307082 -45.679293 0.253546 1.022352e+01
1 5.000000e-03 1.000000e+05 -40.292360 -40.292360 1.000000 1.032445e+01
2 5.000000e-03 1.000000e+05 -39.245002 -39.245002 1.000000 1.045069e+01
3 5.000000e-03 1.000000e+05 -39.839368 -39.839368 0.551913 1.025246e+01
4 5.000000e-03 1.000000e+05 -39.002239 -39.002239 1.000000 1.029740e+01
4 5.000000e-03 1.000000e+05 -39.002239 -42.726124 0.024140 1.030154e+01
5 5.000000e-03 1.000000e+05 -37.054602 -37.054602 1.000000 1.025038e+01
5 5.000000e-03 1.000000e+05 -37.054602 -42.173337 0.005984 1.025014e+01
6 5.000000e-03 1.000000e+05 -37.455387 -37.455387 0.669795 1.039993e+01
6 5.000000e-03 1.000000e+05 -37.455387 -41.608848 0.015710 1.038601e+01
7 5.000000e-03 1.000000e+05 -39.616457 -39.616457 0.115202 1.037587e+01
8 5.000000e-03 1.000000e+05 -40.187534 -40.187534 0.564917 1.028766e+01
8 5.000000e-03 1.000000e+05 -40.187534 -42.687950 0.082051 1.032639e+01
9 5.000000e-03 1.000000e+05 -38.385979 -38.385979 1.000000 1.030040e+01
9 5.000000e-03 1.000000e+05 -38.385979 -39.614958 0.292591 1.032125e+01
9 5.000000e-03 1.000000e+05 -38.385979 -39.457097 0.342625 1.027664e+01
9 5.000000e-03 1.000000e+05 -38.385979 -39.357562 0.378484 1.031151e+01
9 5.000000e-03 1.000000e+05 -38.385979 -42.556276 0.015448 1.028835e+01
9 5.000000e-03 1.000000e+05 -38.385979 -44.680412 0.001847 1.030116e+01
9 5.000000e-03 1.000000e+05 -38.385979 -41.961751 0.027994 1.032388e+01
10 5.000000e-03 1.000000e+05 -37.370122 -37.370122 1.000000 1.029899e+01
10 5.000000e-03 1.000000e+05 -37.370122 -40.703457 0.035674 1.027623e+01
10 5.000000e-03 1.000000e+05 -37.370122 -40.153080 0.061855 1.030329e+01
11 5.000000e-03 1.000000e+05 -34.182429 -34.182429 1.000000 1.032079e+01
12 5.000000e-03 1.000000e+05 -33.174904 -33.174904 1.000000 1.031590e+01
12 5.000000e-03 1.000000e+05 -33.174904 -34.308115 0.321998 1.045904e+01
13 5.000000e-03 1.000000e+05 -33.657975 -33.657975 0.616886 1.032283e+01
14 5.000000e-03 1.000000e+05 -32.260259 -32.260259 1.000000 1.027811e+01
14 5.000000e-03 1.000000e+05 -32.260259 -32.843835 0.557900 1.027274e+01
15 5.000000e-03 1.000000e+05 -30.886771 -30.886771 1.000000 1.030128e+01
