accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-03 1.000000e+05 -1.671709e-04 -16.262355 -16.717092 0.634615 2.505871e+01
0 1.000000e-03 1.000000e+05 -1.827196e-04 -16.262355 -18.271964 0.134041 2.505819e+01
0 1.000000e-03 1.000000e+05 -1.734877e-04 -16.262355 -17.348768 0.337424 2.505558e+01
0 1.000000e-03 1.000000e+05 -1.670733e-04 -16.262355 -16.707325 0.640843 2.505869e+01
1 1.000000e-03 1.000000e+05 -1.627533e-04 -16.275333 -16.275333 0.987106 2.505496e+01
2 1.000000e-03 1.000000e+05 -1.624636e-04 -16.246362 -16.246362 1.000000 2.513684e+01
3 1.000000e-03 1.000000e+05 -1.639226e-04 -16.392261 -16.392261 0.864245 2.521671e+01
4 1.000000e-03 1.000000e+05 -1.667480e-04 -16.674798 -16.674798 0.753868 2.521449e+01
5 1.000000e-03 1.000000e+05 -1.680958e-04 -16.809583 -16.809583 0.873904 2.521662e+01
5 1.000000e-03 1.000000e+05 -1.763779e-04 -16.809583 -17.637789 0.436832 2.520870e+01
6 1.000000e-03 1.000000e+05 -1.626072e-04 -16.260719 -16.260719 1.000000 2.521195e+01
