accepted delta gamma Lprev Lstar alpha time
1 5.000000e-03 1.000000e+05 -484.512344 -484.512344 1.000000 3.183321e+00
2 5.000000e-03 1.000000e+05 -478.759524 -478.759524 1.000000 3.185967e+00
3 5.000000e-03 1.000000e+05 -468.980455 -468.980455 1.000000 3.189329e+00
4 5.000000e-03 1.000000e+05 -462.359837 -462.359837 1.000000 3.186013e+00
5 5.000000e-03 1.000000e+05 -460.408190 -460.408190 1.000000 3.183454e+00
6 5.000000e-03 1.000000e+05 -459.961047 -459.961047 1.000000 3.185835e+00
7 5.000000e-03 1.000000e+05 -459.027522 -459.027522 1.000000 3.184963e+00
8 5.000000e-03 1.000000e+05 -452.099642 -452.099642 1.000000 3.185439e+00
8 5.000000e-03 1.000000e+05 -452.099642 -453.401069 0.272143 3.182777e+00
8 5.000000e-03 1.000000e+05 -452.099642 -458.174964 0.002299 3.185552e+00
8 5.000000e-03 1.000000e+05 -452.099642 -456.832799 0.008799 3.186414e+00
8 5.000000e-03 1.000000e+05 -452.099642 -456.813234 0.008972 3.183601e+00
9 5.000000e-03 1.000000e+05 -452.873118 -452.873118 0.461407 3.183298e+00
10 5.000000e-03 1.000000e+05 -448.227331 -448.227331 1.000000 3.186398e+00
10 5.000000e-03 1.000000e+05 -448.227331 -454.267184 0.002382 3.186874e+00
10 5.000000e-03 1.000000e+05 -448.227331 -449.421867 0.302844 3.184442e+00
10 5.000000e-03 1.000000e+05 -448.227331 -452.243810 0.018016 3.183588e+00
10 5.000000e-03 1.000000e+05 -448.227331 -451.404431 0.041706 3.186206e+00
10 5.000000e-03 1.000000e+05 -448.227331 -448.704939 0.620266 3.186223e+00
11 5.000000e-03 1.000000e+05 -449.050802 -449.050802 0.438906 3.184647e+00
11 5.000000e-03 1.000000e+05 -449.050802 -454.065640 0.006639 3.182664e+00
11 5.000000e-03 1.000000e+05 -449.050802 -450.757833 0.181403 3.186693e+00
12 5.000000e-03 1.000000e+05 -448.456519 -448.456519 1.000000 3.187698e+00
13 5.000000e-03 1.000000e+05 -446.159355 -446.159355 1.000000 3.184205e+00
14 5.000000e-03 1.000000e+05 -440.046306 -440.046306 1.000000 3.183109e+00
15 5.000000e-03 1.000000e+05 -436.495031 -436.495031 1.000000 3.186143e+00
16 5.000000e-03 1.000000e+05 -429.468042 -429.468042 1.000000 3.187145e+00
17 5.000000e-03 1.000000e+05 -417.796744 -417.796744 1.000000 3.184103e+00
18 5.000000e-03 1.000000e+05 -416.326183 -416.326183 1.000000 3.182626e+00
19 5.000000e-03 1.000000e+05 -414.209194 -414.209194 1.000000 3.185506e+00
20 5.000000e-03 1.000000e+05 -412.596722 -412.596722 1.000000 3.186906e+00
21 5.000000e-03 1.000000e+05 -411.787718 -411.787718 1.000000 3.184427e+00
22 5.000000e-03 1.000000e+05 -411.897989 -411.897989 0.895591 3.183875e+00
23 5.000000e-03 1.000000e+05 -404.755409 -404.755409 1.000000 3.185819e+00
24 5.000000e-03 1.000000e+05 -401.221153 -401.221153 1.000000 3.186366e+00
24 5.000000e-03 1.000000e+05 -401.221153 -405.731446 0.010995 3.182867e+00
25 5.000000e-03 1.000000e+05 -396.043626 -396.043626 1.000000 3.182968e+00
26 5.000000e-03 1.000000e+05 -394.297427 -394.297427 1.000000 3.184736e+00
27 5.000000e-03 1.000000e+05 -386.823425 -386.823425 1.000000 3.185556e+00
27 5.000000e-03 1.000000e+05 -386.823425 -393.244797 0.001626 3.183965e+00
28 5.000000e-03 1.000000e+05 -384.989403 -384.989403 1.000000 3.182457e+00
28 5.000000e-03 1.000000e+05 -384.989403 -386.946405 0.141281 3.186234e+00
28 5.000000e-03 1.000000e+05 -384.989403 -387.785094 0.061073 3.186887e+00
28 5.000000e-03 1.000000e+05 -384.989403 -389.241333 0.014237 3.184467e+00
28 5.000000e-03 1.000000e+05 -384.989403 -387.708793 0.065915 3.181912e+00
29 5.000000e-03 1.000000e+05 -380.216568 -380.216568 1.000000 3.185553e+00
30 5.000000e-03 1.000000e+05 -376.712206 -376.712206 1.000000 3.186496e+00
30 5.000000e-03 1.000000e+05 -376.712206 -391.559937 0.000000 3.184347e+00
30 5.000000e-03 1.000000e+05 -376.712206 -380.166857 0.031598 3.183575e+00
31 5.000000e-03 1.000000e+05 -375.989048 -375.989048 1.000000 3.186418e+00
31 5.000000e-03 1.000000e+05 -375.989048 -382.651775 0.001278 3.186342e+00
31 5.000000e-03 1.000000e+05 -375.989048 -379.812538 0.021851 3.184781e+00
32 5.000000e-03 1.000000e+05 -370.568148 -370.568148 1.000000 3.183287e+00
32 5.000000e-03 1.000000e+05 -370.568148 -375.116136 0.010588 3.184963e+00
32 5.000000e-03 1.000000e+05 -370.568148 -375.085709 0.010916 3.185943e+00
33 5.000000e-03 1.000000e+05 -369.453866 -369.453866 1.000000 3.185469e+00
33 5.000000e-03 1.000000e+05 -369.453866 -370.608710 0.315107 3.182686e+00
34 5.000000e-03 1.000000e+05 -368.846013 -368.846013 1.000000 3.185412e+00
34 5.000000e-03 1.000000e+05 -368.846013 -372.235594 0.033723 3.186507e+00
34 5.000000e-03 1.000000e+05 -368.846013 -374.164151 0.004902 3.184949e+00
34 5.000000e-03 1.000000e+05 -368.846013 -371.461758 0.073113 3.184001e+00
35 5.000000e-03 1.000000e+05 -367.754755 -367.754755 1.000000 3.186819e+00
35 5.000000e-03 1.000000e+05 -367.754755 -371.335851 0.027845 3.187701e+00
36 5.000000e-03 1.000000e+05 -365.318780 -365.318780 1.000000 3.183858e+00
37 5.000000e-03 1.000000e+05 -362.832100 -362.832100 1.000000 3.182901e+00
38 5.000000e-03 1.000000e+05 -362.770043 -362.770043 1.000000 3.185014e+00
38 5.000000e-03 1.000000e+05 -362.770043 -364.081245 0.269496 3.186424e+00
38 5.000000e-03 1.000000e+05 -362.770043 -363.687395 0.399576 3.184684e+00
39 5.000000e-03 1.000000e+05 -353.602396 -353.602396 1.000000 3.183523e+00
39 5.000000e-03 1.000000e+05 -353.602396 -361.015188 0.000603 3.185937e+00
39 5.000000e-03 1.000000e+05 -353.602396 -354.890894 0.275685 3.187484e+00
39 5.000000e-03 1.000000e+05 -353.602396 -358.740120 0.005871 3.185276e+00
40 5.000000e-03 1.000000e+05 -355.424995 -355.424995 0.161605 3.183385e+00
40 5.000000e-03 1.000000e+05 -355.424995 -360.820716 0.004536 3.185789e+00
40 5.000000e-03 1.000000e+05 -355.424995 -362.197500 0.001145 3.185469e+00
40 5.000000e-03 1.000000e+05 -355.424995 -356.622900 0.301826 3.184078e+00
41 5.000000e-03 1.000000e+05 -348.916150 -348.916150 1.000000 3.182853e+00
42 5.000000e-03 1.000000e+05 -346.098116 -346.098116 1.000000 3.186468e+00
43 5.000000e-03 1.000000e+05 -345.166515 -345.166515 1.000000 3.186960e+00
43 5.000000e-03 1.000000e+05 -345.166515 -346.067298 0.406251 3.185257e+00
43 5.000000e-03 1.000000e+05 -345.166515 -347.832432 0.069536 3.183784e+00
44 5.000000e-03 1.000000e+05 -344.565724 -344.565724 1.000000 3.186573e+00
44 5.000000e-03 1.000000e+05 -344.565724 -347.629021 0.046733 3.187245e+00
45 5.000000e-03 1.000000e+05 -346.402214 -346.402214 0.159376 3.184183e+00
46 5.000000e-03 1.000000e+05 -343.024532 -343.024532 1.000000 3.183305e+00
46 5.000000e-03 1.000000e+05 -343.024532 -346.383590 0.034768 3.185698e+00
46 5.000000e-03 1.000000e+05 -343.024532 -344.982666 0.141121 3.186865e+00
47 5.000000e-03 1.000000e+05 -343.140199 -343.140199 0.890772 3.184962e+00
48 5.000000e-03 1.000000e+05 -342.534561 -342.534561 1.000000 3.183782e+00
48 5.000000e-03 1.000000e+05 -342.534561 -343.567261 0.356044 3.187001e+00
48 5.000000e-03 1.000000e+05 -342.534561 -343.841845 0.270554 3.188518e+00
48 5.000000e-03 1.000000e+05 -342.534561 -343.737289 0.300374 3.185327e+00
48 5.000000e-03 1.000000e+05 -342.534561 -347.015657 0.011321 3.184863e+00
48 5.000000e-03 1.000000e+05 -342.534561 -343.803556 0.281114 3.183229e+00
49 5.000000e-03 1.000000e+05 -342.297666 -342.297666 1.000000 3.184478e+00
49 5.000000e-03 1.000000e+05 -342.297666 -344.733985 0.087482 3.181778e+00
50 5.000000e-03 1.000000e+05 -342.127999 -342.127999 1.000000 3.180459e+00
51 5.000000e-03 1.000000e+05 -341.964607 -341.964607 1.000000 3.183626e+00
51 5.000000e-03 1.000000e+05 -341.964607 -346.629798 0.009417 3.184559e+00
52 5.000000e-03 1.000000e+05 -342.349338 -342.349338 0.680634 3.182503e+00
