accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-03 5.000000e+05 -2.066030e-04 -103.301502 -103.301502 0.000000 6.931065e-310
0 1.000000e-03 5.000000e+05 -2.182795e-04 -103.301502 -109.139765 0.002914 4.157251e+01
1 1.000000e-03 5.000000e+05 -2.061917e-04 -103.095835 -103.095835 1.000000 4.158041e+01
2 1.000000e-03 5.000000e+05 -2.115182e-04 -105.759100 -105.759100 0.069720 4.158453e+01
3 1.000000e-03 5.000000e+05 -2.085006e-04 -104.250313 -104.250313 1.000000 4.158718e+01
4 1.000000e-03 5.000000e+05 -2.006742e-04 -100.337086 -100.337086 1.000000 4.157834e+01
4 1.000000e-03 5.000000e+05 -2.138016e-04 -100.337086 -106.900778 0.001411 4.158209e+01
4 1.000000e-03 5.000000e+05 -2.064885e-04 -100.337086 -103.244269 0.054629 4.157333e+01
5 1.000000e-03 5.000000e+05 -1.983873e-04 -99.193660 -99.193660 1.000000 4.158542e+01
5 1.000000e-03 5.000000e+05 -2.136867e-04 -99.193660 -106.843328 0.000476 4.158009e+01
5 1.000000e-03 5.000000e+05 -2.433757e-04 -99.193660 -121.687827 0.000000 4.156597e+01
5 1.000000e-03 5.000000e+05 -2.206906e-04 -99.193660 -110.345295 0.000014 4.157360e+01
5 1.000000e-03 5.000000e+05 -2.027895e-04 -99.193660 -101.394737 0.110684 4.156790e+01
5 1.000000e-03 5.000000e+05 -1.990983e-04 -99.193660 -99.549166 0.700818 4.157546e+01
5 1.000000e-03 5.000000e+05 -2.038282e-04 -99.193660 -101.914120 0.065844 4.156569e+01
5 1.000000e-03 5.000000e+05 -2.101799e-04 -99.193660 -105.089966 0.002750 4.158125e+01
5 1.000000e-03 5.000000e+05 -2.215874e-04 -99.193660 -110.793687 0.000009 4.156697e+01
5 1.000000e-03 5.000000e+05 -2.265367e-04 -99.193660 -113.268373 0.000001 4.157935e+01
6 1.000000e-03 5.000000e+05 -1.994474e-04 -99.723680 -99.723680 0.588593 4.156620e+01
6 1.000000e-03 5.000000e+05 -2.172039e-04 -99.723680 -108.601925 0.000139 4.156034e+01
6 1.000000e-03 5.000000e+05 -2.139013e-04 -99.723680 -106.950631 0.000727 4.157601e+01
7 1.000000e-03 5.000000e+05 -1.976575e-04 -98.828766 -98.828766 1.000000 4.156000e+01
