accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-03 3.000000e+05 -4.948637e-04 -101.168246 -148.459107 0.000000 4.207151e+01
0 1.000000e-03 3.000000e+05 -4.426778e-04 -101.168246 -132.803326 0.000000 4.207715e+01
0 1.000000e-03 3.000000e+05 -4.928301e-04 -101.168246 -147.849027 0.000000 4.207467e+01
1 1.000000e-03 3.000000e+05 -2.828283e-04 -84.848495 -84.848495 1.000000 4.208421e+01
1 1.000000e-03 3.000000e+05 -4.416254e-04 -84.848495 -132.487611 0.000000 4.208002e+01
1 1.000000e-03 3.000000e+05 -7.853760e-04 -84.848495 -235.612814 0.000000 4.206659e+01
2 1.000000e-03 3.000000e+05 -2.459693e-04 -73.790776 -73.790776 1.000000 4.206976e+01
3 1.000000e-03 3.000000e+05 -2.407085e-04 -72.212558 -72.212558 1.000000 4.208186e+01
3 1.000000e-03 3.000000e+05 -2.422064e-04 -72.212558 -72.661910 0.638042 4.208335e+01
3 1.000000e-03 3.000000e+05 -2.587570e-04 -72.212558 -77.627087 0.004451 4.205958e+01
3 1.000000e-03 3.000000e+05 -2.506231e-04 -72.212558 -75.186942 0.051079 4.207760e+01
3 1.000000e-03 3.000000e+05 -2.432884e-04 -72.212558 -72.986515 0.461185 4.205713e+01
3 1.000000e-03 3.000000e+05 -2.741637e-04 -72.212558 -82.249112 0.000044 4.206749e+01
3 1.000000e-03 3.000000e+05 -2.474180e-04 -72.212558 -74.225393 0.133609 4.206425e+01
3 1.000000e-03 3.000000e+05 -2.414540e-04 -72.212558 -72.436188 0.799611 4.207150e+01
3 1.000000e-03 3.000000e+05 -2.544714e-04 -72.212558 -76.341433 0.016101 4.206513e+01
3 1.000000e-03 3.000000e+05 -2.510911e-04 -72.212558 -75.327328 0.044389 4.207948e+01
3 1.000000e-03 3.000000e+05 -2.487597e-04 -72.212558 -74.627913 0.089336 4.206126e+01
4 1.000000e-03 3.000000e+05 -2.360915e-04 -70.827445 -70.827445 1.000000 4.207697e+01
5 1.000000e-03 3.000000e+05 -2.348226e-04 -70.446778 -70.446778 1.000000 4.206334e+01
5 1.000000e-03 3.000000e+05 -2.412718e-04 -70.446778 -72.381540 0.144459 4.206765e+01
6 1.000000e-03 3.000000e+05 -2.292181e-04 -68.765434 -68.765434 1.000000 4.206622e+01
6 1.000000e-03 3.000000e+05 -2.431637e-04 -68.765434 -72.949121 0.015242 4.205982e+01
6 1.000000e-03 3.000000e+05 -2.312342e-04 -68.765434 -69.370253 0.546173 4.207744e+01
6 1.000000e-03 3.000000e+05 -2.355699e-04 -68.765434 -70.670957 0.148745 4.205796e+01
7 1.000000e-03 3.000000e+05 -2.354059e-04 -70.621760 -70.621760 0.156246 4.206684e+01
8 1.000000e-03 3.000000e+05 -2.340266e-04 -70.207966 -70.207966 1.000000 4.206900e+01
8 1.000000e-03 3.000000e+05 -3.418019e-04 -70.207966 -102.540565 0.000000 4.207641e+01
9 1.000000e-03 3.000000e+05 -2.277939e-04 -68.338172 -68.338172 1.000000 4.206433e+01
9 1.000000e-03 3.000000e+05 -2.473121e-04 -68.338172 -74.193618 0.002864 4.206136e+01
9 1.000000e-03 3.000000e+05 -2.315375e-04 -68.338172 -69.461257 0.325275 4.206510e+01
9 1.000000e-03 3.000000e+05 -2.314235e-04 -68.338172 -69.427045 0.336595 4.206838e+01
9 1.000000e-03 3.000000e+05 -2.391705e-04 -68.338172 -71.751160 0.032943 4.206802e+01
9 1.000000e-03 3.000000e+05 -2.351885e-04 -68.338172 -70.556554 0.108785 4.207104e+01
9 1.000000e-03 3.000000e+05 -2.294610e-04 -68.338172 -68.838296 0.606456 4.207916e+01
9 1.000000e-03 3.000000e+05 -2.342916e-04 -68.338172 -70.287468 0.142374 4.206503e+01
9 1.000000e-03 3.000000e+05 -2.329071e-04 -68.338172 -69.872120 0.215682 4.207353e+01
9 1.000000e-03 3.000000e+05 -2.408722e-04 -68.338172 -72.261645 0.019772 4.206053e+01
9 1.000000e-03 3.000000e+05 -2.723025e-04 -68.338172 -81.690748 0.000002 4.206504e+01
9 1.000000e-03 3.000000e+05 -2.336637e-04 -68.338172 -70.099111 0.171883 4.206638e+01
9 1.000000e-03 3.000000e+05 -2.320091e-04 -68.338172 -69.602741 0.282361 4.206748e+01
10 1.000000e-03 3.000000e+05 -2.254083e-04 -67.622487 -67.622487 1.000000 4.206917e+01
11 1.000000e-03 3.000000e+05 -2.253157e-04 -67.594721 -67.594721 1.000000 4.206084e+01
11 1.000000e-03 3.000000e+05 -5.593853e-04 -67.594721 -167.815589 0.000000 4.206085e+01
11 1.000000e-03 3.000000e+05 -2.331861e-04 -67.594721 -69.955818 0.094317 4.207047e+01
12 1.000000e-03 3.000000e+05 -2.250195e-04 -67.505845 -67.505845 1.000000 4.206547e+01
12 1.000000e-03 3.000000e+05 -2.406866e-04 -67.505845 -72.205980 0.009094 4.206921e+01
12 1.000000e-03 3.000000e+05 -2.334223e-04 -67.505845 -70.026684 0.080392 4.207829e+01
13 1.000000e-03 3.000000e+05 -2.301539e-04 -69.046171 -69.046171 0.214311 4.206597e+01
14 1.000000e-03 3.000000e+05 -2.210969e-04 -66.329059 -66.329059 1.000000 4.206549e+01
14 1.000000e-03 3.000000e+05 -2.296967e-04 -66.329059 -68.909002 0.075778 4.206391e+01
14 1.000000e-03 3.000000e+05 -2.251530e-04 -66.329059 -67.545915 0.296160 4.207662e+01
15 1.000000e-03 3.000000e+05 -2.173602e-04 -65.208071 -65.208071 1.000000 4.206596e+01
16 1.000000e-03 3.000000e+05 -2.205482e-04 -66.164459 -66.164459 0.384279 4.206242e+01
16 1.000000e-03 3.000000e+05 -2.220598e-04 -66.164459 -66.617938 0.635414 4.206483e+01
17 1.000000e-03 3.000000e+05 -2.144270e-04 -64.328110 -64.328110 1.000000 4.206773e+01
17 1.000000e-03 3.000000e+05 -2.188797e-04 -64.328110 -65.663915 0.262946 4.206910e+01
17 1.000000e-03 3.000000e+05 -2.392888e-04 -64.328110 -71.786653 0.000576 4.207166e+01
17 1.000000e-03 3.000000e+05 -2.192065e-04 -64.328110 -65.761953 0.238391 4.207876e+01
18 1.000000e-03 3.000000e+05 -2.147842e-04 -64.435255 -64.435255 0.898396 4.206568e+01
18 1.000000e-03 3.000000e+05 -2.191545e-04 -64.435255 -65.746336 0.269528 4.205923e+01
18 1.000000e-03 3.000000e+05 -2.286114e-04 -64.435255 -68.583411 0.015794 4.207042e+01
19 1.000000e-03 3.000000e+05 -2.192317e-04 -65.769521 -65.769521 0.263351 4.206278e+01
20 1.000000e-03 3.000000e+05 -2.247931e-04 -67.437944 -67.437944 0.188544 4.206426e+01
21 1.000000e-03 3.000000e+05 -2.244498e-04 -67.334947 -67.334947 1.000000 4.206439e+01
21 1.000000e-03 3.000000e+05 -2.396010e-04 -67.334947 -71.880311 0.010616 4.206198e+01
21 1.000000e-03 3.000000e+05 -2.669213e-04 -67.334947 -80.076399 0.000003 4.206467e+01
21 1.000000e-03 3.000000e+05 -2.920296e-04 -67.334947 -87.608880 0.000000 4.206872e+01
22 1.000000e-03 3.000000e+05 -2.220913e-04 -66.627376 -66.627376 1.000000 4.206789e+01
22 1.000000e-03 3.000000e+05 -2.505162e-04 -66.627376 -75.154855 0.000198 4.208203e+01
22 1.000000e-03 3.000000e+05 -2.546508e-04 -66.627376 -76.395251 0.000057 4.206319e+01
23 1.000000e-03 3.000000e+05 -2.190503e-04 -65.715101 -65.715101 1.000000 4.207934e+01
24 1.000000e-03 3.000000e+05 -2.214636e-04 -66.439068 -66.439068 0.484825 4.206741e+01
24 1.000000e-03 3.000000e+05 -2.293472e-04 -66.439068 -68.804150 0.093942 4.206936e+01
25 1.000000e-03 3.000000e+05 -2.192578e-04 -65.777330 -65.777330 1.000000 4.206913e+01
25 1.000000e-03 3.000000e+05 -2.408189e-04 -65.777330 -72.245672 0.001552 4.206439e+01
25 1.000000e-03 3.000000e+05 -2.382621e-04 -65.777330 -71.478622 0.003342 4.207133e+01
25 1.000000e-03 3.000000e+05 -2.375400e-04 -65.777330 -71.261991 0.004150 4.206519e+01
25 1.000000e-03 3.000000e+05 -2.290286e-04 -65.777330 -68.708581 0.053330 4.206576e+01
25 1.000000e-03 3.000000e+05 -2.273521e-04 -65.777330 -68.205623 0.088187 4.206552e+01
25 1.000000e-03 3.000000e+05 -2.379726e-04 -65.777330 -71.391784 0.003645 4.206651e+01
26 1.000000e-03 3.000000e+05 -2.180951e-04 -65.428525 -65.428525 1.000000 4.206696e+01
26 1.000000e-03 3.000000e+05 -2.200512e-04 -65.428525 -66.015370 0.556079 4.206013e+01
26 1.000000e-03 3.000000e+05 -4.114574e-04 -65.428525 -123.437222 0.000000 4.207953e+01
27 1.000000e-03 3.000000e+05 -2.147431e-04 -64.422934 -64.422934 1.000000 4.206156e+01
28 1.000000e-03 3.000000e+05 -2.181276e-04 -65.438276 -65.438276 0.362278 4.206592e+01
28 1.000000e-03 3.000000e+05 -2.214956e-04 -65.438276 -66.448675 0.364074 4.206929e+01
29 1.000000e-03 3.000000e+05 -2.147525e-04 -64.425744 -64.425744 1.000000 4.207810e+01
29 1.000000e-03 3.000000e+05 -3.539663e-04 -64.425744 -106.189888 0.000000 4.207547e+01
29 1.000000e-03 3.000000e+05 -2.171446e-04 -64.425744 -65.143394 0.487897 4.206313e+01
29 1.000000e-03 3.000000e+05 -2.247367e-04 -64.425744 -67.421015 0.050023 4.206566e+01
29 1.000000e-03 3.000000e+05 -2.191735e-04 -64.425744 -65.752064 0.265452 4.206877e+01
29 1.000000e-03 3.000000e+05 -2.179900e-04 -64.425744 -65.397004 0.378606 4.206985e+01
30 1.000000e-03 3.000000e+05 -2.151865e-04 -64.555961 -64.555961 0.877905 4.207053e+01
30 1.000000e-03 3.000000e+05 -2.549750e-04 -64.555961 -76.492506 0.000007 4.206199e+01
31 1.000000e-03 3.000000e+05 -2.177484e-04 -65.324508 -65.324508 0.463686 4.207949e+01
32 1.000000e-03 3.000000e+05 -2.188773e-04 -65.663202 -65.663202 0.712700 4.206891e+01
32 1.000000e-03 3.000000e+05 -2.264011e-04 -65.663202 -67.920320 0.104652 4.206819e+01
33 1.000000e-03 3.000000e+05 -2.166257e-04 -64.987712 -64.987712 1.000000 4.206989e+01
33 1.000000e-03 3.000000e+05 -2.346806e-04 -64.987712 -70.404191 0.004443 4.206607e+01
34 1.000000e-03 3.000000e+05 -2.196985e-04 -65.909543 -65.909543 0.397790 4.207771e+01
34 1.000000e-03 3.000000e+05 -2.352175e-04 -65.909543 -70.565240 0.009507 4.207183e+01
35 1.000000e-03 3.000000e+05 -2.175871e-04 -65.276140 -65.276140 1.000000 4.206422e+01
35 1.000000e-03 3.000000e+05 -2.456405e-04 -65.276140 -73.692144 0.000221 4.206814e+01
36 1.000000e-03 3.000000e+05 -2.204901e-04 -66.147041 -66.147041 0.418574 4.208355e+01
37 1.000000e-03 3.000000e+05 -2.227090e-04 -66.812713 -66.812713 0.513928 4.207837e+01
38 1.000000e-03 3.000000e+05 -2.228385e-04 -66.851548 -66.851548 0.961909 4.206868e+01
38 1.000000e-03 3.000000e+05 -2.270924e-04 -66.851548 -68.127716 0.279105 4.207606e+01
38 1.000000e-03 3.000000e+05 -2.250430e-04 -66.851548 -67.512905 0.516150 4.206771e+01
38 1.000000e-03 3.000000e+05 -2.310499e-04 -66.851548 -69.314956 0.085144 4.208367e+01
39 1.000000e-03 3.000000e+05 -2.236001e-04 -67.080024 -67.080024 0.795745 4.206439e+01
39 1.000000e-03 3.000000e+05 -2.282767e-04 -67.080024 -68.483009 0.245862 4.206398e+01
40 1.000000e-03 3.000000e+05 -2.240333e-04 -67.209981 -67.209981 0.878134 4.207006e+01
40 1.000000e-03 3.000000e+05 -2.477965e-04 -67.209981 -74.338961 0.000802 4.207275e+01
41 1.000000e-03 3.000000e+05 -2.225846e-04 -66.775393 -66.775393 1.000000 4.207039e+01
42 1.000000e-03 3.000000e+05 -2.317502e-04 -69.525048 -69.525048 0.063950 4.206687e+01
43 1.000000e-03 3.000000e+05 -2.226810e-04 -66.804294 -66.804294 1.000000 4.205967e+01
44 1.000000e-03 3.000000e+05 -2.206464e-04 -66.193923 -66.193923 1.000000 4.206557e+01
44 1.000000e-03 3.000000e+05 -2.356747e-04 -66.193923 -70.702403 0.011015 4.206904e+01
44 1.000000e-03 3.000000e+05 -2.232568e-04 -66.193923 -66.977026 0.456986 4.208046e+01
44 1.000000e-03 3.000000e+05 -2.262032e-04 -66.193923 -67.860950 0.188808 4.206464e+01
44 1.000000e-03 3.000000e+05 -2.305142e-04 -66.193923 -69.154271 0.051801 4.207780e+01
44 1.000000e-03 3.000000e+05 -2.250767e-04 -66.193923 -67.523017 0.264717 4.206410e+01
44 1.000000e-03 3.000000e+05 -2.302490e-04 -66.193923 -69.074703 0.056091 4.206727e+01
45 1.000000e-03 3.000000e+05 -2.222055e-04 -66.661650 -66.661650 0.626424 4.206752e+01
46 1.000000e-03 3.000000e+05 -2.258683e-04 -67.760478 -67.760478 0.333261 4.207034e+01
47 1.000000e-03 3.000000e+05 -2.253707e-04 -67.611212 -67.611212 1.000000 4.206280e+01
48 1.000000e-03 3.000000e+05 -2.279698e-04 -68.390941 -68.390941 0.458530 4.206089e+01
49 1.000000e-03 3.000000e+05 -2.267638e-04 -68.029146 -68.029146 1.000000 4.206729e+01
50 1.000000e-03 3.000000e+05 -2.274024e-04 -68.220733 -68.220733 0.825648 4.207311e+01
50 1.000000e-03 3.000000e+05 -2.510916e-04 -68.220733 -75.327486 0.000820 4.206237e+01
51 1.000000e-03 3.000000e+05 -2.297596e-04 -68.927867 -68.927867 0.493055 4.208282e+01
51 1.000000e-03 3.000000e+05 -2.603038e-04 -68.927867 -78.091149 0.000105 4.207095e+01
51 1.000000e-03 3.000000e+05 -2.318446e-04 -68.927867 -69.553366 0.534994 4.206749e+01
52 1.000000e-03 3.000000e+05 -2.299077e-04 -68.972319 -68.972319 0.956522 4.207607e+01
52 1.000000e-03 3.000000e+05 -2.635070e-04 -68.972319 -79.052090 0.000042 4.208128e+01
52 1.000000e-03 3.000000e+05 -2.346092e-04 -68.972319 -70.382746 0.244039 4.206873e+01
53 1.000000e-03 3.000000e+05 -2.302063e-04 -69.061903 -69.061903 0.914311 4.207878e+01
53 1.000000e-03 3.000000e+05 -2.318222e-04 -69.061903 -69.546664 0.615844 4.206797e+01
53 1.000000e-03 3.000000e+05 -2.384482e-04 -69.061903 -71.534464 0.084369 4.207151e+01
53 1.000000e-03 3.000000e+05 -2.476700e-04 -69.061903 -74.300996 0.005305 4.207216e+01
