accepted delta gamma error Lprev Lstar alpha time
1 1.000000e-03 3.000000e+05 -2.461470e-04 -73.844096 -73.844096 0.766361 4.167776e+01
2 1.000000e-03 3.000000e+05 -2.406252e-04 -72.187559 -72.187559 1.000000 4.168232e+01
2 1.000000e-03 3.000000e+05 -3.881892e-04 -72.187559 -116.456758 0.000000 4.167583e+01
2 1.000000e-03 3.000000e+05 -2.466134e-04 -72.187559 -73.984024 0.165884 4.168848e+01
2 1.000000e-03 3.000000e+05 -2.431568e-04 -72.187559 -72.947038 0.467910 4.167619e+01
2 1.000000e-03 3.000000e+05 -2.464891e-04 -72.187559 -73.946731 0.172187 4.167782e+01
2 1.000000e-03 3.000000e+05 -2.427621e-04 -72.187559 -72.828636 0.526725 4.167445e+01
2 1.000000e-03 3.000000e+05 -2.493248e-04 -72.187559 -74.797439 0.073543 4.168152e+01
3 1.000000e-03 3.000000e+05 -2.364631e-04 -70.938942 -70.938942 1.000000 4.167609e+01
4 1.000000e-03 3.000000e+05 -2.358706e-04 -70.761180 -70.761180 1.000000 4.167871e+01
5 1.000000e-03 3.000000e+05 -2.318663e-04 -69.559883 -69.559883 1.000000 4.167871e+01
6 1.000000e-03 3.000000e+05 -2.324961e-04 -69.748822 -69.748822 0.827837 4.167473e+01
7 1.000000e-03 3.000000e+05 -2.296455e-04 -68.893660 -68.893660 1.000000 4.167013e+01
7 1.000000e-03 3.000000e+05 -2.400704e-04 -68.893660 -72.021126 0.043829 4.166833e+01
8 1.000000e-03 3.000000e+05 -2.382142e-04 -71.464265 -71.464265 0.076489 4.168311e+01
9 1.000000e-03 3.000000e+05 -2.356276e-04 -70.688289 -70.688289 1.000000 4.166909e+01
10 1.000000e-03 3.000000e+05 -2.352751e-04 -70.582528 -70.582528 1.000000 4.167317e+01
10 1.000000e-03 3.000000e+05 -2.558812e-04 -70.582528 -76.764348 0.002067 4.168216e+01
10 1.000000e-03 3.000000e+05 -2.372315e-04 -70.582528 -71.169462 0.556029 4.167292e+01
11 1.000000e-03 3.000000e+05 -2.331877e-04 -69.956325 -69.956325 1.000000 4.168350e+01
11 1.000000e-03 3.000000e+05 -2.364104e-04 -69.956325 -70.923125 0.380298 4.167855e+01
11 1.000000e-03 3.000000e+05 -2.504163e-04 -69.956325 -75.124886 0.005693 4.166993e+01
12 1.000000e-03 3.000000e+05 -2.354144e-04 -70.624310 -70.624310 0.512741 4.167787e+01
12 1.000000e-03 3.000000e+05 -2.371903e-04 -70.624310 -71.157103 0.586963 4.167854e+01
13 1.000000e-03 3.000000e+05 -2.330986e-04 -69.929585 -69.929585 1.000000 4.167937e+01
14 1.000000e-03 3.000000e+05 -2.310476e-04 -69.314282 -69.314282 1.000000 4.167314e+01
14 1.000000e-03 3.000000e+05 -2.485962e-04 -69.314282 -74.578854 0.005172 4.166644e+01
14 1.000000e-03 3.000000e+05 -2.333302e-04 -69.314282 -69.999063 0.504201 4.167583e+01
14 1.000000e-03 3.000000e+05 -2.384516e-04 -69.314282 -71.535476 0.108480 4.167278e+01
15 1.000000e-03 3.000000e+05 -2.322171e-04 -69.665116 -69.665116 0.704100 4.168396e+01
16 1.000000e-03 3.000000e+05 -2.342725e-04 -70.281759 -70.281759 0.539753 4.168538e+01
16 1.000000e-03 3.000000e+05 -2.410897e-04 -70.281759 -72.326925 0.129359 4.167477e+01
17 1.000000e-03 3.000000e+05 -2.344978e-04 -70.349351 -70.349351 0.934642 4.167109e+01
17 1.000000e-03 3.000000e+05 -2.475603e-04 -70.349351 -74.268101 0.019866 4.167315e+01
17 1.000000e-03 3.000000e+05 -2.371847e-04 -70.349351 -71.155407 0.446616 4.168146e+01
18 1.000000e-03 3.000000e+05 -2.412113e-04 -72.363376 -72.363376 0.133450 4.167498e+01
19 1.000000e-03 3.000000e+05 -2.395216e-04 -71.856472 -71.856472 1.000000 4.167273e+01
20 1.000000e-03 3.000000e+05 -2.447201e-04 -73.416027 -73.416027 0.210230 4.167252e+01
21 1.000000e-03 3.000000e+05 -2.465340e-04 -73.960214 -73.960214 0.580313 4.167528e+01
21 1.000000e-03 3.000000e+05 -2.490627e-04 -73.960214 -74.718809 0.468324 4.167890e+01
22 1.000000e-03 3.000000e+05 -2.458542e-04 -73.756252 -73.756252 1.000000 4.167907e+01
23 1.000000e-03 3.000000e+05 -2.444325e-04 -73.329737 -73.329737 1.000000 4.167723e+01
24 1.000000e-03 3.000000e+05 -2.507920e-04 -75.237589 -75.237589 0.148399 4.167726e+01
24 1.000000e-03 3.000000e+05 -2.647843e-04 -75.237589 -79.435300 0.015030 4.168253e+01
